objectid,title,date,creator,description,subject,interviewee,interviewer,duration,source,format,type,language,rights,rightsstatement,original_url,original_media_url,filename,display_template,object_location,image_small,image_thumb,object_transcript
context_01,The Horror Film from Obama to Trump,2024-06-01,Idaho Humanities Council,"Russell Meeuf from the University of Idaho joins Johanna this week to talk about his book White Terror: The Horror Film from Obama to Trump . He argues that horror films are a form of social and political critique for both conservatives and liberals and discusses how that was seen in the Obama era and the election of Donald Trump. Dr. Russel Meeuf is a professor in the School of Journalism and Mass Media and the director of the film and television program at the University of Idaho.  He received his doctorate from the University of Oregon and specializes in research on popular media and culture. In particular, his work focuses on celebrity culture, popular cinema, masculinity studies, and disability studies. His writings have appeared in journals. Reflecting these interests, he is the author of several books on media culture, including White Terror: The Horror Film from Obama to Trump (Indiana University Press, 2022), Rebellious Bodies: Stardom Citizenship, and the New Body Politics (University of Texas Press, 2017) as well as John Wayne's World: Transnational Masculinity in the Fifties (University of Texas Press, 2013). He is also the co-editor of several collections on film and popular culture.",culture (concept); motion pictures (visual works); education; literature,Dr. Russell Meeuf,Johanna Bringhurst,0:36:49,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/81673241/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-0-23%2F364611400-44100-2-16f35fc7cc42b.mp3,context_01.mp3,transcript,https://objects.lib.uidaho.edu/context/context_01.mp3,https://objects.lib.uidaho.edu/context/small/context_01_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_01_th.jpg,/_data/transcripts/context_01.csv
context_02,The Legacy of Cecil D. Andrus,2024-05-13,Idaho Humanities Council,"Johanna is thrilled to be joined by Dr. Emily Wakild from Boise State University to learn more about one of Idaho’s most beloved governors, and the last Democrat to serve as governor of Idaho, Cecil D. Andrus. Dr. Wakild is a professor of environmental studies and the Cecil D. Andrus Endowed Chair for the Environment and Public Lands at Boise State University. Raised in eastern Oregon, she earned her B.A. from Willamette University in Salem, Oregon in 1999 and her PhD from the University of Arizona in 2007. Dr. Wakild’s main academic research excavates documents, images, interviews, and fragments of the past to explain why and how large spaces for nature conservation were built throughout the Americas. She is the author of Revolutionary Parks: Conservation, Social Justice and Mexico’s National Parks (Arizona 2011), which received awards from the Conference of Latin American History, the Forest History Society, and the Southeastern Council on Latin American Studies. She has also written extensively about environmental pedagogy, including with Michelle K. Berry, A Primer for Teaching Environmental History, (Duke 2018) and the article ""Pedagogy for the Depressed: Empowerment and Hope in the Face of the Apocalypse"" in The Routledge Handbook of Environmental History. In 2024, her study of national parks in South America will be published. Her research has been supported by the Fulbright Foundation, the National Science Foundation, and the National Endowment for the Humanities. Dr. Wakild is currently working on several Idaho-based research projects including essays on ""Mispronouncing Idaho"" and work celebrating the ways conservation brings Idahoans together.",historians; conservation (discipline); national parks; public land; education; resistance,Dr. Emily Wakild,Johanna Bringhurst,0:46:30,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/84628301/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-27%2F372403360-44100-2-7cca0865e1769.mp3,context_02.mp3,transcript,https://objects.lib.uidaho.edu/context/context_02.mp3,https://objects.lib.uidaho.edu/context/small/context_02_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_02_th.jpg,/_data/transcripts/context_02.csv
context_03,War. What is it good for?,2024-05-01,Idaho Humanities Council,"Johanna interviews Kim Madsen Dill about the veteran’s literature class she teaches at the College of Southern Idaho, that was inspired by her father’s military service. Kim Madsen Dill has taught in the English Department at the College of Southern Idaho since 2004 and recently retired. She was the Writing Program Administrator for the English Department. Kim oversaw the writing program and was the Faculty Liaison for Dual Credit teachers. She also volunteered teaching English at the CSI Refugee Center.",veterans; literature; education; american english (language); writing; refugees,Kim Madsen Dill,Johanna Bringhurst,1:17:48,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/83561512/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-4%2F369707646-44100-2-664ac91856d7.mp3,context_03.mp3,transcript,https://objects.lib.uidaho.edu/context/context_03.mp3,https://objects.lib.uidaho.edu/context/small/context_audio_logo_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_audio_logo_th.jpg,/_data/transcripts/context_03.csv
context_04,Sociology of a Pop Star: Taylor Swift,2024-04-15,Idaho Humanities Council,"In March, Boise State sociology professor Dr. Sharon Paterson offered a workshop course about Taylor Swift. Learn about the sociology of a pop star as Johanna discusses the course with Dr. Paterson and students Sophie Pederson and Jazmyne Hartogh. Dr. Sharon Paterson’s 30-year career has been dedicated to implementing programs that increase college students’ success and learning, mentoring students’ academics, research and leadership, and teaching sociology courses on broad topics such as gender, inequality, work and higher education. Dr. Paterson’s passion is engaging students’ intellectual curiosity and helping them apply concepts to everyday life. Sophie Pederson is a senior at Boise State University. She majors in Sociology and is also passionate about Anthropology and Psychology. After graduating, she plans to continue her studies in sociology or evolutionary psychology. In her free time she enjoys skiing and camping. Jazmyne Hartogh is a senior at Boise State University, graduating this upcoming May of 2024. She is graduating with a bachelor’s in integrated media and strategic communications with an emphasis in Integrated Media, as well as earning certificates in Public Relations and Sports, Information, and Culture.",sociology; popular culture; higher education; gender expression; economic inequality; communications (discipline); public relations,Dr. Sharon Paterson,Johanna Bringhurst,0:35:19,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/85192273/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-3-9%2F373753947-44100-2-fa85331c5421b.mp3,context_04.mp3,transcript,https://objects.lib.uidaho.edu/context/context_04.mp3,https://objects.lib.uidaho.edu/context/small/context_04_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_04_th.jpg,/_data/transcripts/context_04.csv
context_05,The Big Give,2024-04-04,Idaho Humanities Council,"This special episode of Context is dedicated to families impacted by organ donation. Johanna is joined by Heather Platts and Bruce Michael Miller, the musical duo Crazy Love. Heather donated a kidney to Bruce, and together they created an album to share their story and inspire others facing the organ donation process. Heather Platts is a passionate performer whose style is reminiscent of Bonnie Raitt and Grace Potter. She earned a BA in Music Composition from the University of Idaho in 1996 and has released two albums recorded in Nashville. She has performed at the Boise Music Festival, Thousand Springs Festival of Art, Sisters in Songwriting Concert Series, and the inaugural Chick Singer Night in Boise. Heather teaches voice, piano, and songwriting in Twin Falls. Bruce Michael Miller is an award-winning songwriter, producer, and guitarist who has toured with Paul McCartney, Kenny Loggins, and Laura Branigan. A professional songwriter for 25 years in Nashville, he has had over 40 songs recorded, including a No. 1 international hit with country artist Ashley Puckett. As a songwriting consultant and educator, he has mentored writers on over 14,000 songs and was a professor at Nashville State College. Since relocating to Idaho in 2017, Bruce has embraced the region’s landscapes and community. As president of the Idaho Songwriters Association, he teaches songwriting workshops and works with private clients. Heather and Bruce perform throughout the West as Crazy Love and are part of the Inquiring Idaho program.",music composition techniques; musical performances; music festivals; country (style),Bruce Michael Miller; Heather Platts,Johanna Bringhurst,0:59:26,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/83936471/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-12%2F434e45a9-5ee4-f97a-2ed9-dabf9651b96c.m4a,context_05.mp3,transcript,https://objects.lib.uidaho.edu/context/context_05.mp3,https://objects.lib.uidaho.edu/context/small/context05_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context05_th.jpg,/_data/transcripts/context_05.csv
context_06,The 51 Tunnels That Saved Twin Falls,2024-03-27,Idaho Humanities Council,"Dr. Jim Gentry joins Johanna to share a little-known story from Twin Falls history, highlighting the resilience of communities in times of growth and hardship. A history professor at the College of Southern Idaho from 1969 to 2010, Dr. Gentry earned his Ph.D. in History from the University of Utah in 1985. While working on his dissertation, he developed a passion for local history, leading to several publications. His works include In the Middle and on the Edge: The Twin Falls Region of Idaho (2003), Meeting Needs and Developing Opportunities: A History of the College of Southern Idaho (2015), Transformations: A History of First Baptist Church of Twin Falls (2020), and The 51 Tunnels that Saved Twin Falls: Twin Falls Canal Company’s Bold Solution to a Big Drainage Surprise (2023).",local history (discipline); resistance; research notes; education; academic dissertations; drainage basins,Dr. Jim Gentry,Johanna Bringhurst,0:38:29,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/83931996/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-12%2F370659575-44100-2-ce889fc17d121.mp3,context_06.mp3,transcript,https://objects.lib.uidaho.edu/context/context_06.mp3,https://objects.lib.uidaho.edu/context/small/context06_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context06_th.jpg,/_data/transcripts/context_06.csv
context_07,Cultivating the Spirit of the Masses: How the Buenos Aires Zoo Shaped Society in Argentina,2024-03-14,Idaho Humanities Council,"Johanna is joined by Dr. Ashley Kerr to learn about how the Buenos Aires Zoo was used to shape the debates around immigration, women’s rights, and labor unions in Argentina in the early 20th century. Ashley Kerr is an associate professor of Spanish and Latin American Studies. As an undergraduate, Kerr spent a year living in Chile. After graduation she taught English in Argentine Patagonia as a Fulbright English teaching assistant. She has also taught abroad in Valencia, Spain; Montevideo, Uruguay; and sailed around the Atlantic as a faculty member on Semester at Sea. At the University of Idaho, she teaches upper-level courses on Latin American culture, literature and film. Her research focuses on race and gender in Argentina and Uruguay in the late-nineteenth and early-twentieth centuries. Her first book, Sex, Skulls, and Citizens: Gender and Racial Science in Argentina (1860-1910), was named the 2020 Best Book by the Nineteenth Century Studies section of the Latin American Studies Association.",zoos (institutions); immigration; women's studies; trade unions; cultural heritage; gender expressions; racial discrimination; motion pictures (visual works),Dr. Ashley Kerr,Johanna Bringhurst,0:43:45,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/83561206/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-4%2F369706910-44100-2-18ec50561964d.mp3,context_07.mp3,transcript,https://objects.lib.uidaho.edu/context/context_07.mp3,https://objects.lib.uidaho.edu/context/small/context_07_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_07_th.jpg,/_data/transcripts/context_07.csv
context_08,It’s Her Story: Sacajawea,2024-03-13,Idaho Humanities Council,"Randy’L Teton talks to Johanna about her new book It’s Her Story: Sacajawea and her special connection to this incredible heroine in Idaho history. Randy’L Teton – Randy’L is a member of the Shoshone-Bannock Tribes of Fort Hall, Idaho. In 1998, Randy’L was chosen as the Shoshone model for the US Golden Dollar coin aka the Sacajawea dollar coin, Since then, Randy’L has gained wide recognition for her work in tribal history, tribal government, communications, and museum curation. She is proud to serve her family, tribe, state, and Indian Country by helping Tribes tell their story from an Indigenous perspective. She currently lives in southeastern Idaho with her three children and enjoys collecting coins. Randy'L also serves on the board of trustees of the IHC and is a valued colleague and friend of our work.",indigenous peoples (american culture); native american; tribal nations; numismatists; storytelling,Randy’L Teton,Johanna Bringhurst,0:30:27,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/83561583/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-4%2F369707150-44100-2-fa2e487c6aa2d.mp3,context_08.mp3,transcript,https://objects.lib.uidaho.edu/context/context_08.mp3,https://objects.lib.uidaho.edu/context/small/context08_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context08_th.jpg,/_data/transcripts/context_08.csv
context_09,Our High School Newspaper and Yearbook Matters in History,2024-03-13,Idaho Humanities Council,"Dr. Caitlin Cieslik-Miskimen joins Johanna to talk about how valuable student newspapers and yearbooks are to study American history. Caitlin Cieslik-Miskimen is an assistant professor in the School of Journalism and Mass Media. She received her Ph.D. in Mass Communication and History from the University of Wisconsin-Madison and joined the University of Idaho faculty in 2019. In addition to media history, she teaches courses in public relations and strategic communications. As a media historian, she explores the cultural role that print products played in communities in the early 20th century. Part of Dr. Cieslik-Miskimen’s research has focused on media coverage of American high schools and the origins of high school journalism. She recently published a book chapter, "" A Window into the World of Students: An Analysis of 1920s High School Student Newspapers ,"" and is currently working on a journal article about media coverage of high school student protests in the 1920s.",high school students; newspapers; school yearbooks; journalism; mass media; public relations; communications (discipline),Dr. Caitlin Cieslik-Miskimen,Johanna Bringhurst,0:32:50,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/83561358/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-4%2F369706939-44100-2-b76c056502757.mp3,context_09.mp3,transcript,https://objects.lib.uidaho.edu/context/context_09.mp3,https://objects.lib.uidaho.edu/context/small/context_09_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_09_th.jpg,/_data/transcripts/context_09.csv
context_10,Honor and Integrity on the Playing Field and in Life,2024-02-07,Idaho Humanities Council,"Sharon Stoll is an award-winning teacher and director of the Center for ETHICS at the University of Idaho. She discusses with Johanna the value of honor and integrity in athletics and how to teach moral reasoning. Dr. Sharon Stoll serves as the Director of the Center for ETHICS* at the University of Idaho.  She is considered one of the leading authorities in competitive moral education intervention techniques for college-aged students in America.  Also, a professor of Physical Education, Dr. Stoll is a Distinguished Faculty Member and winner of many awards.  A former public school teacher, coach, and athlete, Dr. Stoll holds a Ph.D. in Sport Philosophy from Kent State University and is the creator and director of one of the few programs in America that is directed toward moral education with competitive populations.  Dr. Stoll is well known for her knowledge of teaching and methodology as applied to pedagogy in moral education and character development.  She is also the author of 8 books and is an active consultant and lecturer.",ethics (philosophy); integrity (philosophical concept); sports; physical education buildings; college students,Dr. Sharon Stoll,Johanna Bringhurst,0:41:15,"Context, Idaho Humanities Council, https://idahohumanities.org/programs/connected-conversations/",audio/mp3,Sound,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,https://anchor.fm/s/8a0924fc/podcast/play/81673486/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-0-23%2F364634960-44100-2-bd088c95b3b1b.mp3,context_10.mp3,transcript,https://objects.lib.uidaho.edu/context/context_10.mp3,https://objects.lib.uidaho.edu/context/small/context_10_sm.jpg,https://objects.lib.uidaho.edu/context/thumbs/context_10_th.jpg,/_data/transcripts/context_10.csv
