speaker,timestamp,Endtime,words,tags
,,,,
Martha Tórrez,[00:00:05:16],[00:00:07:15],"Okay, Mr. Vásquez,",
Abel Vásquez,[00:00:07:18],[00:00:09:21],Okay.,
Martha Tórrez,[00:00:09:23],[00:00:19:16],Okay. I'd like to begin by just asking you how it is that you and your family came to the state of Idaho.,family;idaho
Abel Vásquez,[00:00:19:18],[00:00:40:23],"Well, when we came to Idaho, it was much. I didn't have a choice. It was something I had to do. I was raised by my grandparents, and at the time we came to Idaho, I was only eight years old, so needless to say, I had to come to the state with my folks to work in the fields.",idaho
Abel Vásquez,[00:00:40:26],[00:00:43:10],So that is how I came to be in Idaho?,idaho
Martha Tórrez,[00:00:43:12],[00:00:45:02],Now you were raised by your grandparents?,
Abel Vásquez,[00:00:45:02],[00:01:21:12],"I was raised by my grandparents due to the fact that my mother died when I was very young. It was a strange story. I guess it's because when my mother and father separated, I was six months old, my mother took my older brother and raised him until she passed away in 1940.",family
Abel Vásquez,[00:01:21:14],[00:01:44:21],"But my grandmother took my older sister, Helen, and myself when we were babies, and as little kids, she raised us. So I was raised by my grandmother from early childhood.",family
Martha Tórrez,[00:01:44:23],[00:01:58:14],"And so, when you were living with your grandparents, where were you living? And if you could explain to me a little bit about how it was that you came to be in Idaho.",idaho
Abel Vásquez,[00:01:58:17],[00:02:31:03],"How I came to be in Idaho was, we were living in Grand Junction, Colorado, and we were bean field workers. That's all we knew at the time. So we used to follow the field work. How we came to Idaho: my grandmother had a sister who lived in Salt Lake City, and we went from Grand Junction, Colorado, to Salt Lake City to visit my grandmother's sister.",idaho;family;food and drink;recreation
Abel Vásquez,[00:02:31:05],[00:02:59:21],"And we stayed there maybe six months or a year, I can't really recall how long. And that was in 1937 or '38, I think the fall of 1938. In the fall of 1938, my grandfather and some other people decided to come to Idaho because there was field work to do, sugar beets.",family;idaho
Martha Tórrez,[00:02:59:23],[00:03:01:09],"So the opportunity, or...",
Abel Vásquez,[00:03:01:09],[00:03:21:20],"Job opportunity arose. And so we came to Preston Idaho, me my grandmother, my sister and my grandfather. We went to Preston Idaho in the fall of 1938.",idaho;family
Martha Tórrez,[00:03:21:23],[00:03:28:08],"Did you do any other kind of farm work? Other than beets, did you work in other types of agriculture throughout the years??",agriculture
Abel Vásquez,[00:03:32:07],[00:03:53:29],"Yeah, I remember, when we were little and stayed in Utah, we used to pull onions. I remember topping onions, somewhere close to Salt Lake. But when we came to Idaho, the season was to top beets. It was the fall of the year.",food and drink;recreation;idaho
Abel Vásquez,[00:03:53:29],[00:04:25:14],"And so we used to meet and camp. We used a knife with a little hook on the end, like a machete, and that's what we did in 1938. We stayed there all winter of 1938. In the spring of '39, we followed the work.",recreation
Abel Vásquez,[00:04:25:16],[00:04:45:21],"So we came to Idaho. Why did we come to Marsing? I'm not really clear whether we knew somebody there or we just happened to say, 'Let’s go to the other part of Idaho, go to Marsing.' But all I know is that we landed in Marsing in 1939. You know, we were here before, they were here.",idaho;marsing
Abel Vásquez,[00:04:45:21],[00:04:47:00],They were here.,
Martha Tórrez,[00:04:47:03],[00:04:54:27],"When you traveled to Idaho, did you come by your own transportation that year? And did you come out with other families, or was it just your family?",idaho;family
Abel Vásquez,[00:04:54:27],[00:05:06:13],"It was just my grandparents and us. We didn't know anybody. We were just by ourselves. And when we came to Marsing, I think we were by ourselves also.",marsing
Martha Tórrez,[00:05:06:16],[00:05:07:11],So you drove?,
Abel Vásquez,[00:05:07:17],[00:05:33:14],"We drove here. We had, and I think it was an old pickup truck, if I'm not mistaken. But we landed in Marsing, and the ideal situation in those days was to find a farmer who had year-round work, where you could start in the spring, thin the beets, clean them, and then find some work in between. And then in the fall, you topped the beets. And so that's what we did.",marsing
Martha Tórrez,[00:05:40:12],[00:05:44:16],What are your very first memories of Idaho when you first got here? What did you think of it?,idaho
Abel Vásquez,[00:05:44:18],[00:06:08:19],"Cold, especially in eastern Idaho. It was very, very cold. And, needless to say, working in the fields as a kid, we'd go out to the beet fields, and it was so cold the leaves, the tops from the beets, would break off. They were frozen.",health;idaho
Abel Vásquez,[00:06:08:23],[00:06:10:03],It was cold.,health
Martha Tórrez,[00:06:10:06],[00:06:12:15],So do you have any idea where you're from originally?,
Abel Vásquez,[00:06:12:18],[00:06:19:23],"No, no, but I like it here. Yeah, it was very cold here.",health
Martha Tórrez,[00:06:19:25],[00:06:22:23],I know you said the very first place you came to was Preston.,idaho
Abel Vásquez,[00:06:22:23],[00:06:23:13],,
Martha Tórrez,[00:06:23:16],[00:06:26:18],Can you describe where you lived?,
Abel Vásquez,[00:06:26:20],[00:06:53:03],"Well, it wasn't long ago, but I'm sure it was just a very small shack, probably just a one-room house that I can remember. We probably had to go to the farmer's house to get water.",
Abel Vásquez,[00:06:53:03],[00:07:06:18],"We didn't have any bathroom facilities, you know, you had an outhouse. Okay, so that's what I recall mostly when I first came to Idaho: that it was cold.",idaho;health
Martha Tórrez,[00:07:06:21],[00:07:12:00],"Now, once you got here, did you travel to other cities in Idaho or to other states?",idaho
Abel Vásquez,[00:07:12:01],[00:07:38:05],"Once we came to Idaho, we went to Marsing. We stayed in Marsing and worked in Marsing. But while we were in Marsing, we used to go to other areas, like the McCall-Donnelly area to pick peas. We used to go to Emmett to work in the pea fields.",idaho;marsing
Abel Vásquez,[00:07:38:05],[00:07:56:12],"And also, we used to grow carrots there, you could tie carrots in the water in the Emmett area. And I also lived temporarily, maybe two or three months, in a labor camp in Oregon.",idaho;labor;recreation
