speaker,timestamp,End Time,words,tags
,,,,
Doug Exton,[00:00:00:00],00:00:28:00,"Thank you so much for joining us for tonight's Connected Conversation, a program conducted by the Idaho Humanities Council. If you're not familiar with our organization, I encourage you to check out our website, Idaho Humanities Board. I'd like to remind you all that you may submit any questions using the Q&A feature located at the bottom of the screen. With me tonight is Doctor Amanda Zink from Boise State University.",
Doug Exton,[00:00:28:02],00:00:31:12,It's an honor to have you with us tonight. And I turn it over to you.,
Amanda Zink,[00:00:31:14],00:00:57:18,"All right. Thank you so much, Doug, for moderating us tonight. And to Jennifer Holly for inviting me and to, of course, the IHC for sponsoring this series of talks that's helped us stay connected during this very strange summer. Before beginning, I'd like to acknowledge that the state of Idaho occupies the unceded homelands of the this Shoshone, Bannock, Paiute, Coeur d'Alene, Kootenai, and Nez Perce peoples.",
Amanda Zink,[00:00:57:20],00:01:34:19,"I'd also like to acknowledge, particularly as I am a non-Native scholar, that the terminology I'm using tonight is historically fraught. You'll hear me reference the indigenous peoples of North America interchangeably as Native American, Native American, Indian, Indian, and indigenous. Whenever possible, I use tribally specific names. You'll also hear me read the word squaw in quotation, and when referring back to the quotations, I would never use this word in my own vocabulary, as it has similar historical weight to using the N-word.",
Amanda Zink,[00:01:34:21],00:02:08:08,"I was told I have about 40 minutes to talk to you before the Q&A, so I'll do my best to stay under that mark. So without further preamble, let me share the screen so that you can see, the PowerPoint presentation and follow along with me. In this talk tonight, we'll look at some writings of American Indian women who encountered the colonial domestic education propagated by federal Indian schools and white reformers who lived and worked in Indian communities throughout North America.",
Amanda Zink,[00:02:08:10],00:02:41:13,"I use the term propagate and its association with breeding and reproduction. And intentionally, as I show federal officials used domestic education to reproduce American Indian women as copies of Anglo American women by virtue of their newly acquired domestic skills and sentimental values. Newly domesticated Indian women would in turn propagate American values among their families and communities. I also choose propagate for its etymological relation to the word propaganda.",
Amanda Zink,[00:02:41:15],00:03:04:24,Both words that find their origins in the Catholic Church and 18th century treatises for disseminating the faith. Some critics describe the curriculum for the federal boarding schools as thinly disguised colonial propaganda. The Indian women writers I discuss here altered the course laid out for them by these federal reformers and teachers for learning to practice the rituals of domesticity.,religion;education;history;culture
Amanda Zink,[00:03:05:04],00:03:44:17,"They also learned to write about the domestic rituals and sentimental values. I begin by contextualizing my readings of boarding school literature at a historical intersection where Indian reform movements and the rise of public domesticity collide. From there, I interpret articles and poems written by young girls at various Indian schools around the country. I argue that the school girls practice of writing about domesticity laid the groundwork for American Indian women writers to engage the rhetorics of sentimentalism and domesticity that characterize much of the writing about Indians by Euro-American women.",culture;education;literature
Amanda Zink,[00:03:44:19],00:04:18:18,"In the decades surrounding the turn into the 20th century through their curriculum of domestic education. Female reformers and school officials did their best to control how Indian girls learned, practiced, and propagated the rituals of Anglo-American domesticity. But once taught to write, these Indian girls matured into professional writers who could influence their own responses to their domestic education and would manipulate the sentimental discourse in ways reformers and officials could never have predicted and would have never desired.",education;culture
Amanda Zink,[00:04:18:20],00:04:51:06,"The Indian women writers I discuss later in this chapter, and that will just touch on towards the end of the talk tonight, are Estelle Armstrong and Nez Perce, Sophia, Alice, Callahan, Creek, Mourning Dove, Okanogan, Ella Deloria, Dakota Sioux, Sarah Winnemucca, Hopkins, Paiute, and the College Yankton Sioux, all who engage the sentimental and domestic rhetoric to narrate and negotiate complicated responses to their domestic educations, positing a syncretic, sovereign domesticity.",
Amanda Zink,[00:04:51:08],00:05:28:10,"It is no coincidence that the Indian education efforts, especially the education of Indian girls, centered on home and domestic life. As Jane Simonton points out, several historians argue that domesticity was an imperial construct used by the white middle class to uphold its power in a diversifying and expansionist nation. Among others, Amy Kaplan and McClintock, Margaret Jacobs, Peggy Pascoe show how domesticity and women's work were indispensable tools for Americanizing the indigenous peoples of the North American landmass we now know as the United States.",indigenous
Amanda Zink,[00:05:28:12],00:05:59:08,"Religious groups such as Council of Women for Home Missions, non-denominational reform clubs such as the Women's National Indian Association, and groups associated with the Works Progress Administration and the Indian New Deal, gave white women from the mid-19th century to the mid-twentieth century the opportunity to take up the cause of the Indian less fortunate and extend their own influence beyond the confines of their home and immediate familial social circles, and out into the public sphere.",religion
Amanda Zink,[00:05:59:10],00:06:25:14,"Ironically, the very confines they sought to transcend the private sphere of home and family provided the tools and values they used to colonize Indian women. Peggy Pascoe and Siobhan Senior argue that these white women reformers were likely more motivated by their own desire for moral authority and self authorization than by philanthropic or compassionate impulses to better the lives of those around them.",
Amanda Zink,[00:06:25:16],00:07:05:23,"Allison Bernstein questions the appropriateness of the methods of such programs as the Women's National Indian Association or the Indian New Deal, arguing that replacing Indian gender roles with white gender norms was indeed a cultural imposition, even though its participants saw it as progressive, working to replace tribal gender roles with Euro-American ideals. White women lived and worked in and near Indian communities all over the United States, and this work spilled over, not surprisingly, into the curriculum of the federal Indian schools, especially at the boarding schools, to lesser or greater extents.",indigenous;education
Amanda Zink,[00:07:06:03],00:07:40:04,"Nearly every historian and critic of the boarding school points out the intentional efforts among school officials to instill domestic values in female students. These scholars have established comprehensively and inarguably, the centrality of the ideology of domesticity to the school's express purpose, which was to kill the Indian and save the man. Indeed, Richard Pratt and other boarding school officials imagined that the most direct course to saving Indian men was chiefly through their women.",education
Amanda Zink,[00:07:40:06],00:08:14:03,"The Indian schools received standardized curricula from Washington, D.C., a course of study for the Indian schools of the U.S. industrial and literary was written by Estelle Real in 1901, and shows that this training and domesticity was organized at the federal level and was equally prioritized alongside reading, writing, and arithmetic. Perhaps domesticity even held higher priority, for in the housekeeping lesson, reel instructs teachers thus, if there is time for nothing else, housekeeping must be taught.",education;labor
Amanda Zink,[00:08:14:05],00:08:49:24,"The domestic curriculum, real and others wrote and implemented, was founded on the white racist assumption. Assumption that Indian parents, and particularly Indian mothers, were sorely lacking in their ability to raise children who could in any way adapt to life under the new regime of settler colonialism. Mollie Gaither, a school official from Oregon, captures this assumption in her report for the superintendent of schools in 1897, and she writes, the Indian girl comes to us from a home where the mother is the drudge and beast of burden.",conflict
Amanda Zink,[00:08:50:01],00:09:27:21,"And if the daughter thinks at all on the subject, she knows that this is the part expected of her in the life which lies before her. Hence, the most readily accepted training in our schools is that which, in their providence of nursery for true womanhood, searches. The young girl teaches the young girl not only to knit and sew, to bake, and to mend, to wash and to scrub, to care for the young, the old, the sick, but also gives her the strength of character to become an independent, self-reliant, capable of assuming any burden that life in its manifold chances and changes may lay upon her.",labor
Amanda Zink,[00:09:27:23],00:09:54:16,"Once an Indian girl was removed from her own mother's supposedly inept influence, the boarding schools provided replacement mothers, school matrons usually, but not always, white women whose job was to serve as a more wholesome replacement for the girl's darker and immoral natural mothers. If the superintendent was the stern patriarch of the institution, the matron was its instinctive mother.",education
Amanda Zink,[00:09:54:18],00:10:28:11,"One of the patriarchs of, Carlisle Indian Industrial School. Moses Friedman, was superintendent and editor of its publications in 1909. And here, you can see this quote that distills the stories of the civilizing progress that Carlisle presented to its readers. In particular, the last sentence really kind of sums up, not only Friedman, but the the reformers attitudes towards native home life in general.",education
Amanda Zink,[00:10:28:13],00:10:58:09,"This last sentence, where he writes, the Indian girl herself believes that her greatest work is in elevating her own people. It is her function to arouse the red man from his lethargy. Carlyle's domestic Education and Outing programs, where the Indian girl is placed in some well recommended household, strove to transform Indian girls into Indian women by supposedly rescuing them from the reservation that would turn them into squaws in the passage above.",indigenous
Amanda Zink,[00:10:58:11],00:11:03:16,Squaws apparently do not qualify as women.,
Amanda Zink,[00:11:03:18],00:11:28:04,"And Indian girls do not become Indian women until they have graduated from Carlyle's program. After graduation, Indian women were to perform the critical work of returning home and American izing their communities. I argue here that Freedman used Carlyle's publications to reproduce and reinforce the domesticating work of Carlyle's programs. The programs domesticated Indian girls during their years at school.",education
Amanda Zink,[00:11:28:06],00:11:55:20,"The publications served not only as textbooks on domesticity for students at school, but also as dictatorial, do it yourself domestic manuals for students who had already returned home. And it wasn't just the the officials at the boarding schools who were propagating this message. I'm going to read to you part of an excerpt from George Reid's address, at a commencement at Carlisle in 1909.",education
Amanda Zink,[00:11:55:22],00:12:18:11,"George Reade was then the president of Dickinson College, which gives us an idea of the ways that these these narratives were being, shared and, and, kind of circulated at all levels of, of society. Reid says, I think this is the finest commencement I have ever witnessed since I have been to Carlisle. And that's 20 years.",
Amanda Zink,[00:12:18:13],00:12:40:19,"It shows the splendid progress you were making, and I learn a great deal every time I come here as to the progress of the Indian. I was delighted to see a young lady and other young ladies with her, with her hair dressed ala pompadour, and of the most pronounced character. And I also noticed that these ladies were wearing the latest director gowns.",
Amanda Zink,[00:12:40:21],00:13:02:17,"These are the representatives of the Indian race, and I am absolutely sure that no young lady who parades around here today with a direct, far gone gown on, will ever go back to the Indian blanket. I heard one of the young ladies say that the ambition of her life was to be a neat housekeeper. And then she added, I wish to be economical.",culture
Amanda Zink,[00:13:02:19],00:13:29:01,"And I thought, what a sense of relief must pass over the minds of these Indian braves when they heard a woman absolutely state that she desired to be economical. I watched with considerable interest the process of making that bed over there. You are learning all these beautiful arts of housekeeping here and all about the economies of life. And I'm sure you will put into splendid practice by and by the lessons you have here acquired.",education
Amanda Zink,[00:13:29:03],00:14:02:05,"We want you to become good citizens of the Republic. That is what the whole school is for. To train young men and young women to become good citizens. And we hope every one of you will become a citizen of the United States. And that you will be manly men and womanly women. It's worth noting that this address was given in 1909, and the Indian Citizenship Act was not passed by Congress until 1924 with an assist, in essence, forced citizenship upon all Native Americans.",education;migration
