speaker,timestamp,words,tags,terms
,,,,
Sam Schrager,00:00:00,"This conversation with Mahlon Follett took place at his home in Genesee on May 3rd, 1976. The interviewer is Sam Schrager.",lcoh places,genesee
Mahlon Follett,00:00:19,"Oh, just personal things, you know, things that happened to me.",,
Sam Schrager,00:00:25,When you were a little kid? Like what?,,
Mahlon Follett,00:00:28,"I can remember one thing for instance I... Well, I don't know, I must have been about... I couldn't have been over three years old, maybe four, I don't know, just a little fellow. And I run away and I went over to the neighbors and they were, gosh, I believe a mile away. And the folks never missed me until I was gone a while. Of course they called in all the hired men and started searching for them. I remember going over to the people, they were all lived there. In fact, there's one of them old boys that lives out there now that's a grandson. And I remember this old lady. She couldn't hear anything and she had an ear phone, it wasn't an ear phone. A horn? Yeah, a great big horn. And I remember, as little as I was then, I can remember putting that in the ear and wanting me to talk into it to her. And they didn't know who I was or I guess they didn't know. In a way they didn't notify the folks. I was there quite a little while before they finally found me. Of course they didn't have telephones the whole day, so there was no way about it.",,
Sam Schrager,00:01:51,Do you remember why you ran away?,,
Mahlon Follett,00:01:53,"Oh no. I was just a little, I suppose, just wandering around really more than running away. I see.",,
Sam Schrager,00:02:06,Do you remember what the house was like that you lived in in the country?,,
Mahlon Follett,00:02:12,"Oh yeah, more or less. It wasn't very modern. But I can remember it. Of course after we moved off I used to go back and we'd add red to the place. We used to go out there quite often. So up until the time it burned I was out there quite often.",,
Sam Schrager,00:02:51,Was living out there pretty isolated?,,
Mahlon Follett,00:02:55,"It sure was. I think possibly that's why I'd ever took up farming. I can remember that. Oh I suppose I was in high school. I worked out there for people that read the place. I remember I had an uncle that was dead in Seattle and he was visiting over here with his brothers. They came out there and he came out in the field where I was working and talking to me. He says, do you like this farming?",agriculture;education;family,farming;school;uncle
Mahlon Follett,00:03:30,"I says, no I don't.",,
Mahlon Follett,00:03:32,"He says, I didn't either. I can't see how he could stand. He was telling me how he didn't like it. That's why he went into the dentistry. He says, when you get through school I'll send you to dental college. But I never worked at all and I never did want to go to dental college as far as that goes.",education,school
Sam Schrager,00:03:57,What were your father's reasoning on getting out of farming and into something else?,agriculture;family,farming;father
Mahlon Follett,00:04:05,Well I don't know. I think possibly it was so that I could go to school. Partly. I don't think my dad ever cared too much for farming. He farmed a long time. I don't think he was really a very good farmer probably. I don't know.,agriculture;education,farming;school
Sam Schrager,00:04:28,Had he come to this country because his brothers were here? Had they all come together or what?,,
Mahlon Follett,00:04:33,"His father and mother and brothers came out the year before he did. He came from the east and came to Arizona and worked at the mines down there. And was on the coast for a while and then came up here. I remember he was telling me that he came to Lewiston, my boat. And he told me about hiking up to Lewiston, up to his folks, this place out here where they lived. And he said there was a fence between Lewiston and the farm. He just hiked over the hills there and trailed.",family;lcoh places;leisure,father;mother;lewiston;hiking
Sam Schrager,00:05:16,About when do you think? About what year?,,
Mahlon Follett,00:05:19,I don't know. In the 1880s some place.,,
Sam Schrager,00:05:23,It would have had to have been before 1986 when they brought the train in here.,,
Mahlon Follett,00:05:30,"Yeah, I don't know just what year it was. I think it was in the early 1880s. I never really did have too much history of my parents or grandparents. I often wondered why I didn't. I guess when you're a kid you don't pay too much attention to those things. And afterwards you wish you had found out more.",,
Sam Schrager,00:05:59,I think maybe your parents' generation didn't talk so much about it either. I have a feeling they often didn't tell their kids very much.,,
Mahlon Follett,00:06:12,"Well, that's possibly true. I was thinking of the day when someone asked me about my grandmother and they asked me what her maiden name was. I didn't know. I just don't know. However, I remember that she had brothers come here to visit by camp. I was real small. I can't remember what their names were.",family,grandmother
Sam Schrager,00:06:41,Was there a family on every hundred and sixty when your parents were living in the country there?,,
Mahlon Follett,00:06:48,"New Orleans, Mazama, one hundred and sixty. But there was, of course, lots more than there is now. None of that had more than that. Almost had more than a hundred and sixty. I shouldn't say most of them, but an awful lot of them. But I don't know. We lived out there, of course. And for what I worked out there, there was no RFDs, no telephones. No electricity, of course. I'll never appeal to them. I remember my dad used to come to town riding a horseback, a goody-other, driving ahead. I think he tried to get it about once a week or every two weeks or something. One of the things I just remember is coming home after McKiddly had been shot and told about it. He was quite impressed with me. I was just a little taught. But that was several days after it happened. Now you know it almost instantly, if anything like that happens.",,
Sam Schrager,00:08:14,Was he pretty upset at that event?,,
Mahlon Follett,00:08:18,"No, I don't remember. I remember he was coming home and telling us about it. I'm bringing a paper. I remember we used to get the spokesman review at that time. It was a twice a week paper. Twice a week spokesman review.",,
Sam Schrager,00:08:43,"Do you think that that country living was difficult for the women, the wives? Do you think that for your mother that that was a rough living?",family,mother
Mahlon Follett,00:08:58,"Oh, I suppose it was. Yeah, it must have been. They didn't have any modern convenience, of course. I really suppose it was pretty rough.",,
Sam Schrager,00:09:28,You moved into town and you were only about six?,,
Mahlon Follett,00:09:33,I was only six.,,
Sam Schrager,00:09:35,What are some of your early memories of Genesee and what the town was like when you were first young and living here?,lcoh places,genesee
Mahlon Follett,00:09:50,"No, I don't really know. It was quite a bit more business here than it is, of course, lots more than it is now. It was three or four general stores. I remember when there were three hardware stores, a couple of hotels. And I had a lot of my spoons off Wallabra. So it was quite a business town. There were three little barns, black-wood shops.",technology,hardware
