speaker,timestamp,Endtime,words,tags
,,,,
Rosa Rodríguez,[00:00:02:19],00;00;14;13,"This is Rosa Rodríguezand I will be interviewing Sally de la Garza in Idaho Falls, Idaho. Sally, can you tell me where you were born?",idaho
Celia Herrera (Sally) De La Garza,[00:00:14:16],00;00;17;25,"I was born in Hardin, Montana.",
Rosa Rodríguez,[00:00:17:27],00;00;24;10,"Okay. How did your, family come into Idaho?",family;idaho
Celia Herrera (Sally) De La Garza,[00:00:24:12],00;00;27;29,How did my family come into Idaho? My dad came first.,family;idaho
Celia Herrera (Sally) De La Garza,[00:00:29:12],00;00;49;13,And he worked for the sugar factory as an interpreter. Then they brought 500 families from Mexico to help with the harvest. And he was involved in that. And one of those families happened to be my mother. That's how they.,labor;mexico;agriculture;family
Rosa Rodríguez,[00:00:49:16],00;00;57;26,"They met and that's how they met. And so, when was that family? Do you remember when he first came into Idaho?",family;idaho
Celia Herrera (Sally) De La Garza,[00:00:57:28],00;01;04;11,"He came, in about 19 three.",
Rosa Rodríguez,[00:01:04:14],00;01;05;20,Then he come into Idaho.,idaho
Celia Herrera (Sally) De La Garza,[00:01:05:27],00;01;12;20,"He came into Idaho. He, but before he worked for the sugar factory, he worked for the railroad.",idaho;labor;railroads and transportation
Rosa Rodríguez,[00:01:12:27],00;01;14;06,,
Celia Herrera (Sally) De La Garza,[00:01:15:09],00;01;23;26,"In fact, there's a little town up here somewhere that he used to call strawberry, where he worked on the railroad.",railroads and transportation
Rosa Rodríguez,[00:01:23:28],00;01;26;29,"And, that was like around 1903.",
Celia Herrera (Sally) De La Garza,[00:01:27:00],00;01;27;29,,
Rosa Rodríguez,[00:01:28:01],00;01;38;04,"And, when what do you remember most about Idaho as far as the most recent times? When was it that you remember?",idaho
Celia Herrera (Sally) De La Garza,[00:01:38:07],00;01;46;12,"I remember, I remember, living on a farm.",
Rosa Rodríguez,[00:01:46:14],00;01;48;03,How old were you then?,
Celia Herrera (Sally) De La Garza,[00:01:48:05],00;02;03;03,"Oh, I must've had three, four years old. And we. It was, a mr. Webb that my dad worked for. And after he got through working with the sugar factory, and we used to farmed one.",labor
Celia Herrera (Sally) De La Garza,[00:02:03:05],00;02;11;23,"And we were there forever. Okay. We, We lived there for at least 15 years.",
Rosa Rodríguez,[00:02:11:25],00;02;14;19,So you were about three yourself when you came in from Montana?,
Celia Herrera (Sally) De La Garza,[00:02:14:20],00;02;16;04,"No, I was nine months old.",
Rosa Rodríguez,[00:02:16:05],00;02;16;29,Nine months old?,
Celia Herrera (Sally) De La Garza,[00:02:17:00],00;02;19;21,I was nine months old when we moved here.,
Rosa Rodríguez,[00:02:19:23],00;02;22;17,And can I ask you what year you were born?,
Celia Herrera (Sally) De La Garza,[00:02:22:23],00;02;25;03,I was born 1931.,
Rosa Rodríguez,[00:02:25:05],00;02;32;18,"And your. When your father first came into Idaho. He came in alone, and then he met.",family;idaho
Celia Herrera (Sally) De La Garza,[00:02:32:18],00;02;36;29,And then he met my mother. And they had two children here in Lincoln.,family
Rosa Rodríguez,[00:02:37:01],00;02;39;06,They were born here in Idaho.,idaho
Celia Herrera (Sally) De La Garza,[00:02:39:09],00;02;45;08,"One of them was born in 1920, and the other one was born in 1922.",
Rosa Rodríguez,[00:02:45:10],00;02;52;00,Lincoln being part of Idaho Falls. And that used to be called Lincoln and that now is part of Idaho Falls.,idaho
Celia Herrera (Sally) De La Garza,[00:02:52:03],00;02;57;03,"At that time, it was a separate community all together.",
Rosa Rodríguez,[00:02:57:05],00;03;08;08,"So when your, father worked in the sugar factory, he was an interpreter. Yes. And when you worked with Mr. Webb, he helped him.",family;labor
Celia Herrera (Sally) De La Garza,[00:03:08:09],00;03;13;21,"He, He was like the ranch hand. Mr. Webb.",agriculture
Rosa Rodríguez,[00:03:13:24],00;03;18;12,How did he get into the country? Did he go through immigration process or.,migration
Celia Herrera (Sally) De La Garza,[00:03:18:13],00;03;42;20,"Yes. He had his papers. He had his passport with him. And, when he came in, he came straight to Idaho, as far as I can tell you. Okay. And then the two children were born. Well he married my mother when she was 18 and he was 36. So there was a 20 year difference there.",idaho;family
Celia Herrera (Sally) De La Garza,[00:03:42:22],00;03;52;23,And then they had the two children and then they traveled to different states. In fact I have 3 or 4 brothers that are.,
Rosa Rodríguez,[00:03:52:25],00;03;53;19,White.,
Celia Herrera (Sally) De La Garza,[00:03:53:21],00;03;53;26,From.,
Rosa Rodríguez,[00:03:54:02],00;03;54;28,Different states.,
Celia Herrera (Sally) De La Garza,[00:03:55:01],00;03;56;25,Different states.,
Rosa Rodríguez,[00:03:56:27],00;04;01;26,Did your father speak Spanish only or.,family
Celia Herrera (Sally) De La Garza,[00:04:01:29],00;04;09;26,"He spoke, Spanish at home? But he could speak English. Where he picked it up.",
Rosa Rodríguez,[00:04:09:28],00;04;10;16,You don't know?,
Celia Herrera (Sally) De La Garza,[00:04:10:17],00;04;15;14,I don't know. Okay. But it was all they spoke at home was Spanish.,
Rosa Rodríguez,[00:04:15:16],00;04;23;21,"And when he worked for Mr. Webb, did he work, like, during the harvest or during the summer?",agriculture
Celia Herrera (Sally) De La Garza,[00:04:23:27],00;04;34;07,"During the harvest? Oh. He would work, get the crops in. Okay. And then we'd wintered there.",agriculture
Rosa Rodríguez,[00:04:34:10],00;04;39;05,Did Mr. Webb let him let you stay there without paying anything or.,
Celia Herrera (Sally) De La Garza,[00:04:39:06],00;05;09;22,"We never paid that. I know they never paid any rent. We had a real nice home. I remember it was kind of a big know, very comfortable home. Big yard. We always had plenty to do because my dad raised a big garden, and we always had chickens and beef and pigs. That the farmer. Okay, would turn back for having a kelpie or whatever.",agriculture;food and drink
Rosa Rodríguez,[00:05:09:22],00;05;17;01,"So and so on his off time, on his off season, he would be an interpreter for the sugar factory.",labor
Celia Herrera (Sally) De La Garza,[00:05:17:02],00;05;23;18,"You know, he was an interpreter first. Okay. When he first came into the country, he came straight as an interpreter.",
Rosa Rodríguez,[00:05:23:20],00;05;24;22,Okay.,
Celia Herrera (Sally) De La Garza,[00:05:24:24],00;05;40;02,"After, he quit being in the interpreter. Okay. And he had traveled like this all through the states here. Then he came back and we, he settled here in Idaho Falls on this live on.",idaho
Rosa Rodríguez,[00:05:40:04],00;05;44;04,"And where was it that he, started working for the railroad?",railroads and transportation
Celia Herrera (Sally) De La Garza,[00:05:44:07],00;05;56;19,"That was when he was, let's see, after the fourth child, he worked for the railroad, and then he got hurt.",family;railroads and transportation
Rosa Rodríguez,[00:05:56:22],00;05;58;22,"What year would that be, Sally?",
Celia Herrera (Sally) De La Garza,[00:05:58:25],00;06;02;28,I would say that would was around 1925.,
Rosa Rodríguez,[00:06:03:01],00;06;09;27,"Then you worked for the railroad, Do you? Did he ever tell you what kind of work he did for the railroad?",railroads and transportation
Celia Herrera (Sally) De La Garza,[00:06:09:29],00;06;18;23,"Manual, as far as I know. Because when he broke his feet, they had dropped a rail on his feet. So I figure it was like a labor. Okay.",labor
Rosa Rodríguez,[00:06:18:27],00;06;25;18,Laborers and. And what happened when he. After he broke his feet? Did they help him with things?,
Celia Herrera (Sally) De La Garza,[00:06:25:20],00;06;29;28,He never said. I really don't know. What.,
Rosa Rodríguez,[00:06:29:28],00;06;33;14,Happened? And how long did he work for the railroad?,railroads and transportation
Celia Herrera (Sally) De La Garza,[00:06:33:16],00;06;36;13,I would say it most two years.,
Rosa Rodríguez,[00:06:36:15],00;06;37;20,And then he.,
Celia Herrera (Sally) De La Garza,[00:06:37:20],00;06;48;23,He just went to the farming community. He loved farming. He loved working out in the fields. That was my joy.,agriculture
Rosa Rodríguez,[00:06:48:25],00;07;03;13,"Tell me about your mom. When she. You say that that she had two children at in the Lincoln area. Did she have a midwife, or did she go to a doctor?",health
Celia Herrera (Sally) De La Garza,[00:07:03:15],00;07;17;12,"They had doctors. They had a midwife. But there was a man by the name of Mr. Porter. Okay. He was, Nangle. And his wife was the midwife.",family
Rosa Rodríguez,[00:07:17:14],00;07;19;08,Okay. And so she didn't work.,
Celia Herrera (Sally) De La Garza,[00:07:19:08],00;07;20;12,So she delivered.,
Rosa Rodríguez,[00:07:20:15],00;07;22;09,"Well, were they born at home then?",
Celia Herrera (Sally) De La Garza,[00:07:22:10],00;07;24;10,"They were born at home,",
Rosa Rodríguez,[00:07:24:13],00;07;35;15,"And, tell me a little bit about how you were, raised, assuming you were one of the oldest, children.",
Celia Herrera (Sally) De La Garza,[00:07:35:17],00;07;37;20,I was one I was the youngest out of seven.,
Rosa Rodríguez,[00:07:37:27],00;07;39;19,You were the youngest out of seven.,
Celia Herrera (Sally) De La Garza,[00:07:39:21],00;07;40;04,,
Rosa Rodríguez,[00:07:40:07],00;08;05;15,"So then you didn't have, very many responsibilities as far as helping with the with the little ones. Because you were the people. That was nice for you. Selling. Tell me about growing up, in Idaho, in Idaho Falls. What do you remember most about? About the schools.",idaho
Celia Herrera (Sally) De La Garza,[00:08:05:18],00;08;11;09,The schools?,
Celia Herrera (Sally) De La Garza,[00:08:11:11],00;08;34;11,"We had to war. The districts. Okay. Like they are now. When I started going to school, I went to, Emerson. We were, what we call first street now and hit road. We lived right on the corner of Hit Road. And first that's where our farm was.",conflict;education
Rosa Rodríguez,[00:08:34:13],00;08;37;23,Were Mr. Webb working boy.,
Celia Herrera (Sally) De La Garza,[00:08:37:23],00;08;40;01,And that was way out.,
Rosa Rodríguez,[00:08:40:06],00;08;41;09,Okay.,
Celia Herrera (Sally) De La Garza,[00:08:41:12],00;09;04;28,"And in order to take us to the bus to catch the bus, my dad would have to hitch a sleigh and horses to take it. So we knew it was way out there, oblivious like, like the winters are now there's some mild. I mean, there was so much snow that the electrical wires would actually get buried in the snow.",
Celia Herrera (Sally) De La Garza,[00:09:05:01],00;09;12;25,"It was, but it was fun because we never rode the sled, but we were always cookie bobbin' back. I would go on up and down.",recreation
Rosa Rodríguez,[00:09:12:27],00;09;13;26,,
Celia Herrera (Sally) De La Garza,[00:09:13:28],00;09;18;06,But Amerson was the first school I attended.,education
Rosa Rodríguez,[00:09:18:09],00;09;22;06,Do you did with children go to Emerson also?,
Celia Herrera (Sally) De La Garza,[00:09:22:08],00;09;28;26,"No, because they lived in town. The farm was ours. The, the owner of it lived in town.",
Rosa Rodríguez,[00:09:29:03],00;09;43;19,"So you took care of the farm? Yes, I foster went left in town. Well, tell me about, your friends. Did you do was there very many Mexican people, Hispanic people in Idaho Falls?",health;mexico;idaho
Celia Herrera (Sally) De La Garza,[00:09:43:20],00;09;49;03,"No. In fact,",
Celia Herrera (Sally) De La Garza,[00:09:49:05],00;10;04;06,"When I was before I started school. Okay. I remember the colonia in Lincoln, and there was a lot of families there, but I don't remember them going to school.",education
Rosa Rodríguez,[00:10:04:08],00;10;06;12,"Okay. A lot of Mexican families, a.",mexico
Celia Herrera (Sally) De La Garza,[00:10:06:12],00;10;28;19,Lot of Mexican families. I would say it was at least 30 homes there in Lincoln. And we used to go over there like on Sundays at people that my parents knew. And that's when I play with them. But I never saw him at school. I mean.,mexico;education
Rosa Rodríguez,[00:10:28:22],00;10;34;02,"Well, Lincoln land at Lincoln area is very far from the Emerson area.",
Celia Herrera (Sally) De La Garza,[00:10:34:03],00;11;19;19,"Okay. But see, I that was way after I started school. The colonial was gone, okay. But people were still. They would come and go, okay. They never stayed put. I mean they were always going and coming and but I the only thing that I can think of, the school district was maybe I went to a different school, I don't know, I know that a lot of those people ended up in California because, my parents would visit them later in the later years, we'd go to California and we'd see all these people that had been in Lincoln.",education;history
Celia Herrera (Sally) De La Garza,[00:11:19:21],00;11;33;18,"I think the only, families that really stayed there was the Patterson Pass. And, I don't going to school. I don't remember any Mexican children.",education;mexico
Rosa Rodríguez,[00:11:33:20],00;11;36;28,"So how were you treated, Sally?",
