speaker,timestamps,End Time,words,tags
,,,,
Doug Exton,[00:00:00:00],00:00:08:20,This program is funded through a more Perfect Union initiative of the National Endowment for the Humanities.,
Dr. Liz Redd,[00:00:08:22],00:00:41:15,"Part two. Native American histories: a timeline. Acknowledging hard truths. So this is, I'm just going to very briefly touch on broad strokes because there are multiple histories. And so I'm just focusing on, the U.S. relationship with Native American peoples here. So when we're talking about teaching Native American history, we get that centered there. one of the questions that that I always think about, and then I ask people is when does Native American history start?",
Dr. Liz Redd,[00:00:41:17],00:01:10:09,"From most of our history courses. we start teaching us history. And if we teach any Native American history at all, we started at, culinary, colonization. So we started with 1492, but actually Native American history and the history of North America, starts well beyond that. Native peoples have been living in North America for over 50,000 years.",migration
Dr. Liz Redd,[00:01:10:11],00:01:40:15,"there are frequently new archeological discoveries that or uncovers, that so we, that we find that supports even greater time depth for native peoples being in North America. There was just one in the past year, that extended that time. even earlier than we thought. So we have to think about the fact that native peoples have been here and were here, that they were sovereign people prior to colonization.",migration
Dr. Liz Redd,[00:01:40:17],00:02:12:10,"This concept of sovereignty, the, right to self-governance and the ability to self-governance. Native peoples had governments. They had systems of government, sometimes very complex, but nevertheless systems of government. They were not just, wild savages living in the forest like animals. So and then, you know, if we look at this, timeline here, we can see that even when we start at 1492, we're leaving out some settlements.",
Dr. Liz Redd,[00:02:12:12],00:02:38:11,"the north settlement of the two lands in Newfoundland. and there, are potentially other settlements as well. We're finding we're finding more evidence all the time. but here we have a brief timeline. So we've got, you know, the, the, North settlements, and then we've got Columbus. and then how Columbus enslaved and killed the Tainos and the ROA and the location.",
Dr. Liz Redd,[00:02:38:13],00:03:06:15,"but never set foot in North America. Oftentimes, when we're talking about Columbus in history classes, we never even mention the name of the Tainos. Right? They just say, oh, he came here and, found Native Americans. and we leave out the fact that he enslaved Native Americans, that he killed Native Americans, that, he traded in ten year old girls for sex.",
Dr. Liz Redd,[00:03:06:17],00:03:31:08,"Right. And that might not be appropriate at all grade levels. But I think when we get to the high school level, we can definitely talk about these things and openly and honestly. And there are some great primary source materials. letters from missionaries back to, the monarchy in Spain discussing these economic endeavors. So first person accounts of this happening.",education
Dr. Liz Redd,[00:03:31:10],00:04:00:16,"and then we've got, you know, this this whole history of, invasion and displacements, invasion and displacement. the just continues. until the United States is founded, and then the United States takes up this, displacement. so one of the things that often gets left out as well is if we look at the the date 1513, Ponce de Leon, he actually, was in South Florida but got repelled by the Calusa.",conflict;migration
Dr. Liz Redd,[00:04:00:18],00:04:36:16,"So he did not he was not successful in conquering the Calusa, and nor was de Soto, successful in conquering the Chickasaws. And, you know, we still don't know what happened to Roanoke, but we have some suspicions, right? so this this history is not simply one of, conquest. It is one of, struggle and tension. And it clearly demonstrates that not all of the native American peoples were here waiting with open arms to welcome the colonizers.",conflict
Dr. Liz Redd,[00:04:36:18],00:05:12:19,"and then, you know, even in Hawaii, violently lifted up against. so during the early years of the US government, the judiciary was involved in determining the relationships between native nations and the US. so prior to that, there had been treaties that had been signed. now, there was this newly formed US government. And, a lot of times these treaties, had been broken or needed to be renegotiated, but, the Supreme Court was actually involved in making, a series of decisions that are collectively termed the Marshall Trilogy.",
Dr. Liz Redd,[00:05:12:21],00:05:47:02,"that established among them the Doctrine of discovery, which asserts that might makes right and that the US fairly won lands through conquest and it justifies Western expansion and continued, imperialism across North America. they also established US federal supremacy over states in decision making regarding, native nations and in, who has authority to try, crimes, on native lands.",
Dr. Liz Redd,[00:05:47:04],00:06:27:07,"so some of those are, retained by the native nation, and some of those are allocated to the federal government, but none of them were supposed to be allocated to the state. Again, this was a nation to nation relationship. Then under Cherokee Nation, we Georgia. the, the Cherokee Nation was termed the domestic dependent nation. So it established this really, kind of nuanced and problematic relationship that both upholds native nations as sovereign nations, but at the same time calls them domestic dependent nations.",
Dr. Liz Redd,[00:06:27:09],00:07:11:08,"but as part of that, there was a trust responsibility established. So the, the, the Supreme Court said that the United States had a responsibility to keep its word from previous treaties, to keep its word in current negotiations and to protect native peoples from further, harms. whether that. Yeah. I'll leave that aside. and then in, west of Georgia again, it upheld the federal supremacy, of, the clause so that the federal government was the one who had the right to make laws to enforce in Indian country, not states.",
Dr. Liz Redd,[00:07:11:10],00:07:39:12,"But in the past year, we've seen that some of this is is being reversed. in decisions regarding Oklahoma. and Oklahoma is an interesting place because, what what where other places had reservations and Oklahoma early had reservations. the government there was, superimposed on those reservations. And so the state had a bit more say in what's going on.",
Dr. Liz Redd,[00:07:39:18],00:08:05:24,"And this was challenged under McGirt. the Oklahoma in 2020 and the federal supremacy, clause was upheld there. but in Castro courts of Oklahoma, this seems to be, being retrenched a little bit. because it seems to reverse, this idea of federal supremacy, because it establishes that states can prosecute non-natives on native lands.",
Dr. Liz Redd,[00:08:06:01],00:08:37:23,"So there's this this is even though this Marshall trilogy, was established in, Mississippi 1832, not 1932. There we go. Thank you. Let me change that on the fly. even though the Marshall trilogy, was established in the 1800s, early 1800s. Really? When the, the US was in its infancy. We're still revisiting these issues today, as we can see with the recent Supreme Court decisions.",
Dr. Liz Redd,[00:08:38:00],00:08:55:08,"But one take away from this is that native nations are sovereign, and it's a nation to nation relationship that was established between native nations and the US government, not between native nations and local governments or native nations and state governments.",
Dr. Liz Redd,[00:08:55:10],00:09:21:24,"So then if we also look at, the history of U.S. policy, and there's another timeline here taken from in part from, Pivar, 2004 that we see, some general trends in. And so Pivar divides up, the history of U.S. policy toward native peoples, into this, eras and this first era, it calls coexistence, right?",
Dr. Liz Redd,[00:09:22:01],00:09:57:06,"So there was, some slavery, at, at, immediately at first contact. there was a disease, that wiped out significant numbers of native peoples. And then there was a period of, relative peace, with native nations being sovereign nations, entering into treaties with, the colonial governments. And then, in the 1790s, we move into this era, called the, the terms of trade and industrial era.",history
Dr. Liz Redd,[00:09:57:08],00:10:22:19,"and during this time period, 1790s to about 1830, we see that we get, the Marshall Trilogy. we get, decisions that, state that the United States government controls the sale of native lands, not, states, the United States and brokers those sales. and that's through the Non Intercourse Act. And we get, lots of treaties with the US.",
Dr. Liz Redd,[00:10:23:00],00:10:50:04,"So no longer treaties with England, France and Spain. But now with the US we get the establishment of emissions and we get some native nations inviting missionaries in to establish, education system, formal education systems. but we also get kind of enforced education becoming the norm. and then in 1824, the Bureau of Indian Affairs is established under the War Department.",conflict
Dr. Liz Redd,[00:10:50:06],00:11:19:03,"And then from the 1830s until about 1887, this is the era of removal and reservations. So we get, Jacksonian removal policy to trace the Trail of Tears. And, as Jefferson described it, the space to live people were native peoples were, intended to be given the space to live undisturbed and to gradually adjust to mainstream U.S. society.",
Dr. Liz Redd,[00:11:19:05],00:11:50:01,"In the starting in about 1887, we see, the Allotment Act. So this is the allotment and assimilation era. the so the Allotment Act is, an act that took all of these reservation lands, lands that were held communally by the native nations and divided up the lands into what's now called the patchwork. so that those individual allotments of land could be, allotted to families.",indigenous
