speakers,timestamp,End Time,words,tags
,,,,
Doug Exton,[00:00:00:00],00:00:11:07,This program is brought to you by the Idaho Humanities Council and supported with funding from the National Endowment for the Humanities.,
Dr. Becca Scofield,[00:00:11:09],00:00:46:15,"Hello, welcome. I'm Rebecca Scofield. I am an American historian with an emphasis in gender and sexuality in the American West. And I am from Idaho. I grew up here, and I love this place. And I want to talk to you all today about how we can teach the history of our state in a way that acknowledges the hardships that Euro-American settlers faced while also, discussing how they did not face as many barriers as other groups did, as they tried to live in the region.",history
Dr. Becca Scofield,[00:00:46:17],00:01:19:21,"So particularly for teachers, are people who have close friends in the state. It's important to remember that a lot of people are settler descendant. They have families who help settle the state, as did many of us. but that means, we need to find ways to help our students and ourselves and our peers, deal with the messy history of our region, while making room for everyone's stories.",migration
Dr. Becca Scofield,[00:01:19:23],00:01:47:23,"and in a way that we can, deal with history and be proud to be, from this area. So I'm going to go ahead and share a PowerPoint with you today. How do we tell the story of our state and in honest ways and ways that, we can all acknowledge, incorporates as many voices as possible?",
Dr. Becca Scofield,[00:01:48:00],00:02:15:11,"So this is a picture of my beloved home in Emmett, Idaho, including my, parents home up on the hill and our family ranch down by the river. I love this place in the world more than I can say. And therefore, it's incredibly important for me, to not only find ways to tell these stories myself, but to help future generations.",agriculture
Dr. Becca Scofield,[00:02:15:13],00:02:55:12,"tell the story of the state in a way, that connects their own families to, the myriad stories of other people in the state and demonstrate how we're all connected. as we discuss regional history. So my family first moved to Long Valley and as this, 1961 history of the, of the area says, quote, the history of Idaho's Long Valley began in the 1870s.",
Dr. Becca Scofield,[00:02:55:14],00:03:24:22,"Now, for historian, this is an absurd statement. Obviously, the history of Long Valley is much, much older than the 1870s, but it does reveal, a fact about how we tend to tell the history of the state, and that is that before contact, you know, maybe before Lewis and Clark, certainly, you know, before settlement, there is no history, of the area.",
Dr. Becca Scofield,[00:03:24:22],00:03:58:21,"It's simply, existed out of time and space and very, very, few histories of the region, really, contest that fact. So I think it is always important to, resist this easy form of telling history. Right? When I was growing up in Emmett, I had no idea whose ancestral lands I was on. Surely the history of the land didn't start before my family arrived.",history
Dr. Becca Scofield,[00:03:58:23],00:04:25:01,"and it wasn't until I was much older that I realized how, wrong that was. That it would have been, incredibly important for me to understand whose, ancestral lands I was on. So I encourage us all to dig deeper than this statement. So who did inhabit, Long Valley? And how did we end up with statements like this?",history
Dr. Becca Scofield,[00:04:25:01],00:05:04:24,"But history started the 1970. Well, several groups use the valley. the first, was, of course, the Niemi pool. whose ancestral land? those of us in Moscow, sit on today. the Navy, whose traditional homelands stretched over 19 million acres. And when Great Britain started, to try to settle a dispute with the United States over essentially Oregon Territory, white Euro-American settlers started pouring into the area.",history;moscow
Dr. Becca Scofield,[00:05:05:01],00:06:03:11,"In 1855, the territorial governor convinced some leaders of the Niemi pool, to give up 7.5 million acres, though they were supposed to retain the right to fish and hunt in their accustom areas. This was called the treaty of 1855. Now, unfortunately, just a few years later, in 1860, gold was discovered in the area within the boundaries of the reservation, and this sparked massive, influx of settlers who refused to abide by treaty rules and in 1863, a few leaders, signed a, treaty that many bands of the Nez Perce or Niemi who disagreed with and did not want to abide by this was the, treaty of 1863.",conflict;indigenous;history
Dr. Becca Scofield,[00:06:03:13],00:06:49:15,"Now, the following war, year, sort of, you know, we have the creation of the Civil War, not the creation, the start of the Civil War and the creation of the Homestead Act, which is this massive social welfare program, in which land is being given away to Euro-American settlers, which puts increasing pressure, on the Pu and will eventually result in the, quote unquote, Nez Perce War of 1877, in which, of course, very famously, 800 men, women and children trekked 126 days over a thousand miles, trying to make it to the Canadian border, only to be defeated, within 30 miles of that border.",conflict;agriculture;history;migration
Dr. Becca Scofield,[00:06:49:17],00:07:18:21,"So, the Niemi pu used the area. so to it, it sort of, occupied the very, very southern, part of the Niemi whose territory it also occupied the very, very western part, of the of, a group that would become known, by their colonizers as the Lemhi Shoshone. including some of these subcategories.",indigenous
Dr. Becca Scofield,[00:07:18:21],00:07:58:06,"Again, these are names, given by your Americans, not, by necessarily, the people themselves. So, most importantly, the two tika or sheep eaters use the kind of high central mountains, as a place to, live alongside and also, trap, the, high, mountain sheep of the area and, to, move in nomadic patterns throughout, Montana, Wyoming and parts of Idaho.",environment
Dr. Becca Scofield,[00:07:58:08],00:08:40:10,"So these groups, because they were so high in the mountains, were often somewhat, shielded from, early waves of Anglo encroachment. it really wasn't until the first waves of the, settlers, of the, church of Jesus Christ of Latter day Saints moved into the area that, there was kind of, sort of systematic colonization efforts that would, bring people, to reservations that were not, equipped to sustain the level, of people people were literally starving on these reservations, particularly Fort Hall.",environment;history;religion;migration
Dr. Becca Scofield,[00:08:40:12],00:09:21:22,"and, and other places like that. this first sparked the Bannock War. but as the Nez Perce War had sort of increased, military attention to keeping people on reservations, there was a very, violent response to the Bannock War, and eventually, led to the Sheep Eater War of 1879, in which, as mining had expanded into the mountain, in 1878, there were some murders of both Chinese and Anglo miners.",indigenous;conflict;mining
Dr. Becca Scofield,[00:09:21:24],00:09:54:14,"and these were blamed on native people without evidence. So in 1879, military forces from Boise, Greenville and the Umatilla Reservation were deployed, which resulted in the surrender of the last bands of the to the idea or the to part of this larger Lemhi Shoshone. So this these stories of violent removal. Right. it's really part of a larger story about the American West.",conflict;boise;indigenous
Dr. Becca Scofield,[00:09:54:16],00:10:29:23,"Usually, we like to tell the story of westward expansion as one of, of sort of independent spirit and, a great, deal of, up by your bootstraps mentality. And while it is true that it was extremely hard, to settle these areas, it is also the fact that without, the federal government, through the Homestead Act instead act through, military removal, and seizure and redistribution of land.",agriculture;conflict
Dr. Becca Scofield,[00:10:30:00],00:10:59:22,"and then also, of course, extractive industries like mining and lumber, and the industries that were able to carry these raw, resources like the railroads to urban centers, then this region would not have been, of interest to many Anglo settlers. So when we talk about the settlement of the West, we need to keep in mind that it's really, large government and corporate actions that make, this settlement possible.",mining;history
Dr. Becca Scofield,[00:10:59:24],00:11:37:06,"And indeed, as, Long Valley became an area for Finnish settlers, they could not have access to that land without, both the Homestead Act and the U.S. military's intervention in, removing indigenous people. So my great great grandfather, John Gustav lost or Pulaski as it was originally in Finland, was able to claim, land, because of the Homestead Act.",history;agriculture;indigenous
