speaker,timestamp,Endtime,words,tags
,,,,
Martha Tórrez,[00:00:01:27],00;00;28;22,"Yes. My name is Martha Tórrez. Today is March 16th, 1991. We're at the home of Mr. Henry Peña, and his address is at 315 Seventh Avenue North, Nampa, Idaho. It's approximately 1:17 p.m.. And, Mr. Peña, my first question that I'd like to ask you is where, when did you first come to the state of Idaho?",nampa;idaho
Henry Peña,[00:00:28:24],00;00;35;28,"In March of 1947. I think that's 47, 39.",
Martha Tórrez,[00:00:36:04],00;00;40;20,1939? Yes. Why did you come to the state of Idaho?,idaho
Henry Peña,[00:00:40:22],00;00;59;07,"Because of, we that came here on, trip, he came to freighter because he wasn't making enough money to support us in Colorado. He was earning a dollar a day for ten hours work.",
Martha Tórrez,[00:00:59:10],00;01;00;14,In Colorado and.,
Henry Peña,[00:01:00:14],00;01;41;17,"Colorado. So he decided to come here because he had a friend here that ... told him her daughter was making good money. And so he arrived in this, in that winter and, well, he left home on the last day of January, moved up this freight, and he told us he had froze to death, but he made it to whole working for there was farmers recruiting laborers for the next spring crop on the beach.",agriculture;recreation
Henry Peña,[00:01:41:19],00;02;10;23,"So he went to this farmer in Marsing, and Mr., what was his name? Hardin, I think, and Herschel, two farmers and they this farmer call and yes, he did come and work for him and. They said, okay, right away. He didn't even know that. And they told him, how much money do you need? And dad said, dollars.",marsing
Henry Peña,[00:02:10:25],00;02;27;22,"I think about $100 in those days, hundred dollars a month. And so he he said, well, do you need a truck? Do you need a car to bring your family? He said, no, I got a car back on that train trailer with and he got up to ride at home.",family;agriculture
Martha Tórrez,[00:02:27:24],00;02;35;05,So your father came first before you brought them. When you say that he just about froze to death. Was that on his way here?,family
Henry Peña,[00:02:35:05],00;03;09;28,"Yeah, on a freight train boxcar. Because I had no way to pay for any transportation. So that's what he done. And he had some relatives there in the outbreak in Utah. He stopped there and went to visit them. And I gave him some food and lunch so he could make it to Salt Lake. And there he had another friend that he came with him, can't remember his name, but they both came.",food and drink;recreation
Henry Peña,[00:03:09:28],00;03;26;02,"And, this farmer, like I said, this farmer offered everything he needed. So he went home and he told us, we want to go to Idaho. And we said, or is Idaho.",idaho
Martha Tórrez,[00:03:26:04],00;03;27;24,Had never heard of. No.,
Henry Peña,[00:03:27:26],00;03;57;17,"No, no. I said, well, it's way far. And that was for us. We never been out of state or nothin. So he said, well, pack up and leave. So we left and time that we left, we had quite a bit of trouble with the train. It took us seven days to get from there to here, and now it only takes us about 12 hours.",
Martha Tórrez,[00:03:57:19],00;03;59;18,What kind of trouble did you have?,
Henry Peña,[00:03:59:19],00;04;34;28,"Tires, flat tires and troubles with a little trailer. And that time we couldn't find a tires for that same mate as a trailer. So about ten miles that we had a lot of clothes and that said, well, fix that tire. So we patted him with old clothes and he made about ten miles, and we didn't get hardly that green river here till I got ten miles in the desert, so that we stayed till her brother Benny Low pitched.",agriculture;family
Henry Peña,[00:04:35:00],00;05;06;14,"He hitched a ride to the river and he found a tire. So we came back and hit another ride. And then he come. We put it on and it didn't work, but we had to get another tire and we were to make sure my dad wouldn't go over 30 mile an hour. And he had a big old and concert for so 32 of them tires were pretty huge, but it took us that long.",art
Henry Peña,[00:05:06:17],00;05;36;25,"We would travel back five six hours a day and then we'd camp out. We couldn't write down what it was, so we had to camp out and, Tomo, you call that here to Napa? That said, oh, all are about me marching 20 miles more. But, he said, we gotta stop past Napa. I need a way stop around for Lake View School with no.",recreation;education
Henry Peña,[00:05:36:27],00;05;52;25,"And we said, how far is it yet? So it's just over the hill. And it took just about another hour from there. And then it was up there and farmer had a place or it was a chicken coop, so.",food and drink
Martha Tórrez,[00:05:52:27],00;06;04;10,"Oh my goodness. Before, before we move on to that, Mr. Peña, those seven days that before you got to Nampa, it seems that money was a problem. What did you do for food?",nampa
Henry Peña,[00:06:04:12],00;06;14;27,"Well, we had thought we had beans and stuff that go by hand over there and stuff from them. Hundred dollars to get from the farmer.",food and drink
Martha Tórrez,[00:06:14:29],00;06;17;09,So when every time you camped out that's.,
Henry Peña,[00:06:17:11],00;06;42;27,"You know what you can we we made our own, we made our own food and all it by was bread or mom, her sister, she'd make tortillas out on the desert or just take us to Layton she didn't make and not. We found that, Marsh. And we still had money left.",food and drink;family
Martha Tórrez,[00:06:42:29],00;06;46;15,So was this during the winter that you were doing ...,
Henry Peña,[00:06:46:17],00;06;47;09,But March.,
Martha Tórrez,[00:06:47:09],00;06;47;25,That march.,
Henry Peña,[00:06:48:06],00;06;50;01,About time to start out and be.,
Martha Tórrez,[00:06:50:01],00;06;55;19,"Well, it was still kind of cold. So when, while you were getting on your trip to Nampa, how did you.",health;nampa
Henry Peña,[00:06:55:22],00;07;19;22,"All those times. By that time it was different weather. And now. Oh yeah, by April it was already warm. So you in March and wasn't? No, I was happy with that was an hour and a half picnic. That we got to march in that day and that's what we found. But it was still better than what we had in Colorado.",recreation
Henry Peña,[00:07:19:22],00;07;37;20,"We just had a house, but they just said room and kitchen. And, you know, that diner and kitchen were there. And the bedroom and that sleep over there was my home bed for my sisters and him and his wife.",family
Martha Tórrez,[00:07:37:23],00;07;42;11,But the first house that the farmer or the provided you with was a chicken coop.,food and drink
Henry Peña,[00:07:43:25],00;08;12;08,"Yeah. And there was another two families there afterward. Yeah. They got there. Oh right. And so let's start what was in the 1 or 2 days before we started working and dad said, well, can the family work here? A farmer said, oh yes, I had a hold on a ranch along Colorado. They wouldn't let you work out on the field.",family;agriculture
Henry Peña,[00:08:12:08],00;08;23;26,"Still, you was 14 or 16. What a way to I mean, I started working and that I only started making about $100 in a day.",
Martha Tórrez,[00:08:23:29],00;08;26;02,And for the whole family.,family
Henry Peña,[00:08:26:02],00;08;54;02,"Yeah, my whole family was me and my older brother and my sister and dad. Four of us, their sisters were on the school. Mary and. And know. Well, she was the only one. But, and when we start work and and like to work there all summer and hay and and all that, that farmer was real good.",family;education;agriculture
Henry Peña,[00:08:54:04],00;09;18;17,"He never did remind dad and daddy had to pay him that money, but dad paid it to like. And dad when we came, he didn't pay for his car. He said he did pay a payment or two and he knew he had made the payment. But them guys over there said no, you never saw. They came and compensated his car.",
Henry Peña,[00:09:18:20],00;09;26;17,"And dad said, I'm not going to give you no more money. So you know why I'm making enough now to buy two cars. Okay, so.",
Martha Tórrez,[00:09:26:24],00;09;27;28,So they came and they.,
Henry Peña,[00:09:28:00],00;09;28;08,Took.,
Martha Tórrez,[00:09:28:09],00;09;29;26,The car?,
