speaker,timestamp,End Time,words,tags
Spanish Translator 1,00;00;04;09,00;00;42;09,"Mi nombre es Margaret Johnson. Yo soy la presidente de la mesa de Indiana. Y profesora en la universidad. Bienvenidos a la discusión esta noche del. El cambio de la cara de los medios con Christina Lords, Don Day y Clint Schroeder y Pell va a ser facilitador. Esta presentación es parte de la democracia. Y la ciudadana mía, eh conocida de un fondo de.",
Spanish Translator 1,00;00;42;12,00;01;19;19,"Andrew W. Mellon Foundation. Apreciamos mucho su apoyo. Antes de presentar los panelistas esta noche pueden mandar preguntas usando eco al pie de la página. Y es un placer presentar a las personas que van a presentar esta noche. Don Day, fundador de Voces dos en 2016. Se habla de los. Las historias de cómo cambia Aria y dale con el desarrollo, la construcción.",
Spanish Translator 1,00;01;19;21,00;01;59;20,"Para que entiendan los cambios que ven ustedes en los vecindarios. Con un grupo de reporteros. Hablan de Boise, Meridian, Amber McCall, Sun Valley y los. Las otras áreas. Christina Lords es la editora en jefe de Capital San. Y es periodista que de periodismo local. Se graduó en 2009. Este pequeño teclado y cinco generación. 5ª generación de Adele ha trabajado anteriormente en otros periódicos.",boise
Spanish Translator 1,00;01;59;23,00;02;28;06,Y trabajó también con Idaho Press. Y también en dos años antes de trabajar en el periodismo no lucrativo. Tiene cuatro 14 premios de Europa Press Club y yo Santa. Y primer premio de escribir a de columnas de periodismo. Reportero.,
Spanish Translator 1,00;02;28;09,00;02;44;29,"Lee Greater E trabaja con Algodón News en Media Group. Eh, Antes de empezar ahí. En 2010 fue vice presidente para el periódico más grande. Ahí dejo ahí.",
Spanish Translator 1,00;02;45;01,00;03;26;22,Cuatro años y medio. Y también su periodo de dismo. Son ocho años en mercadeo de anuncios. Y moderando. Esta noche es Bill Manning. Es. Trabaja con ID a public televisión y televisión y ha trabajado en también en dieci y también 18 años en D.C. Ahora vamos a empezar la charla esta noche con Bill. Gracias. Bienvenidos a todos en vivo en esta grabación y gracias a todos los panelistas.,
Spanish Translator 1,00;03;26;24,00;03;41;28,Y si tienen interés a algunos de los panelistas. Una pregunta. Hay un botón de preguntas y respuestas. Un para mandar las preguntas.,
Spanish Translator 1,00;03;42;01,00;04;36;18,"Y cuando estábamos hablando anteriormente con estas tres personas, algo que ha cambiado más en el periodismo en Idaho es. Y la. El título de esta noche es cómo está cambiando los medios en Idaho. Una de las cosas que ha cambiado mucho son las condiciones en que trabajan seguridad, hostilidad, las actitudes hacia la prensa. Vamos a empezar con Slant porque este fin de semana vimos parte de eso en tu pueblo, tu ciudad, donde había un problema entre conservadores de grupos de derecha que vinieron para protestar de Pride Parade y han visto la hostilidad y lo que esto escribieron ha sido en contra de los oficiales de policía.",
Spanish Translator 1,00;04;36;20,00;05;06;14,"¿Puedes hablar de lo que viste este fin de semana? ¿Qué pasa? Está pasando en tu comunidad y cómo tu personal, eh, Está, eh, está a a. ¿Qué están haciendo con esto? Gracias por invitarnos esta noche. Y este fin de semana fue un tiempo interesante en el norte de Idaho. Al verlo desde nuestra perspectiva y del de donde escribimos en la prensa, es la.",
Spanish Translator 1,00;05;06;15,00;05;39;19,"La prioridad es la seguridad y asegurar la seguridad del equipo. Eh, Cuando están en el campo y también en la oficina, es un problema cuando hay más tensiones con estos asuntos sociales que mencionaste y el interna internamente es un problema de de un líder. En las últimas noticias, de ser seguros de lo que estamos viendo sin tener juicio de lo que estamos reportando.",
Spanish Translator 1,00;05;39;21,00;06;23;25,"Y el último fin de semana lo que nos pasó es mejor, mejor. La última es la última persona que va a escribir un artículo para tener, eh, un algo correcto. ¿Creo que esto es importante que nosotros veamos esto cuando estamos hablando de las noticias falsas, eh? Y tener las declaraciones correctas y y atrás. Y este fin de semana, eh, Sabíamos que íbamos a tener problemas en sobre estos asuntos y entramos nosotros tenemos que tener cuidado en lo que estamos publicando.",
Spanish Translator 1,00;06;23;25,00;06;58;18,"Tener, eh, eh, cuidado en las fotos que se permite en las redes sociales y equilibrados y honestamente, de las personas que están leyendo de afuera o un día, o las personas que estaban ahí en en la ciudad en el evento, como ustedes saben, ocurrió y habían no había un problema. Estaba en una parte pequeña, pero la gente involucrada, eh.",
Spanish Translator 1,00;06;58;18,00;07;36;20,"En total dos de los 31 no eran de A y yo creo que es algo que nosotros vemos más donde hay más tensión, más problemas, más global sobre un asunto, y todos estamos en el escenario global. Lo que necesitamos hacer es participar, que habrá participación en cualquier que sea la evento, si es virtual o en persona de de las personas que están leyendo, eh, de las opiniones en todo el país y hasta nivel internacional.",
