speaker,timestamp,End Time,words,tags
Sam Schrager,00:00:03,00;00;25;01,"This interview with Palma Hanson Hove was recorded at her home in Moscow on June 13th, 1975. The interviewer is Sam Schrager.",
Sam Schrager,00:00:25,00;00;28;22,Of the Genesee Valley.,
Palma Hanson Hove,00:00:28,00;00;31;14,I don't know exactly...,
Palma Hanson Hove,00:00:31,00;00;56;20,"...He was on his own and wanted to go west and sort of worked his way, from Wisconsin until he got, well, he, like I told you before, he logged up in the Blue Mountains for a long time and and drove oxen team and all that sort of stuff. And then I suppose, probably met somebody that was going to Genesee.",
Palma Hanson Hove,00:00:56,00;01;01;21,"Now, I'm just not too sure about this, but I think.",
Palma Hanson Hove,00:01:01,00;01;06;18,That's the way it was. It seems to me like I heard him say that it was a.,
Palma Hanson Hove,00:01:06,00;01;10;02,"Fellow by the name of Dennis Miller, that he met, and.",
Palma Hanson Hove,00:01:10,00;01;20;00,He was going to Genesee. And so he went along and got work and and then just liked it there and stayed.,
Sam Schrager,00:01:20,00;01;23;08,"And, he had been born in Wisconsin.",
Palma Hanson Hove,00:01:23,00;01;26;10,"Oh, yes. He was born in Wisconsin.",
Palma Hanson Hove,00:01:26,00;01;29;20,"And I expect he was about,",
Palma Hanson Hove,00:01:29,00;01;33;16,Oh.,
Palma Hanson Hove,00:01:33,00;01;36;03,I don't.,
Palma Hanson Hove,00:01:36,00;01;45;08,Let me see if it says anything in my scrapbook about that. It's it's right in there.,
Palma Hanson Hove,00:01:45,00;01;49;20,"And but, yeah, he came out here.",
Palma Hanson Hove,00:01:49,00;01;55;27,"I thought maybe 17, 18, 63. He went to Walla.",
Palma Hanson Hove,00:01:55,00;02;03;22,"Walla in the spring of 1888. And in the fall of 1889, he came to Genesee.",
Palma Hanson Hove,00:02:03,00;02;06;21,So.,
Palma Hanson Hove,00:02:06,00;02;09;04,He was lodging with acts action teams for a long time.,
Palma Hanson Hove,00:02:09,00;02;17;21,"Follow the same business here, arriving at the same time.",
Palma Hanson Hove,00:02:17,00;02;20;11,Let's see.,
Palma Hanson Hove,00:02:20,00;02;26;15,"When Genesee was moving from Old Town, he assisted in moving some of the building with his yoke of oxen.",
Palma Hanson Hove,00:02:26,00;02;27;29,"At,",
Palma Hanson Hove,00:02:28,00;02;44;13,"The old town was further out past the elevators at that time. So he helped move the buildings into, which is Genesee now.",
Palma Hanson Hove,00:02:44,00;02;51;07,"And just goes out. They were married by the Reverend Thomas Guard, which you mentioned one time.",
Sam Schrager,00:02:51,00;02;55;28,"And your mother, was born in Norway.",
Palma Hanson Hove,00:02:56,00;02;57;21,Yes.,
Palma Hanson Hove,00:02:57,00;03;03;01,"He was born in,",
Palma Hanson Hove,00:03:03,00;03;08;27,In a little town in Norway. Well.,
Palma Hanson Hove,00:03:09,00;03;12;15,"At Trondheim, Norway, she was born.",
Sam Schrager,00:03:12,00;03;19;11,"Did you ever know why? Her. Why she and her parents, came over to America?",
Palma Hanson Hove,00:03:19,00;03;21;27,,
Palma Hanson Hove,00:03:21,00;03;22;20,Some of their.,
Palma Hanson Hove,00:03:22,00;03;41;19,"People came first to America, and then, you know, then they'd send for them if they were here a while and had a little bit money, then they'd send for some of the rest of them, and then they'd have to work their their passage out after they got here. It would take quite a few years sometimes if you had a family.",
Palma Hanson Hove,00:03:41,00;03;44;18,"But that's,",
Palma Hanson Hove,00:03:44,00;03;46;10,"They came to, Sioux Falls.",
Palma Hanson Hove,00:03:46,00;03;48;09,South Dakota.,
Palma Hanson Hove,00:03:48,00;03;50;05,And just go down from there.,
Sam Schrager,00:03:50,00;03;54;13,Telling. Did her father have to work his passage? Do you know?,
Palma Hanson Hove,00:03:54,00;04;04;21,"Oh, I'm sure he did. Yeah. Yes. And in fact, I know if you did, but I can't remember. It must have just been,",
Palma Hanson Hove,00:04:04,00;04;06;05,,
Palma Hanson Hove,00:04:06,00;04;26;15,"Cousin or somebody that came first of, of his of my mother's father. And, then they took up the homestead, and then they worked for them until. But I know they lived in the sod house because they didn't have buildings, you know.",
Palma Hanson Hove,00:04:26,00;04;29;14,So they lived in a side house for.,
Palma Hanson Hove,00:04:29,00;04;39;08,"Quite a few years. And then my first my uncle came out west, and then he sent for his parents, and then my mother came. And so that's the way they did.",
Palma Hanson Hove,00:04:39,00;04;52;24,"You know, they just sent her till they got all the family out here and, they seem to, you know, manage some way. I don't know how they did it, but they did.",
Sam Schrager,00:04:52,00;04;56;24,Do you think Genesee was a very attractive place for people to come?,
Palma Hanson Hove,00:04:56,00;05;09;08,"And, there was so much good farmland here, you say. And that was the reason that, and the soil was very good. And at that time, because not my.",
Palma Hanson Hove,00:05:09,00;05;09;19,Folks.,
Palma Hanson Hove,00:05:09,00;05;19;07,"Didn't take a homestead, that was before they came that they had homestead. Right. But some of the people that that that came.",
Palma Hanson Hove,00:05:19,00;05;24;06,"I bet you, Mr. Hagan could tell you about that. But,",
Palma Hanson Hove,00:05:24,00;05;34;17,Time my folks came over ready to buy land was. Yeah. There was no more homesteads to get. You'd have to go to the timber for that above try.,
Sam Schrager,00:05:34,00;05;40;20,"Isn't that with what they did? Wasn't, didn't you tell me that they who had the homestead.",
Palma Hanson Hove,00:05:40,00;06;02;18,"And my grandmother, my mother's parents had the homestead up above Troy, and, they lived there until they proved up on there, like they say, you know, the proved up on their homestead. But while they were there, they, had made shingles and, cut wood, you know, and made their living that way, selling hard.",
Palma Hanson Hove,00:06:02,00;06;02;29,Working.,
Palma Hanson Hove,00:06:02,00;06;07;03,Shingles. I can remember the shingle camp real good.,
Palma Hanson Hove,00:06:07,00;06;09;27,They just get a little hole in the timber.,
Palma Hanson Hove,00:06:09,00;06;14;11,"You know, and then put sort of a roof over so you wouldn't get wet if it was raining.",
Palma Hanson Hove,00:06:14,00;06;22;11,And they sat under that and made those shingles by hand. I can remember that real well.,
Sam Schrager,00:06:22,00;06;28;01,"They decided to, to, live near Troy because they could get a homestead.",
Palma Hanson Hove,00:06:28,00;06;29;26,Yes. That was that.,
Palma Hanson Hove,00:06:29,00;06;31;09,,
Palma Hanson Hove,00:06:31,00;06;50;20,"And my uncle only had 40 acres, but, after they had proven up on their homestead and they were getting quite old by that time way, then they came back to Genesee Valley and, and lived on my uncle's 40. And then, they lived there until they weren't able to live a long. Then they lived with my folks.",
Palma Hanson Hove,00:06:50,00;06;51;08,It had.,
Sam Schrager,00:06:51,00;06;54;21,Been hard for them as older people to to homestead.,
Palma Hanson Hove,00:06:54,00;07;12;27,"Well, and it was hard, but they did it. They had a team of horses, you know, and and they, You bet it was hard. They had a few cows, you know, so they got their butter cream and.",
Palma Hanson Hove,00:07:12,00;07;14;29,"Made shingles and stuff, enough to buy.",
Palma Hanson Hove,00:07:14,00;07;19;15,"Some flour and sugar. And, you know, the other there was no.",
Palma Hanson Hove,00:07:19,00;07;20;26,"Luxuries, let me tell you.",
Palma Hanson Hove,00:07:20,00;07;27;25,That made their own cheese. I can say those cheese farms. Yeah. I wish to goodness.,
Palma Hanson Hove,00:07:27,00;07;37;22,"You know, that I'd kept some of that stuff. But, you know, when we were growing up and that stuff was around, but that was junk.",
Palma Hanson Hove,00:07:37,00;07;48;26,"Give my teeth for some of those things. Now that you just never even thought about that, someday they would be valuable. I managed to keep.",
Palma Hanson Hove,00:07:48,00;07;51;21,"My grandmother's spinning wheel, for which I'm very.",
Palma Hanson Hove,00:07:51,00;07;55;19,Thankful.,
Sam Schrager,00:07:55,00;07;59;14,You remember going up there from the trips to the.,
Palma Hanson Hove,00:07:59,00;08;10;29,"Yeah, that would be about, Oh, goodness. How far would it be? Cross road from denim from, Well, we were four miles north of Genesee.",
Sam Schrager,00:08:11,00;08;14;28,And we'd be about 12 miles to Moscow and then to.,
Palma Hanson Hove,00:08:15,00;08;16;17,"No, we didn't go to Moscow.",
Sam Schrager,00:08:16,00;08;16;29,That's right.,
Palma Hanson Hove,00:08:16,00;08;25;29,"You we went cross road, but I dare say up to where my grandfather was. It must have been 20 miles at least.",
Palma Hanson Hove,00:08:26,00;08;28;04,And we used to go off.,
Palma Hanson Hove,00:08:28,00;08;32;04,And ride up there in the lumber wagon. My father would bring wood.,
Palma Hanson Hove,00:08:32,00;08;42;12,"Back, you know, and so like. Yeah, well, that was a great trip to get to go up to the timber. I was.",
Sam Schrager,00:08:42,00;08;45;02,"Like, was that was it an exhausting trip for a kid.",
Palma Hanson Hove,00:08:45,00;08;46;03,To go?,
Palma Hanson Hove,00:08:46,00;08;49;22,"You know, in those days it wasn't.",
Palma Hanson Hove,00:08:49,00;08;50;10,I suppose.,
