speaker,timestamp,End Time,words,tags
,,,,
Rosa Rodriguez,[00:00:02:24],00:00:06:06,"This is Rosa Rodriguez and I will be interviewing Ofilia Lott-Ramos in I don't know if I was Ofilia, where were you born?",
Ofilia Ramos,[00:00:15:13],00:00:21:05,"I was born in Spofford, Texas, February 9th, 1943.",
Rosa Rodriguez,[00:00:21:08],00:00:26:03,"And, how did your family come to this country?",family;migration
Ofilia Ramos,[00:00:26:05],00:00:35:13,My father was here sometime and around 1910. And then he married my mom in 1929.,family
Rosa Rodriguez,[00:00:35:15],00:00:37:00,Where did he marry her?,
Ofilia Ramos,[00:00:37:03],00:00:47:02,"He married her in Aouda, Coahuila, Mexico. And, then they just came across.",mexico
Rosa Rodriguez,[00:00:47:05],00:00:54:13,So he first was here in 1910. Where did he go when he arrived in the United States?,
Ofilia Ramos,[00:00:54:16],00:01:06:21,"He worked on the railroad. So he had different areas that he worked along the, the train line. But he settled in, Spofford, Texas, where I was born.",railroads and transportation
Rosa Rodriguez,[00:01:06:23],00:01:13:00,When was the first time that he came to Idaho?,idaho
Ofilia Ramos,[00:01:13:03],00:01:19:24,I believe it was 1947. Between 1947 and 1948.,
Rosa Rodriguez,[00:01:19:27],00:01:22:26,And what was the reason they came to Idaho?,idaho
Ofilia Ramos,[00:01:22:28],00:01:44:26,"Because, the family was growing. Were young men then. And he wanted to have more for his family than than what was offered in Spofford. The there wasn't any jobs. There were the jobs were just railroading. And he didn't want the boys to do that.",family
Rosa Rodriguez,[00:01:44:28],00:01:53:27,What did he do when he came to Idaho? Where did he find work and where did he go for school? What place in Idaho?,idaho;education
Ofilia Ramos,[00:01:53:29],00:02:14:14,"He came here to Idaho Falls, and he worked for the sugar factory, as a laborer. You know, working in the fields. And he, he worked for a farmer and, the little town we call Lincoln right now.",idaho;labor
Rosa Rodriguez,[00:02:14:17],00:02:19:16,,
Rosa Rodriguez,[00:02:19:19],00:02:24:26,"Were they, how many children were born in Idaho Falls?",idaho
Ofilia Ramos,[00:02:24:28],00:02:35:02,"Two. The two youngest, the girl, Mary, was born in 1948. And. And the boy was, Bill was born in 1950.",
Rosa Rodriguez,[00:02:35:05],00:02:42:21,"So you and your other brothers and sisters, went to school here?",education
Ofilia Ramos,[00:02:42:24],00:03:00:02,"Just myself. The. Let's see, the four youngest went to school, and we completed our school, but a couple of the older ones started school, but they they dropped out because of work. They had to work.",education
Rosa Rodriguez,[00:03:00:05],00:03:04:06,And did they work there in the sugar factory with your dad?,labor
Ofilia Ramos,[00:03:04:09],00:03:11:13,"Yes, they did well in the fields. We worked out in the fields.",
Rosa Rodriguez,[00:03:11:15],00:03:18:08,"Did you, speak English when you first started going to school here?",education
Ofilia Ramos,[00:03:18:10],00:03:40:28,"No. And I remember the first grade, I. I didn't speak English. The only language, Spanish, was spoken at home. And the older brothers and sisters that did spend a little bit of time in school. They knew English, but I didn't. I learned just by being around other kids.",education;spain
Rosa Rodriguez,[00:03:41:00],00:03:52:08,Was there other children in the area where you lived that were also Mexican-Americans?,
Ofilia Ramos,[00:03:52:10],00:04:07:14,"I don't remember now. I think there was, but we were a family unit and so we stayed just family. Just just with ourselves.",family
Rosa Rodriguez,[00:04:07:17],00:04:19:11,What do you remember about your teachers in Idaho? Do you have good thoughts about going into the Idaho schools?,idaho
Ofilia Ramos,[00:04:19:13],00:04:52:02,"I, I was probably maybe one of the luckiest because I, the teachers treated me real good. And I started school on first grade in Parker, Idaho. And then I came to Lincoln and and go to school. And most of the school, most of my education is in was in Idaho Falls schools, and I never saw any of the discrimination I, maybe it was there.",education;idaho
Ofilia Ramos,[00:04:52:02],00:04:54:08,I just didn't see it.,
Rosa Rodriguez,[00:04:54:10],00:04:58:09,"Where is Parker, Idaho. And why were you there?",idaho
