speaker,timestamp,Endtime,words,tags
,,,,
Angela Luckey,[00:00:04:13],00;00;57;06,"The following is an interview with Epigmenio J. Rosales by Angela Luckey. The interview took place in Mr. Rosales home, 251 Washington Avenue, Pocatello, Idaho. On May 23rd, 1991. This interview is part of the Idaho Hispanic Oral History Project. We will be talking about when your family first came to this country.",pocatello;idaho;family
Epigmenio J. Rosales,[00:00:34:09],00;01;27;13,"And we first came to this country. That was in, around 1918. Yeah. Somewhere in April. Sometime in April. My dad, he had been here before, a year before. And then he went back and decided to come and live over here, bring the family down this way. I don't think there was a revolution down there at that time.",family;conflict
Epigmenio J. Rosales,[00:01:04:15],00;01;51;17,"I think he was a little bit by that time. I think. But, there were still robbers around, you know, and, we we traveled, down come coming this way back to. And we traveled down this way and,",
Epigmenio J. Rosales,[00:01:28:20],00;02;12;29,"By horse and horseback. My mother had a horse. And carrying my little brother, he was in a five, eight, nine year, nine months old, maybe nine months. And I was with my dad, and he's with him on the horse. And there was another family with us, you know, friends of the family.",wildlife;family
Epigmenio J. Rosales,[00:01:51:16],00;02;22;20,"Because my dad and him had been here before, you know, so they decided to go back and bring the family, the family down here.",family
Epigmenio J. Rosales,[00:02:01:23],00;02;54;06,"So I don't know how far we traveled by horseback, you know, because because, you know, from Zacatecas, Santa Ramon, where I was born. There's a long ways to come over here. So there must have been a train when we somewhere. I don't know how far it was from where we lived, but I remember getting on a train.",
Angela Luckey,[00:02:31:08],00;02;55;04,How old were you?,
Epigmenio J. Rosales,[00:02:32:06],00;03;11;21,"Me? How old I was, I was about four, four years and maybe seven when I was born on October 28th, 1912. So I was about going on five. Anyway.",
Epigmenio J. Rosales,[00:02:51:15],00;03;41;05,"I remember seeing a little light from the train, you know, but then we come down to El Paso. And there was, there was, a lady there. She was here in the houses there, and we were in my dad rented one of the house or one of her houses, and we stayed there. I don't know how long. Maybe temporary.",
Epigmenio J. Rosales,[00:03:18:07],00;04;10;23,"And then my dad and, these other friend, the other family, they got, hired on a railroad track who were working for the, extra again. And they allowed, they allowed, families on these extra again, I guess, because they were short of help at that time. So I don't know how long he worked on the railroad.",family;railroads and transportation
Epigmenio J. Rosales,[00:03:47:26],00;04;17;27,And then extra again. There was two family families on each side of the boxcar leaving together.,family
Angela Luckey,[00:03:55:00],00;04;19;07,But they lived in the boxcar?,
Epigmenio J. Rosales,[00:03:56:09],00;04;43;22,"Ya boxcars on the railroad. And these extra getting. And there was a lot of, you know, two families on one side and two on the other side. And you would shared that one still on each side. This family on the other side got one stove and we had a stove over here, two of us, we shared the change to the cook.",railroads and transportation;family
Epigmenio J. Rosales,[00:04:20:25],00;05;21;13,"And then from there. I think my dad decided to come to, New Mexico because we had an uncle on my mother's side living in Santa Rita. And we will make. And, that's where we was headed toward down that way. And then before. Before we got over there, we, stopped and, Largent I don't know where.",mexico;family
Epigmenio J. Rosales,[00:04:58:13],00;05;31;08,"Anyway, anyway, we stopped in, Wylie to think be to my dad when, you know, work on the way down.",
Angela Luckey,[00:05:08:10],00;05;32;01,In New Mexico.,mexico
Epigmenio J. Rosales,[00:05:09:08],00;06;03;07,"In New Mexico. So we started, getting closer to where my uncle lived, my, my dad, he got a job cleaning beach. And this. You know, Wylie, I think it was a town where we lived. And then from there, after the thinning, the agriculture, you know, in the summertime, we went to Santa Rita.",mexico;family;recreation;agriculture
