speaker,timestamp,End Time,words,tags
,,,,
Doug Exton,[00:00:00:00],00:00:20:23,"Thank you so much for joining us for tonight's Connected Conversation. A program conducted by the Idaho Humanities Council. If you're not familiar with our organization, I encourage you to check out our website. Idaho. Man, we thought I'd like to also remind you all that you may submit any questions using the Q&A feature located at the bottom of the screen.",
Doug Exton,[00:00:21:00],00:00:32:11,With me tonight is Doctor Jodi Brandt and Dr. Rebecca Som Castellano. It's an honor to have you with us tonight. And I turn it over to both of you.,
Dr. Jodi Brandt,[00:00:32:13],00:01:01:09,"Yeah. Thank you, Doug, and we're really happy to be here. Rebecca and I have been working on this issue for several years, coming at it from different perspectives. So it's just a real pleasure when the community is interested in what we're doing and when we can share some of the things we've learned. And maybe more importantly, getting the insights back from you, from the community, because that really helps drive what we work on next and what the focus of our future research is.",
Dr. Jodi Brandt,[00:01:01:11],00:01:27:12,"So we just have prepared a short PowerPoint here to kind of like, just kind of stimulate the discussion more than anything. And I'm going to talk first and then, about the land use trends that we're seeing and what some of the impacts might be for, conservation and biodiversity. And then Rebecca will speak to the impacts that we're seeing for local and rural communities.",
Dr. Jodi Brandt,[00:01:27:14],00:01:40:12,So I'm going to share my screen here.,
Dr. Jodi Brandt,[00:01:40:14],00:02:12:15,"All right. So I first I'd like to talk about this issue in the context of what we're seeing in terms of farmland loss and land use changes, not just in Idaho. Thing. It's really a dynamic that's occurring across the entire West. And so this first slide, what you're seeing is a map of the whole U.S., and public and private lands and anything in a color that's public land and anything in white or no color, that's private land.",
Dr. Jodi Brandt,[00:02:12:15],00:02:40:20,"So what is very obvious from this map and what probably all of us here already know, is the West just really, dominates in the nation in terms of the proportion of our lands that are in public lands. And what this is, is a map of population growth in the last ten years, human population growth. And so the red areas are counties that are losing people, so depopulating.",
Dr. Jodi Brandt,[00:02:40:22],00:03:13:03,"And the blue areas are areas that are increasing in human population. And here also the West stands out. And in terms of you can see that a lot of the of the nation is actually losing human population. But the prominent trend in the western U.S. is one of an increasing human population. So what we're seeing is this, really dramatic increase in human population growth on a very small landmass because development can't occur on public lands.",
Dr. Jodi Brandt,[00:03:13:03],00:03:40:06,So all of this human population growth is is occurring on a relatively small proportion or a small aerial extent. Okay. So that's kind of like the context of the West. And then within the west Idaho is this hotspot of growth. So we're currently the fastest growing state in the US. So even faster than all of the other western states.,
Dr. Jodi Brandt,[00:03:40:08],00:04:13:15,"And again, all of that growth is occurring on a small proportion of the land. Idaho has about 60% of its land and public land, which means 40% of Idaho is in private land. And, that private land, 22% is farmland. And if you look at the USDA statistics, the, the composition of that farmland, what what we have is about 25,000 individual farms, and 90, 96% of those farms are classified as family farms.",
Dr. Jodi Brandt,[00:04:13:17],00:04:42:10,"And this includes any, any operation that's producing food or fiber that could include cropland, rangeland, pasture land and woodland. So it's kind of like a keystone of family business, family operations. In Idaho, farming is and maybe some, some of you know, but when I first came to Idaho, I certainly didn't appreciate how unique Idaho's agricultural land is.",agriculture
Dr. Jodi Brandt,[00:04:42:10],00:05:05:13,"I'm from Ohio, where we just have acres and acres of corn and soybeans, and it's awesome land. But that's kind of what we grow corn and soybeans and wheat. Whereas in Idaho, there's just this amazing capacity because of the climate and the irrigation systems to, to, to grow so many crops. It's actually one of the most diverse agricultural production systems in the world.",environment;agriculture
Dr. Jodi Brandt,[00:05:05:13],00:05:35:20,"So of course we have the potatoes, but we also have all kinds of grains, all different kinds of livestock, fruits and vegetables, hops, great. Fruits and, wine grapes. And then we have a growing dairy industry. And so here is just some statistics, and I'm not going to read them all off. But, you know, in terms of the entire U.S. for several crops, we rank in the top five in terms of how much we produce.",agriculture
Dr. Jodi Brandt,[00:05:35:20],00:06:04:01,"And, you know, we're comparing ourselves to, again, California and Wisconsin and Iowa. One thing that's really special about Idaho agriculture is that we can grow seed crops here. And that's due to the unique climate that we have, which is really good for pests, like avoiding a lot of pests. And so, for example, 70% of the hybrid temperate sweet corn seed in the whole world comes from Idaho.",agriculture;environment
Dr. Jodi Brandt,[00:06:04:03],00:06:30:09,"And then just in terms of economics, the agricultural industry generates 21% of Idaho's total economic output. And so what we're saying is we have these rich agricultural lands that are kind of the keystone for communities and families in terms of our economics and our culture. And around the state. We are seeing these dramatic changes as agricultural lands are converted to development.",
Dr. Jodi Brandt,[00:06:30:11],00:06:59:03,"And a lot of the research that many of us are doing here at Boise State are to kind of get these to questions, what are the impacts of these land use changes and and why? We want to know that is because should we try to do something? Is this is this something that we should be making policies about and actively trying to protect these farmlands, or is it just, we should we just let it, you know, kind of be what it's going to be?",education;boise
Dr. Jodi Brandt,[00:06:59:05],00:07:19:07,"So here's just an example of some research that, several of us at Boise State did where we kind of zoomed in on the Treasure Valley because it really is an epicenter of growth. I don't it is definitely not the only place where growth is occurring. And I think growth is now spilling over into the whole snake River plain.",education;boise
Dr. Jodi Brandt,[00:07:19:07],00:07:43:23,"But it's kind of like the canary in the coal mine, so to speak. And what we're seeing here, is the Treasure Valley and Canyon counties overlay. And here's the aerial photo which is showing the landscape. And the blue. The growing blue is the urban footprint, in Boise. And we took past data from satellites to measure the growth of this urban footprint.",boise
Dr. Jodi Brandt,[00:07:44:00],00:08:11:22,"And then we used statistical models to predict what the urban growth, the what the urban footprint would be in the future based on the rates of growth that we have seen in the past. And so what we can see, the timeline scrolling over there on the on the right hand side, is by 2100, really the vast majority of what is now farmland in the Treasure Valley will be converted to.",
Dr. Jodi Brandt,[00:08:11:22],00:08:17:11,And a developed land use.,
Dr. Jodi Brandt,[00:08:17:13],00:08:41:19,"And when you when we summarize, well, we did these growth projections for different scenarios. There's the business as usual scenario. But then we also played with things like, different types of land use zoning, so smaller lot sizes, for example. And we played with different rates of population growth because it's not really for certain how quickly the population will grow.",
Dr. Jodi Brandt,[00:08:41:21],00:09:10:07,"But when we calculated the amount of agricultural land loss that would be lost by 2100, it will range between 31 and 65% of agricultural land that would be lost. And in terms of acres, this is 110,000 to 240,000 acres. And this discrepancy between these estimates so almost double, you know, there's a twice as much 65% as it's about twice as much as 31%.",
Dr. Jodi Brandt,[00:09:10:09],00:09:22:13,"That really what that will be, whether it will be 31% or 65%, it really will depend on the policies and the decisions that we make. Now.",
Dr. Jodi Brandt,[00:09:22:15],00:09:47:04,"So this is our our data from Boise State. But I it in the context of the policies that we currently have in place to protect farmland. I wanted to show this data that was produced by the American Farmland Trust, which is a nonprofit, a national nonprofit that, is heavily involved in farmland protection policy. And what they did is for all 50 states in the whole US.",boise
Dr. Jodi Brandt,[00:09:47:07],00:10:19:20,"They, did policy reviews and and summarized in the form of these quantitative scores, the rankings for different types of farmland protection policies across the US. So these six different groupings are the six major mechanisms that exist in the US for protecting farmland. And the grain would be Idaho score. The light blue would be the median score of all states, and the dark blue would be the top score.",
Dr. Jodi Brandt,[00:10:19:20],00:10:51:16,"So the highest scoring state and low values would be, weak farmland protection policies and high values would be strong farmland protection policies. And so what we can see when we look at the grain, which is the Idaho scores, three of the six major mechanisms, Idaho is not even active in or has not even adopted. And then of the three that they have adopted, they have relatively low scores, not necessarily the lowest scores.",
Dr. Jodi Brandt,[00:10:51:18],00:11:18:01,"But they have generally, low scores. So although there has been activity in the realm of land use policy and farmland protection in Idaho, there really is an urgent need for stronger land use policies, that consider multiple dimensions. And this could be not just farmland protection, but affordable housing, biodiverse and ecosystem services.",environment
Dr. Jodi Brandt,[00:11:18:03],00:11:47:21,"I just have a couple slides here, about the impacts of farmland loss on biodiversity. And so what we see here is a picture in Lemhi County, which is, kind of near salmon, Idaho. And what this picture really characterizes is the private public land divide, I guess, so to speak. So all of this lowland, this green, lush area, that's what we call working lands.",agriculture
Dr. Jodi Brandt,[00:11:47:21],00:12:22:18,"So this is private lands that are in, ranch or farming and then like up on the upper left corner, these uplands, those are all public lands. This is BLM land. And so what we can see here as the private lands tend to be really green, really lush and really open. In terms of if you're if you're a critter and you're trying to pass through this landscape, whereas the uplands, they also are pretty are obviously really open, but there's hardly any green or what we call mesic resources.",agriculture
Dr. Jodi Brandt,[00:12:22:20],00:12:52:05,"So one way in which farmland loss, is impacts biodiversity is that private lands have these mesic resources that public lands in many areas just simply don't. And in Idaho, 80% of wildlife species depend on mesic resources. And so this is, you know, migrating animals, salmon, waterfowl, sage grouse, it's, portion of their life cycle.",environment
