speaker,timestamp,End Time,words,tags
Sam Schrager,,,Maybe some of the factual details...Well first I wanted to ask you how you happened to come to Potlatch.,
Hap Moody,,,"Well, I got sick of the East, mad or something. I spent all my money for a railroad ticket, landed in Leeds, North Dakota. Then I took a harvest, went into harvest there, followed the harvest up into Canada. And I had a friend in Potlatch...",
Bertha Clyde Moody,,,"...That had come out, earlier.",
Hap Moody,,,"Yeah. So I just came out to see him about in 1914. You couldn't get much work anywhere. So I put in six months out in the country milking cows for my board. And then I went into the Potlatch mill working nights tailing the edger. Well I belonged to the Masons of course, 50 year Mason, I don't have to pay any dues. And the boss of the townsite was a Mason. But prior to that I painted I think and papered every house in Potlatch.",
Bertha Clyde Moody,,,There wasn't quite as many then as there is now but...,
Hap Moody,,,"And there was these four room houses, you had to paper one a day (chuckles). And I had to smell the green paper, of course, used arsenic...",
Bertha Clyde Moody,,,Green oatmeal.,
Hap Moody,,,"...to color it, and I got arsenic poisoning. So doc, old doc he put me up at Loon Lake up there in Washington for six months to recuperate. I imagine that my appendix broke because I never had any trouble after that (chuckles). And I guess the poisons from my appendix offset the poisons from the arsenic poisoning. So when we got back from there, well I worked at this or that. I was an invoice clerk in the Potlatch store—I don't know how long, do you? A year or two.",
Bertha Clyde Moody,,,I'd say longer than that.,
Hap Moody,,,And during the war I was head mechanic in the garage. Come pret'near dying there.,
Sam Schrager,,,How's that?,
Hap Moody,,,"Oh, it was in the basement. It was cold, 18 below zero I think. Started some Ford tractors a-goin1, and for some reason or another I stepped outside, and I knew right away that I had got too much carbon monoxide, because I was so dizzy I couldn't stand up. Probably if I'd a stayed in there another half hour, I wouldn't a been here now. So after that I got on the townsite, they was building nine houses up on what they call...",
Bertha Clyde Moody,,,Nob Hill.,
Hap Moody,,,"Nob Hill. And I put in the furnaces, hot air furnaces. And at the same time I'd get all the material—that is, the boss told me what he wanted and I'd go down the mill and get the order and get it up there to build these nine houses. Kind of straw boss I guess you'd call it. And when they made out the drafts, the lists of the draftees, I was...",
Bertha Clyde Moody,,,For the war.,
Hap Moody,,,"Yeah. I was good on a typewriter, of course, and shorthand both. I graduated from the Albany Business College. And so when I got done, I had everything written up, the numbers and everything, and they thought that was great. Well how I come to get into the sheiff's office for some reason or another they'd called for a deputy from the north end of the county. And you know, I didn't know the sheriff, but the same time I got the job.",
Bertha Clyde Moody,,,Hadn't Morgeridge died? And the deputy died.,
Hap Moody,,,"I guess so. Something happened anyway. So I got the job and then of course being pretty good on the typewriter and pretty good with figures; why I was made undersheriff right away. And then I hadn't been there too long, because I did most of the outside work. God my wife and I travelled a million miles looking for different (chuckles) people. And after I got to be sheriff, why I made the first thing to do is to get acquainted with every sheriff in Oregon, Washington, Montana and Utah. And that paid off pretty big. 'Cause I wanted anything y'know, I could 6all 'em up. And they'd get right at it: ""Oh yes, Hap, we'll get right at it."" Well you know, if I hadn't made acquaintances with them they'd've said, ""Yeah, I'll attend to it,"" but then they'd forget it, y'know. And then of course I worked with the FBI all the time. Yes, I used to go with the FBI agents from here all over the country, because I knew the country well. If they'd send an FBI agent here they always gave him orders to come see me the first thing (chuckles), 'because I could tell him where to go.",
Sam Schrager,,,How did you get acquainted with all these sheriffs now?,
Hap Moody,,,I used to just get in the car and go call on each one of em.,
Sam Schrager,,,Dust visiting?,
Bertha Clyde Moody,,,"Well we generally had something to, oh kind of look into, and we stopped.",
Hap Moody,,,Oh yeah.,
Bertha Clyde Moody,,,Yeah.,
Hap Moody,,,"But I knew most of the chiefs of police around, y'know. (Chuckles.) Over in Portland once in that park down in front of the—what hotel was that?",
Bertha Clyde Moody,,,"I don't remember, but...",
Hap Moody,,,"24 hours anyway in a one hour parking zone. 'Course we got a ticket. I went up to see the chief of police, name was Miles. It was only a dollar any way I guess, cheap way to park in those days, y'know. He said,""you know, you coulda gone back to Idaho, I wouldn't a been after ya."" (Chuckles.) Well I visited a lot of different sheriffs.",
