speaker,timestamp,words,End Time,tags,terms
,,,,,
Rob Moore,00:00:00,"Bert Gamble was raised near Genesee, Idaho. His lifelong fascination with the region and his consuming regard for rendering it inverse have gained him the sobriquet the poet of the Palouse. On this trip, Bert reads many problems from the collection Days of Yesterday and Songs of the Palouse Country. He reads beautifully. He reads with passion. He is carried off by sadness and laughs when the humorous moment takes him. He is a joy to listen to. It is recommended that you read the poems as he speaks them, because he sometimes exchanges or substitutes for words in the text.",00:00:43,lcoh places,genesee
Daniel (Bert) Gamble,00:00:43,Recording?,00:00:44 ,,
Rob Moore,00:00:44,"Yeah, and I'm going to record it though here. Lola said one of her favorite, poems was The Old Grindstone.",00:00:54,,
Daniel (Bert) Gamble,00:00:55,"Yeah, it went in, won a prize and won two prizes. Did it? The old one filling up.",00:00:59,,
Rob Moore,00:00:59,Would you like to read it for us?,00:01:01,,
Daniel (Bert) Gamble,00:01:01,"Yes, I believe it's here. It's right here. Oh, yes. Here, yes. Where the wild rambler trailed over the wood shed, tenderly hiding the rake and the spade. So the old grindstone I turned in my childhood, deep in the cool of the box elder's shade. You know what a box elder is — it's a tree. It's a kind of a shrub. Yes, box elder's shade. Dull were the axes and dull was the mower, heavy the hand of my sturdy old dad. Moments seemed ages while I was the power, for the old grindstone I turned when I led. Long years had passed since I left the homestead, Dad is at rest now at Calvary Hill. Calvary Hill is the cemetery. And gone in the main are the memories of childhood. But the old grindstone remains with me still. Bring me my horse. Don't pay attention to this old fellow. He's bug house. Bring me my horse and bring me my saddle. Maybe. You want to finish that there? Dad is at rest now at Calvary Hill. That's the cemetery. Gone in the main are the memories of childhood. But the old grindstone remains with me still. Bring me my horse and bring me my saddle. Let me ride over that landscape of yore. There in the cool of the box elder's shadow tenderly turn the old grindstone once more. There it is. That's the old grindstone. Thank you.",,agriculture;lcoh flora & fauna,homestead;horse
Rob Moore,00:02:48,Which other? Which other poems are your favorites?,00:02:50,,
Daniel (Bert) Gamble,00:02:50,"Oh, none.",00:02:54,,
Rob Moore,00:02:54,"Well, which ones would you like to read?",00:02:56,,
Daniel (Bert) Gamble,00:02:56,"Don't pay attention to him he's crazy. I wish you'd go away and never come back, but I'm. One called Kendrick in the Spring. You have been a Kendrick, I know. Well that's it down the country here a little ways. Warm winds, long-wandering vagrants beat to the upland trail — that locust blossom fragrance scents in the canyon vale. My wayward heart is yearning when veiled up memory ring, ever to be returning to Kendrick in the spring. That just down the country near a few miles. Have you ever been at Kendrick? Oh, yeah.",00:03:39,,
Rob Moore,00:03:39,Yeah. Quite a few times.,00:03:39,,
Daniel (Bert) Gamble,00:03:40,Such lovely people.,00:03:41,,
Rob Moore,00:03:41,This is a really nice one here up to review. I want to.,00:03:44,,
Daniel (Bert) Gamble,00:03:44,"Read it right here. And you can look out the window there and see Tomer's Butte right out there. Up Tomer's Butte With You. Thought it is grey Novem...I get pent up with emotion. I shouldn't; it's not right. Though it is gray November we roam a hill in May, for I can still remember those days of yesterday. Up Tomer's Butte we rambled, ablaze with sunflower bloom, up piney slopes we scrambled in springtime's sweet perfume. Your golden hair was streaming, tossed by the winds at play. Your laughing eyes were beaming in days of yesterday. Now willows wave above you. The years have crowned me gray. But yet, dear heart, I love you, as in that yesterday. And when in memory reamed I roamed, dearie, up Tomer's Butte with you. Now wait till you see — there's another one. Here's the Old Grindstone.",00:05:14,,
