speaker,timestamp,End Time,words,tags
,,,,
Rosa Rodríguez,[00:00:02:02],00:00:14:10,This is Rosa Rodríguezand I will be interviewing Rita Pérezfrom Idaho Falls.,idaho
Rosa Rodríguez,[00:00:14:13],00:00:21:03,"Rita, can you tell me your whole name and where you were born and what year you were born?",
Rita Padilla Pérez,[00:00:21:05],00:00:26:13,Rita Padilla Pérez. I was born 1930.,
Rita Padilla Pérez,[00:00:26:27],00:00:30:13,Here in Idaho Falls.,idaho
Rosa Rodríguez,[00:00:30:16],00:00:34:06,Do you know when your family came to this country?,family
Rita Padilla Pérez,[00:00:34:08],00:00:37:22,My father came in 1911.,family
Rosa Rodríguez,[00:00:37:24],00:00:42:21,"Did what? What, state did he come to?",
Rita Padilla Pérez,[00:00:42:23],00:00:48:14,Texas. But he did not stay there. I believe he went on to San Francisco.,
Rosa Rodríguez,[00:00:48:16],00:00:54:23,And what was the reason that he came to the United States?,
Rita Padilla Pérez,[00:00:54:26],00:01:01:01,A dream of coming to a rich country where people could easily make a lot of money.,
Rosa Rodríguez,[00:01:01:04],00:01:11:09,"Why did, why did he move from Texas to, to California.",
Rita Padilla Pérez,[00:01:11:11],00:01:18:11,"Where he could find work with, I believe he worked mostly with a railroad. So whoever that work took him, that's where he went.",railroads and transportation
Rosa Rodríguez,[00:01:18:14],00:01:23:12,And how long was he in California?,
Rita Padilla Pérez,[00:01:23:15],00:01:28:16,"Off and on, I believe. Until 1925.",
Rosa Rodríguez,[00:01:28:18],00:01:41:06,"Would he, be in California and stay the whole year, or would he just work, cease and then go back to Mexico?",mexico
Rita Padilla Pérez,[00:01:41:09],00:01:50:14,He went back to Mexico 3 or 4 times. But then he'd come back to wherever there was work.,mexico
Rosa Rodríguez,[00:01:50:16],00:01:53:01,And was it always California?,
Rita Padilla Pérez,[00:01:53:04],00:01:57:14,"No. He went as far east as, Illinois.",
Rosa Rodríguez,[00:01:57:16],00:02:05:03,Working for the railroad. Working for. And when was the first time there he came to Idaho?,railroads and transportation;idaho
Rita Padilla Pérez,[00:02:05:05],00:02:06:26,1919,
Rosa Rodríguez,[00:02:06:28],00:02:11:06,1919. What was the reason that he came to Idaho?,idaho
Rita Padilla Pérez,[00:02:11:08],00:02:15:05,I believe they came contracted by the sugar factory.,labor
Rosa Rodríguez,[00:02:15:08],00:02:20:11,And did he ever work in the railroad when he was in Idaho?,railroads and transportation;idaho
Rita Padilla Pérez,[00:02:20:18],00:02:40:05,"Yes, yes. The Keystone at one time, he had work from Pocatello sent to Alexander near Soda Springs, then to Bancroft in or hum black food. Saint Mary's.",pocatello;food and drink
Rosa Rodríguez,[00:02:40:07],00:02:44:06,When did your mother come to the United States?,family
Rita Padilla Pérez,[00:02:44:09],00:02:52:04,1925 no. 1924 two came right after they were married.,
Rosa Rodríguez,[00:02:52:06],00:03:01:14,"And did they come directly to Idaho, or since your father had been here since 19 oh 19, did they come directly to Idaho?",idaho;family
Rita Padilla Pérez,[00:03:01:21],00:03:17:27,"No. First they stopped in Arizona to visit my father's sister, who lived there. But it was in July and they could not stand the heat. They went to San Francisco, where my father had a brother living and.",family
Rosa Rodríguez,[00:03:17:29],00:03:20:00,And then they came to Idaho.,idaho
Rita Padilla Pérez,[00:03:20:03],00:03:41:12,"My mother was a country girl. She couldn't take city life. And my father had to work night shift all the time. Her health deteriorated to the point where a doctor told my father he had to get her out of the city, out in the country that she was accustomed to. So they were saving for the trip. When my father was laid off.",family;health
Rosa Rodríguez,[00:03:41:14],00:03:52:28,"They were staying for the trip to Idaho. Yes. And and, How did they come to Idaho? By train.",idaho
Rita Padilla Pérez,[00:03:53:01],00:03:53:26,Yes.,
Rosa Rodríguez,[00:03:53:28],00:04:00:02,They came by train. How much did it cost for them to to come over?,
Rita Padilla Pérez,[00:04:00:05],00:04:35:04,"I don't know, but, my mother said that my father only had enough money. There was only enough money for one day fare for one person. And my father proposed them putting her on the train and then bombing himself. Meeting her here. She was petrified at the thought of traveling alone, not knowing the language. So when he left to take care of final business, she cut her hair that was down to her knees off and pulled a cap over her ears and put on his clothing, overalls.",family;health;clothing
