speaker,timestamp,words,tags,terms
,,,,
Sam Schrager,00:00:02,"This interview is with Dave Hickman or Tom Platt or Kenneth Platt, Dave Hickman or Tom Platt or Kenneth Platt, and Kenneth Platt. Topics discussed are the Platt Cattle Ranching Operations centered on the Salmon River Rangeland with support from their farm Genesee, the settlement and strategic location of early Genesee and wheat raising in the area, and the livery business and annual horse show on rodeo in the town.",agriculture;food_and_drink;lcoh flora & fauna;lcoh places,cattle;wheat;salmon;horse;genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:01:00,"Well, if you can give us some idea of what you're looking for or what you're thinking about. Kenny said something about the town.",,
Sam Schrager,00:01:16,"I think the town, the early day memories that come to your mind about what it was like growing up around there and what it was like being on the farm, things that you remember that are interesting to you. I think your early recollections of the town would be a good place to start.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:01:42,I was born and raised right in Genesee.,lcoh places,genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:01:47,Tom came there when?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:01:51,"Oh, I was born there, but of course we went back to Salmon River and stayed there. I never got back to stay there until 1909 when I started school, fall of 1909. And I was there during the school term for three years and then wasn't back until I started high school.",education;food_and_drink,school;salmon
Sam Schrager,00:02:12,Your family had a place on Salmon too? Were they ranching there?,food_and_drink,salmon
Dave Hickman or Tom Platt or Kenneth Platt,00:02:17,Cattle.,agriculture,cattle
Dave Hickman or Tom Platt or Kenneth Platt,00:02:20,But Dave lived there all the time. He knows a great deal more about it than I do.,,
Sam Schrager,00:02:26,What was the town like there when you were just a kid?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:02:31,"Every business house was filled up. Every place along the line had something in it. My dad ran a livery stable there and that was just about the east end of town as far as any business was concerned. But across from us was a creamery. Up the line a couple of little ways was a hardware store, furniture store, and then just keep right on going through town. Every place was filled up. Everything was lively. And there were two or three blacksmith shops later. Later, of course, some of those turned, a couple of them turned into garages, but at that time why they were blacksmith shops for shoeing horses and fixing farm equipment. And I don't have any idea how many places there were that were actually places of business, but I can remember when there were a couple of grocery stores and two or three, two merchandise stores. There's mercantile stores where they handle dry goods and this type of thing. And my recollection of the thing I like to remember about it is that where we lived down on the flat was right in the area where they had the old ball field one time. And the city ball field was right close there, but it was also the place where the Indians came when the Indians moved into town or came in for a celebration while they came down and stayed right down on that flat close to us. And they would go back and forth, of course, from town. And it seemed like the recollections that I have mostly of Genesee is the old horse years. Three days of horse show every spring and usually two days of rain. So they were always assured of a good crop. They had lots of big horses, lots of draft horses and lots of, well not lots, but quite a few head of herefords and big cattle of some kind there that they were raising. And lots of big old Perch and horse, Perch and Belgian shire horses. And of course, there at the livery stable, there was always two or three stud horses that were standing there during the season to take care of the mares. But I can remember those, especially those horse shows, because they were always assured of at least two days of rain out of the three. It was in June.",agriculture;culture;lcoh flora & fauna;lcoh places;technology,cattle;crop;celebration;herefords;horse;shire;genesee;hardware
Sam Schrager,00:05:28,"Well, it sounds like it was a three-day affair and then it was quite a big celebration for the town.",culture,celebration
Sam Schrager,00:05:36,Is that right?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:05:37,"Well, yes.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:05:38,"It was three days of the horse show and rodeo. It was a horse show and rodeo combined. I can remember one time of old Sundown Jackson in Nez Perce Indian that was world champion rider being there at the fair. And he gave me the job of, I was just a kid around the livery stable, but he gave me the job of exercising his horse for him. And I took the horse out for a little ride in the morning. Then that afternoon, why he would take the horse and ear him down and put a hack-a-more on him and throw the saddle on him and that thing would just buck and balls. You'd think he was an outlaw, but he was just as tame as could be if he wanted him. Then after it was all over, he'd put the saddle back on him and away they'd go again.",lcoh flora & fauna;lcoh indigenous;lcoh people,buck;horse;nez perce;old sundown jackson
Sam Schrager,00:06:42,Do you remember the horse shows too?,lcoh flora & fauna,horse
Sam Schrager,00:06:45,"Oh, yes. I'd like you guys to describe some more about what it was like, what the horse show was and what they did there and just what the celebration was. It sounds like they showed a lot of horses.",culture;lcoh flora & fauna,celebration;horse
Sam Schrager,00:07:00,Were they local stock mostly?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:07:02,"Oh, yes. I think most of it was local stock. I think most of the farmers had good stock. And then they were, and this stock was bred to good stallions that were locally, kept around there locally. As I remember, it was simply a showing of horses, not so much saddle horses, although there were some saddle horses, but mostly draft horses with a few cattle in the picture too. And the prizes, I don't have any idea now what the prizes were that were offered, but I suppose they weren't very much in cash now compared to what they would have now.",agriculture,cattle
Sam Schrager,00:07:45,Was this a Genesee specialty?,lcoh places,genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:07:47,"Oh, yes.",,
Sam Schrager,00:07:48,It wasn't something that they did all over the place?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:07:50,"No, no. It was one year thing and as far as I know, a Genesee horse show was Genesee's.",lcoh flora & fauna;lcoh places,horse;genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:07:58,"And I doubt if anybody further away than Colton Union Town ever got in there, did they?",lcoh places;manual_labor,colton;union
Dave Hickman or Tom Platt or Kenneth Platt,00:08:05,I don't suppose. Not many people would get to it anyway.,,
Dave Hickman or Tom Platt or Kenneth Platt,,00:08:10,[row length mismatch -- needs manual review],
Dave Hickman or Tom Platt or Kenneth Platt,00:08:12,These things were out.,,
Sam Schrager,00:08:14,"A lot of folks coming from the country for those days and staying in town. Oh, they had real big crowds, as I remember.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:08:22,"Yeah, the Indians would come up from the reservation and stay down there in the flats and of course they took part in the rodeo and also in the fair.",lcoh indigenous,reservation
Dave Hickman or Tom Platt or Kenneth Platt,00:08:35,They were quite a piece of the parade too. There was quite a parade with all these horses and stock and cowboys and engines and a little of everything mixed up there.,,
Sam Schrager,00:08:51,That sounds a little different than Community Day now that they have.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:08:56,"Oh, yes. Community Day is just something for people to come back to and get acquainted again. This was strictly a stock show. They were showing horses, that's all it was.",,
Sam Schrager,00:09:08,What about the other livestock? Was that part of it then?,agriculture,livestock
Dave Hickman or Tom Platt or Kenneth Platt,00:09:13,"Well, they had, I remember some cattle, but I don't remember very many cattle. I think it was mostly horses.",agriculture,cattle
Dave Hickman or Tom Platt or Kenneth Platt,00:09:24,"Platt's paraded a few, Hereford's and Norby's paraded a few with short horns. That was about it. I don't remember any dairy cattle ever being in it.",agriculture,cattle;dairy
Sam Schrager,00:09:37,What about the horses that were shown mostly? Were there certain guys that had certain special kind of horses that were the kind that they used? Were there certain guys that had purse horns mainly and other guys that had other kinds?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:09:51,"I think this is right. Some farmers just prided themselves on their livestock that they had. This was mostly working stock. That is, they worked them on the ranch. Of course, they had some mares that they kept for breeding stock. Some of the farmers, of course, just used mixtures of Cayuse and Morgan and Belgium or anything they could get a hold of. But these things that were shown on horse show day were good stock. Probably all had ribbons on them.",agriculture;lcoh flora & fauna,livestock;ranch;cayuse;horse;morgan
Dave Hickman or Tom Platt or Kenneth Platt,00:10:34,"I would imagine that all the staff that came up this street were registered. Oh yes, sure they were. They were real good for all the animals. They were, I suppose, a good deal more proud of those animals that they worked those days than the farming out here today, as it was D6 or D8 or whatever it happens to have.",agriculture,farming
Dave Hickman or Tom Platt or Kenneth Platt,00:11:07,Some of those folks were pretty proud of their livestock and the ancestry and the breeding and so forth that they had mixed up in them.,agriculture,livestock
Dave Hickman or Tom Platt or Kenneth Platt,00:11:21,And they knew about it too.,,
Sam Schrager,00:11:26,Were there breeds of horses that were agreed on as being the best for work horses? Were there any outstanding?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:11:36,"I would think you run into the same thing that you do with beef cattle or dairy cattle. And now the individual. A man who likes a certain individual type of animal, we treat it better and you get along better with it and naturally he likes it better. One man may like a shire, another man a Percherons.",agriculture;food_and_drink;lcoh flora & fauna,cattle;dairy;beef;percherons;shire
Dave Hickman or Tom Platt or Kenneth Platt,00:12:03,"Percherons, Belgians, Shires, Morgans. Well any number of them. Of course the Morgan was more or less a coach horse that was introduced in order to make better driving ponies and lighter horses. But as Tom says, the Shires in Belgium, this type of thing were the ones that Percherons were the ones that they really liked.",lcoh flora & fauna,horse;morgan;percherons
Sam Schrager,00:12:32,Did they race at all in the horse show? Were there races?,lcoh flora & fauna,horse
Dave Hickman or Tom Platt or Kenneth Platt,00:12:38,"I don't remember anything except maybe there was a saddle horse race. If they were it was in conjunction with the rodeo. I don't remember. See at that, the first time I said something about, you know, I was talking about the old flat down where we lived. Then when these horse shows were on, they were on a flat then in closer to town or on the other side, the south side of town. And that's the same place now that they have the ball field today. And this is where they used to have their rodeos.",lcoh flora & fauna,horse
Sam Schrager,00:13:10,Was the rodeo anything like it is today with the roping?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:13:14,Oh yes.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:13:19,It was about the same thing except they didn't saddle in the chutes. They saddled out on the ground.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:13:27,Steered them down and a couple of guys snubbed them up and went ahead.,,
Sam Schrager,00:13:34,Did they have bulldozing?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:13:36,Well they didn't at that rodeo that I remember. They rode some stairs.,,
Sam Schrager,00:13:45,Did they have wild horses?,,
Sam Schrager,00:13:47,"You know, the Broncs and that stuff.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:13:54,"I don't remember them turning loose wild horses to be roped out there on the ground. No, I don't either.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:14:00,"But then they had lots of things going on all the time. It wasn't a three ring circus like they have now with all the things that are going on. But they attracted some good people. For instance, this Jackson Sundown, or Sundown Jackson, was the world's champion at Pendleton. It was a good enough show. He was attracted anyway. Now whether it was the prizes or whether it was just close to home, I don't know which. But he was there and riding.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:14:34,There were other good riders there.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:14:36,Pruitt?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:14:37,"Yeah, Pruitt was up there. A couple of Pruitts. White. Bills and Weeks. I don't know who all. The boy from Uniontown, I've forgotten his name. Nibbert. Yeah, Gene Nibbert was pretty good.",lcoh places,uniontown
Sam Schrager,00:15:01,These old guys were in the rodeo. They were the younger riders.,,
Sam Schrager,00:15:06,Would you say this was the biggest event of the year for the town?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:15:10,"Oh yes, there's no question about it because it was the only real event that they had at that time. And as Tom says, the Indians made up a good share of the show because they were in the parade and taking part. And then they took part in the rodeo too, some of them, the ones that wanted to.",,
Sam Schrager,00:15:36,Could you describe what you remember about your father's livery? The blacksmith in operation there? What he did?,family,father
Dave Hickman or Tom Platt or Kenneth Platt,00:15:45,"Well, he had a livery stable, but not blacksmiths. No, there were at least two blacksmiths in town at the time, but he didn't have one. The earliest memory I have of it was probably after it was going downhill a little bit because I only remember him having about 12 or 14 horses. That is six or eight teams, six teams or seven teams. And they had teams that were hired out for people to drive and then other teams that they furnished drivers with. And at one time, this was in the early days, Genesee was the end of the railroad, long before the railroad got into Moscow. And so anyone wanting to go to Lewiston came to Genesee and then worked the town there and the dry goods part of it, the dry goods salesman. And then they took a hack and went from there on down to Lewiston. And this was the regular run every so often for the livery stable to take two or three drummers down to Lewiston with their suitcases and sample bags and so forth. And it was only about 20 miles, so this wasn't so awfully far travel. And later, oh about 1914, 15, somewhere along there, Dad had a couple of automobiles. 1912 Velie and 1913 Rio and ran a taxi service then for the next three or four years. And I'm not just sure which year it was or where it comes in, but oh about 1917, 18, somewhere along about wartime was when Dad went to work for Tom and Kenny's dad, the Padaleck brothers. And then he farmed for them for a couple of years and then went out on his own later and bought a farming outfit. But that was the end of the livery stable anyway, about the first of the World War.",agriculture;clothing;conflict;lcoh places;transportation,farming;outfit;war;genesee;lewiston;moscow;railroad
Sam Schrager,00:18:21,Do you think that it had to do with the change in automobiles that made him decide to work those visions?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:18:32,"I'm sure this was part of it. Of course at that time there was, in the early days there were no roads. There still weren't any roads in 1915, 16, there were still all dirt roads except that one stretch of road east of Genesee which had been put in oh somewhere around 1910 probably. They had put in a mile or a mile or a little over a rock road there. And this was the only rock road in the country. The rest of it was all dirt. So automobiles weren't very popular in the wintertime for quite some time. And eventually they would be able to get gravel roads in the country.",lcoh places,genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:19:22,"Would you happen to know that day before they rocked the streets in Genesee, before they rocked that road which came from?",lcoh places,genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:19:31,"I always thought, I don't know, I always thought that the road out there by the old East End warehouse was one of the first ones put in. It was put in out of that quarry at the ranch. Yeah, I'm sure it was the first road outside of town.",agriculture;manual_labor,ranch;warehouse
Dave Hickman or Tom Platt or Kenneth Platt,00:19:47,"But I just kind of wondered, what if they rocked Main Street there before they rocked that or whether somebody would find that.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:19:55,"I don't know. Your dad, Kenny, talks about that in his book or something.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:20:03,Do you remember what the reference was?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:20:06,"I remember here, I remember reading part of it. One of the references he said was that they built it out of a heavy rock. Just very little crushing, if any, to it anyway. But the farmers, when they came in, they would drive on the side of the road instead of driving on top of the rock. They stayed off of it until it finally got enough dirt mixed in it, but the rock didn't stick up quite so bad. I don't know whether he gives the date in there when this was built or not.",,
Sam Schrager,00:20:40,"Let me just ask you, describing how he used the teams for taking the salesmen in, what other ways did he rent his team out for? Did he freight very much? Was that part of the delivery business?",,
Dave Hickman or Tom Platt or Kenneth Platt,00:20:58,"No, no.",,
Sam Schrager,00:20:59,He just always rented the teams?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:21:01,"Just rented teams or fed horses, of course, coming in would be stabled over day or night or for a meal or two or whatever part that people wanted to stay. This way, there was always some animals in there being fed and they'd keep a few stallions, this type of thing, and were always kept there year round. But no, there was no freight, no actual hauling out of there.",,
Sam Schrager,00:21:38,Did farmers rent teams from him to do their farm work or was that usually taken care of by their own?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:21:45,They owned their own horses. Mostly the renting of the teams was to people from town or drummers traveling through.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:22:01,Do you have any recollection or idea of how many horses you could stable there at a time?,,
