speaker,timestamp,endtime,words,tags
Ernest Anderson,00;00;00;00,00;00;05;22,And I know he had an ideal country for that.,
Sam Schrager,00;00;05;25,00;00;08;23,"Sheehan Yeah, I just turned it on.",
Ernest Anderson,00;00;08;26,00;00;12;26,Now where are we going to start it all? What was it you said?,
Sam Schrager,00;00;12;28,00;00;23;06,What I thought we'd start with is who is talking about the work that you did when you were a teenager and what that was like?,economy
Ernest Anderson,00;00;23;08,00;01;02;15,"Well, I started getting when I was pretty young in the summertime, during the summer vacations all through. Well, from the time I was 12, I did. I plowed, you know, with Florida horses, and I'd have to lead the dairy course, you know, and we would put in a fork in it. And by and we had to do all the odds and ends, like carrying water to field lunch to the field, to the men in one particular year.",agriculture
Ernest Anderson,00;01;02;15,00;01;40;20,"But I can't remember the year when Clarence, my brother and I shuck so much grain that year before we went home. My golly, I think we put in which outdoor night in June from 9200 acres that we just had to an ant several times got us up at 230 in the morning and gave us breakfast and we went to work and chilly in the morning and we stayed there till uncle came out.",agriculture;recreation;economy
Ernest Anderson,00;01;40;22,00;02;10;26,"She he got out there about seven to do Bindoon. He'd bring us something to eat and lunch along with him. And then I think my sister brought lunch out about 10:00 and then we after we came home for dinner, we were pooped and we'd put in a day's work at noon, which is hard going in hot weather, just like it is now, maybe warmer.",economy
Ernest Anderson,00;02;10;28,00;02;36;23,"And we only could handle a bundle at a time, you know, made around shops and that was hard. But we went to bed at night, I'll tell you, you know, we we were tired, so dog tired. But after dinner we get to rest till about 4:00 and we took out coffee and listen in to our go anywhere binding.",
Ernest Anderson,00;02;36;26,00;03;16;11,"And we had lunch out there too, and we had fresh water over there and, and then we worked till 830 at night. That was, I thought, ridiculous. But the finishing of that year was the best, I think, of all we had gone to Moscow on a Saturday and they had virus underwear and shirts and things like that. And so when we went in, my dad came and got it in the car and he said, where?",health;clothing
Ernest Anderson,00;03;16;14,00;03;44;13,"And he says, You've been too good boys this summer. She says, So she gave us each $0.65 apiece that we don't have any getting fired. We had $1,000,000, but the well, it just goes to show you how good you were for all summer, you know, And but the way she said it, I thought it was kind of funny, too.",
Ernest Anderson,00;03;44;13,00;04;20;06,"You know, we we opened it. We could expect to get $5. We could buy as a good baseball or something like that. You know, And I good had first of around to get our own spending money. There was no spending money coming from home like they do now. Well, if you if you do so much, you earn so much, you That was never it never thought of you know, there was long as you were born at home, you worked not many, but at the age of 15.",
Ernest Anderson,00;04;20;06,00;04;55;14,"Then I quit school. You see, I was just too late. Be And from there on. And when I work pretty steady here and never had a daily or hardly, well I think it's I remember within three years I must have gotten only about got home went home and about three or four times in three years And that was one time at Christmas, that thing one time at Thanksgiving.",economy
Ernest Anderson,00;04;55;16,00;05;20;08,"And I may have gone home early in the fall to months. And so that's all I you get on the train, you know, at my fun and you come back same day. You wanted to but I stayed two or three days sometimes, that's all. But then all my friends have left town. I don't know how they come to leave so quick, but they didn't.",recreation
Ernest Anderson,00;05;20;10,00;06;06;06,"I never didn't know where they went to find me a lot I found and moved to Spokane and some of my Seattle and their folks left and everything. You know, I don't know what they were looking for. I don't really understand why they got occupations that they gave up and left town entirely. I've heard of the whereabouts of a few and I'm hoping now during Expo in 74, when we go out and stay a week or so with our friends and relatives and at least that long, maybe longer.",
Ernest Anderson,00;06;06;08,00;06;16;02,And I'm going to see I know a girl that you still living. She's about my age now and she'll know where they all they've all gone to.,
Sam Schrager,00;06;16;05,00;06;18;22,Who where did you go when you were working out?,
Ernest Anderson,00;06;18;22,00;06;26;06,And hardly ever my uncle. My uncle was out the Moscow in south of Moscow about three miles.,
Sam Schrager,00;06;26;12,00;06;29;01,The same guy that you got $0.65 from.,
Ernest Anderson,00;06;29;01,00;06;30;23,Yeah.,
Sam Schrager,00;06;30;26,00;06;33;05,She went back and worked for him. Yeah.,
Ernest Anderson,00;06;33;08,00;07;04;26,"I did. Because I didn't want to go any place. I didn't want to go back to school, so I stayed there, got to do what I wanted to do. The thing I designed to do, be able to have four lines and, for six or 8 hours is dry. You know, I was always happy, and we thought about money is always plenty, not good food.",
Ernest Anderson,00;07;04;28,00;07;34;09,"And I never thought about money and wages. I was there and I was doing my job. I kept the lead from the time 1917, no matter who the man was. See and run two or three plows. I pick out the horses and I made him up and telling him which one goes in the lead and which one got by the Wheelers.",economy
Ernest Anderson,00;07;34;11,00;08;00;02,"And that was all I was doing. Uncle, it makes him so happy to have such a fat on with the slow and that you never work to do it again. And that only makes one Fred you know, and form up because the other one don't compete at the poor way. So he finally turned it over to me and I eventually did all his business in the line.",economy
Ernest Anderson,00;08;00;02,00;08;28;22,"Like, interesting. When I asked about it for nine different seasons, Farm and the first year was the first year I was there. I we didn't have too long harvest but 35 days. Then mostly we got in 65 to 70 days. That's pretty good pay. That's where you get your best. Mine was in harvest, but in 1921 I think it was nine year.",agriculture
