speaker,timestamp,words,tags,terms
,,,,
Frank Rowan,00:00:00,"If you didn't pay up, they'd cut you off the line. So her father is a secretary there. He planned to pull the cutter out and leave the crown to ...",family,father
Sam Schrager,00:00:13,This was Mrs. McKeon?,,
Frank Rowan,00:00:16,Yeah. She was a woman that enjoyed getting into the scrap. Just like old Gabriel Anderson or my dad.,lcoh places,anderson
Lottie Rowan,00:00:23,"Well, she wouldn't take anything, but she wouldn't take anything either.",,
Frank Rowan,00:00:27,"Well, Anna Marie writes this article about this deal. And the darn fool, instead of putting her dad in that did do it, she says, Mr. Roan, my dad, does it.",,
Lottie Rowan,00:00:40,They laid right across the road. He and his dad were marching right across the road from him at that time.,,
Sam Schrager,00:00:47,"Well, so, but what really happened was Gabriel Anderson went... Her mother is a man. What happened? He climbed up the pole to cut it off?",family;lcoh places,mother;anderson
Frank Rowan,00:00:54,"Yeah. And she climbed up to ... Oh, she just scared the devil out of him. She was harmless.",,
Lottie Rowan,00:01:01,"Oh, well, Sam must have got after somebody. I don't know. I don't think we ever heard of how he got down, but she had him up the telephone.",technology,telephone
Frank Rowan,00:01:14,"I suppose it just made him go down without cutting the wire. Well, I went up to tell him all about it. Well, that was no lapse of memory or anything. That was intentional. She just didn't want her father to make that mistake.",family,father
Sam Schrager,00:01:25,"I think Glenn told me that story and said you told it to him all the way. Glenn told it to Glenn Gilder, you know. He told me that... I think the way he told it was that, and Gabriel Anderson wanted to come down, she said, you stay up there for a while. Yeah, that would be it.",lcoh places,anderson
Lottie Rowan,00:01:41,She mentioned she'd keep him up there a while.,,
Frank Rowan,00:01:45,"Well, that is a kind of nasty trick. If she wanted to do that, she could ask us about it first. She just goes and puts it in there. So she's in quite a stress thing. Let me make sure of your story.",,
Lottie Rowan,00:01:54,"I called her up after that. I said, Anna Marie , what did you want to put in the paper about Frank's dad? He held up Mrs. McKeon, turned him up the telephone pole, pulled him up there with a butcher knife. I said, what did you want to put that in there? She says, well, why, Lottie? Wasn't that right? And I said, well, why didn't you put it that it was your dad instead of Frank's dad? That's who it was. It was. Well, I thought it was Frank's dad.",technology,telephone
Frank Rowan,00:02:29,"... They got paid pretty good money up there, Mr. 18 months up there. And this happened...",,
Lottie Rowan,00:02:37,"Yeah, we wasn't there. At least I can't admit. No, your dad was a batching over there alone at the time. We wasn't helping her. And she asked me, well, she says, what should I do? Do you want me to write in and retract that? And I said, oh, no, you better let it go as it is. You've got it out in the paper around now. And if people's going to believe it, why, that's it. It's hard to tell what you'd make out of it if you went at it again now.",,
Sam Schrager,00:03:01,"Well, that's not the way that I heard it the same way you're telling it, that it was Gabriel Anderson.",lcoh places,anderson
Frank Rowan,00:03:10,"Yeah, it was. Everybody knows it was Gabriel Anderson, even her. But she just didn't want her father to make sense of it.",family;lcoh places,father;anderson
Lottie Rowan,00:03:16,"Well, there was a woman, a neighbor there, and she paid the, these kids wouldn't pay their telephone dues, you know. And if somebody didn't do something about it coming off, well, then the phone company would cut the whole line up. And in order not to have the line cut off, well, there was a, probably you know of the people named Hor down there. He's changed his name down to Horton, Ray Horton it is now. His, his grandmother, she paid the, McKeon's phone bill for years in order to keep the phone from being cut off. And then Gabriel, he decided that he was going to do something about it and he was going to go down there and cut her off.",family;technology,grandmother;telephone
Frank Rowan,00:04:04,"Gabriel, he wasn't going to cut her.",,
Sam Schrager,00:04:08,"Well, now, you mean if they'd have cut off the, if they'd have cut off the McKeon line, it would have been cut off down the road too then?",,
Lottie Rowan,00:04:08,"Yeah, they'd have cut the whole line.",,
Frank Rowan,00:04:17,So you kept your own line clean. He didn't have that trouble.,,
Sam Schrager,00:04:23,"Well now, did your dad work on the lines too? Did your dad work on the lines too?",,
Lottie Rowan,00:04:26,"No, we were on another line.",,
Frank Rowan,00:04:32,"Yep, that was a, let's see, what? The two folks, so that's got a bunch of, what was it, three, four miles of line that the fella had and then it was down, we bought it and then we strung in another line there of our own, the other line for loaders, so we put in a line of our own there. In 1919, no, 1970, we put it in.",,
Sam Schrager,00:04:56,"Like it is now, you had to take care of your own line, I suppose.",,
Frank Rowan,00:04:58,"Oh yeah. You own the line. And you had to somebody on the line, the secretary or whatever his job was, he had to collect for everybody or else cut them off or else the whole line would be cut off. You see, Walter Olson paid Gord's fees on the line there a couple years. He thought he'd get it, and they were wealthy, you know, and he was a dad, poor dad. He didn't get it either. Another deal I thought I'd tell you about was pretty hard for me to trace it too, but the man that you just saw lived over in the pink house. His grandfather was a school teacher there teaching in the back of Avon some place. So there was a man and woman had a disagreement among themselves and the woman left home. This old fella thought, teach you a...take her over there and patch things up for them. And back out and they get over there and she stood up to get out of the car and the guy just plugged her a rifle right there. So then they barricaded the house. He was going to make a stand on them, but they talked him out of it. Now I don't know his name, but now I suppose she'd often know. She's just married to this man's grandson for 40 years and must have talked about it. I haven't talked about it here.",education;family,school;teacher;grandfather
Sam Schrager,00:06:30,So he took her over to the house and... Did he kill her?,crime,kill
Frank Rowan,00:06:36,"Oh, God, he killed her right there. She shut up and she stood up and looked back at you and he just plugged her.",,
Lottie Rowan,00:06:42,"See, when the woman left home she went over to this neighbor and so he took her back over there and he thought he'd talk him into getting along, you know. So when they get over there her husband came to the door and when she got out he shot her.",family,husband
Sam Schrager,00:06:59,Was there ever any say what the scrap was about? Just a domestic squalor?,,
Frank Rowan,00:07:03,"Yeah, I don't know. All I knew about it was how to read the papers. And I wasn't very well acquainted with that kind of thing.",,
Lottie Rowan,00:07:11,"It must have been just the husband and wife quarreling and fighting because nobody else except this neighbor thought he was going to do something to help them out and get them back together, talk to both of them, you know. So instead of that, in other words, he took her over to her own funeral.",family,husband;wife
Frank Rowan,00:07:32,Now this woman might possibly know a lot about the story or some old time in the Avon country could tell you.,,
Sam Schrager,00:07:41,"Yeah, that's... Well, there's a few guys left that have been there for a long time, guys I've been talking to too. Kenneth Wilkins has been there for quite a few... Kenneth Wilkins? He's been there for quite a few years.",,
Frank Rowan,00:07:57,"Yes, Wilkins has lived there and had before that. He was born in Troy and grew up in Helmer and then married and moved down into that country. He had gotten experience there a few years ago with Wilkins. Snowfall was going down the road. She was just going by his pond by some obstruction of the road, caught the place, dipped away, she went up and the truck went in. In the pond? Yeah, in the pond. So he yelled at his wife for to bring a rope and he went out there and he got one of them. I don't want a man drowned, but he got in that icy water and he got one of them out of that darn truck. Now if you see Wilkins there or something, you'd be worried. I'm going to ask him that. You have to mention that name.",family;lcoh places,wife;helmer
Sam Schrager,00:08:45,"With Sam McKeon, he really was about the only moonshiner that made a lot and didn't get caught. He was one of the only moonshiners that made a lot and didn't get caught.",lcoh people,sam mckeon
Frank Rowan,00:08:59,"Practically the only one that I know of. Well, I don't know of a couple, but they didn't operate as big as he did.",,
Lottie Rowan,00:09:07,"It's good with on us though. There's a couple of guys moonshining down Detroit and we didn't know anything about it. But when they caught them, we was the first ones accused of turning them in. Now is that something?",,
Frank Rowan,00:09:26,"Well, one thing that... One thing that edged them on a little was the police. It was three men, wasn't it? And that car drove into our place and went down there and checked it around.",crime,police
Sam Schrager,00:09:39,Went down there and doing what?,,
Frank Rowan,00:09:43,"They left their car at our place. This place wasn't on the road, you see. So they left their car at our place and didn't say a thing about what they were doing or anything. Probably figured they knew who they were. Then she sees them poking around and when they were around she kind of figured out what was going on. And we didn't know if it was like that.",,
Lottie Rowan,00:10:03,"I see them go in the house and come out around the house and out the wood shed and then they'd be in the house again around. So then I figured who they were. That probably was what. But when they'd come up there and ask me how to get where this guy lived and how to get down to him, well I would go out there and show them how to go down and how to get into the house. I thought they were guys that... There was some mining men down there, kind of a clay out there, out there mining for that, you know milling around.",lcoh mining,mining
Sam Schrager,00:10:39,Is that why they suspected that you turned them in? Because they were going through your place to get to their operation?,,
Lottie Rowan,00:10:48,"Well, I don't know. I don't think so because I told the woman I said that if we found out about it and we turned them in... Well, after they got down there and I watched them what they did, they did state their business. But in this case, these three, four men was going around this mining business, you know. I never seen the men. I didn't know them but I always heard of a man, Big Handy was his name. Handy, wasn't that his name? Hey, Big Handy, wasn't that what they called him?",lcoh mining,mining
Sam Schrager,00:11:19,"Who? Big, Big Handy was one of the guys named Big Handy, she's asking. Well, that would be Charlie Summerfield and Jordan.",,
Lottie Rowan,00:11:27,"Yeah, but those...",,
Sam Schrager,00:11:30,"You're talking about the bootleggers, right?",,
Lottie Rowan,00:11:35,"Yeah, and these men that come up to our house and I showed them how to get down there. There was a big guy with them, of course I didn't know the sheriff or anybody, but there was a real big man in there and I thought, well, now that's Big Handy. And they'd been, oh, kind of mining and testing around, you know, and so I thought that's who it was.",lcoh mining,mining
Sam Schrager,00:11:55,"Oh, I see, but it was the cops here from here. Yeah, and I didn't know it.",,
Lottie Rowan,00:11:59,"And then after I talked to the woman about it, she was up and we was talking about it, and she said how it was, they even they had to get her on the bed to get into a hole in the ceiling to get up into the attic to look. They even went up in the attic and looked. And I forget what the proper said about it, and I said, well, I sent them down there, I told them how to get in there, but I didn't know who they were. I said, I'd heard of Big Handy all the time with these mining men, and I just suppose that's who it was. But I said, if it hadn't have been, if I thought that's who it was, why I wouldn't be doing the right thing, tell them I didn't know how to get them into where they lived or anything, I'd been right out telling them a lie. So after which, when they did pick them up, then I guess probably that might be why they accused us.",lcoh mining,mining
Frank Rowan,00:13:05,Yeah. Who left the car at our place.,,
Sam Schrager,00:13:08,"Who was the guys that were arrested, do you remember who those guys were? The fellas...",,
Lottie Rowan,00:13:14,"One was John Colleen, wasn't it?",,
Frank Rowan,00:13:19,"Yeah. Yeah, John Colleen, sure, went up there and posed as this Jordan posed, I suppose, as a lumberjack or something, he went up there and got talking to John, got familiar with him, got a drink and bought a jug of liquor and he had Johnny Starr upside down.",,
Lottie Rowan,00:13:39,"There were several guys in there, but this Colleen we knew him well, he was one of them.",,
Sam Schrager,00:13:46,"That's an old, that sounds like, now, Hap Moody, I've talked to him about his old time as a deputy sheriff, sounds to me like, what he says, he did that a lot, I mean, he'd go out he'd impersonate a lumberjack or something, Moody would.",,
Lottie Rowan,00:14:04,"And there's another case, well, it was John Colleen, wasn't it? That he told the guys how to go back to the house and he had to go out there and get his backpacks or something so that he could take his shortcut and beat him to the house. They were moonshiners and they had a ... and a setting in the house, you know, to keep warm so it would work and a blanket or something thrown over it and right there in their home and they come there, ask about, they want to see John and so she knew them, I guess, anyway she knew that's what their business was, well she had to know them and so she knew that's what they were up to so she told them where to go out to her husband out in the woods, he was out making wood or something and she was washing washing clothes that day and they had babies and she was washing baby clothes and so she told them how to go out there, find him, as soon as they started out she watched them and, boy, did she get busy with those bottles there, what do you think she'd done with them? She put them down in the washer, under the clothes, there stood a washer with clothes in it and so then when they went out there and talked to John they'd come back to the house, he said, well I tell you, you fellas just went back to the house and I got to go out here and get an axe or a saw or something and he says then I'll go through a train or something here and I'll meet you at the house so he knew a pretty short cut to the house, of course he made it short but when he got to the house his wife had it all taken care of so when they come to the house and went searching around they didn't find anything but she did some quick work there, she figured they wouldn't go into that washer after, well you never think about bottles being in that washer, you know, when you got there you were sure pleased that there was no evidence.",family,husband;wife
Frank Rowan,00:16:16,"Well the second job was that lumberman from Elk River, Reed the Elk River old Jim back in Florida they were the sailor from the Potlatch Lumber Company he was talking about times here something said about Troy Idaho and Jim said something about his wife coming there another fellow that knew this section of the country said no there wasn't any Troy, this guy in Italy, a fellow, Reed the Elk River, oh yes he says, I knew it then you went and tell them the experience they had, they had some moon some way they got the word that the the facers were on the road and they looked around and they busted a few bottles in a chamber pot and said a kid or a mother whether that happened or not I don't know but that's what the ... told about it.",family;italian;lcoh corporations;lcoh places;lcoh timber,mother;wife;italy;potlatch lumber;elk river;potlatch;lumber
Lottie Rowan,00:17:16,"Well they had that kid trained to mine and they said now sit here until I tell you to get up if they could depend on that kid doing it but after a while the kid might get up and say, oh mom or dad, see what I did the bottles in the chamber.",,
Frank Rowan,00:17:35,Well then they could just slip the kid off and lay it on.,,
Sam Schrager,00:17:41,"Carl Olson told me one story about a guy who is, I can't remember who but they were coming up and he just had a bunch of moon sitting on his front porch and he just had a big crate, a big box and just put it right over the top and sat on it they looked all around, he was sitting on it all the time.",,
Lottie Rowan,00:18:02,Oh for heaven's sake that was luck.,,
Sam Schrager,00:18:06,"But how did this, how did Sam McKeon keep away from how could he run a big operation and not have the police discover it?",crime;lcoh people,police;sam mckeon
Frank Rowan,00:18:14,He was just simply too darn smart for the rest of them.,,
Lottie Rowan,00:18:19,Well he surely couldn't do it alone but he must have guys he could depend on that wouldn't let it out.,,
Frank Rowan,00:18:25,Well he played pretty much a lone game.,leisure,game
Lottie Rowan,00:18:30,Of course he had boys that would help him.,,
Sam Schrager,00:18:33,Did he hide pretty far away from his house or.,,
Frank Rowan,00:18:37,"He must, he must, it must have made him better with it, he did.",,
