speaker,timestamp,End Time,words,Unnamed: 4
,,,,
Doug Exton,[00:00:00:00],00:00:25:11,"So this program is funded through the a more perfect union initiative of the National Endowment for the Humanities. And with me today is Daniel Immerwahr, who is a professor of history at Northwestern University, where he teaches a global history in US foreign relations. He also did write a book titled How to Hide an Empire: A history of the Greater United States.",
Doug Exton,[00:00:25:13],00:00:28:06,I turn it over to you.,
Daniel Immerwahr,[00:00:28:08],00:00:45:19,"Wonderful. Doug, thank you so much for organizing this. And thank you, everyone, for being here. To whatever degree here is a thing. So I'd love to talk to you about some of the research I did around that book that Doug mentioned, How to Hide an Empire. And to do that, I will attempt an act of technological proficiency.",
Daniel Immerwahr,[00:00:45:21],00:00:50:04,I'm going to share my screen. We'll see how that goes.,
Daniel Immerwahr,[00:00:50:06],00:00:53:04,Okay. Boom. I think we're seeing it.,
Daniel Immerwahr,[00:00:53:06],00:00:57:10,So the book that I wrote and the research that I do is.,
Daniel Immerwahr,[00:00:57:10],00:00:57:21,About.,
Daniel Immerwahr,[00:00:57:21],00:00:59:22,Trying to see US.,
Daniel Immerwahr,[00:00:59:22],00:01:00:20,History in a new light.,
Daniel Immerwahr,[00:01:00:20],00:01:02:08,And in order to.,
Daniel Immerwahr,[00:01:02:08],00:01:04:06,"Start, I'd like to to.",
Daniel Immerwahr,[00:01:04:08],00:01:06:03,Talk not about an obscure.,
Daniel Immerwahr,[00:01:06:03],00:01:15:03,"Event that you've never heard of. That I'm trying to argue is important, but actually one of the most important and and famous events in U.S. history, I think if you were to ask people in the United States.",
Daniel Immerwahr,[00:01:15:05],00:01:16:05,Which historical.,
Daniel Immerwahr,[00:01:16:05],00:01:19:14,"Events they could, put a date to, i.e. then.",
Daniel Immerwahr,[00:01:19:14],00:01:21:18,They not only knew what year that happened.,
Daniel Immerwahr,[00:01:21:18],00:01:23:05,But actually the date that.,
Daniel Immerwahr,[00:01:23:05],00:01:25:18,They happened. I think that'd be a really short list.,
Daniel Immerwahr,[00:01:25:18],00:01:27:10,I think the list would be.,
Daniel Immerwahr,[00:01:27:12],00:01:27:21,Fourth of.,
Daniel Immerwahr,[00:01:27:21],00:01:37:22,"July, 1776 and signing of the Declaration of Independence. Sort of grimmer anniversary. September 11th, 2001. Al-Qaida's attacks on New York and Washington, DC. And.",
Daniel Immerwahr,[00:01:37:22],00:01:38:21,Then I think there's one.,
Daniel Immerwahr,[00:01:38:21],00:01:50:22,"Other date that you would get, which is the date that lived in infamy. December 7th, 1941, when Japan attacked Pearl Harbor in the Territory of Hawaii. This.",
Daniel Immerwahr,[00:01:50:22],00:01:51:03,Is an.,
Daniel Immerwahr,[00:01:51:03],00:01:56:23,"Interesting event. I mean, this is an event is like a, you know, it's in every history book. And I checked at the Library of Congress.",
Daniel Immerwahr,[00:01:56:23],00:01:57:24,There's like three.,
Daniel Immerwahr,[00:01:58:00],00:02:01:18,Hundred and 50 separate books that are held by the Library of Congress about this.,
Daniel Immerwahr,[00:02:01:18],00:02:03:20,Event. It is obviously.,
Daniel Immerwahr,[00:02:03:20],00:02:09:24,A really important event in the national story. It's also a curious event. It will,
Daniel Immerwahr,[00:02:10:01],00:02:10:22,I'll let to.,
Daniel Immerwahr,[00:02:11:00],00:02:17:20,"I'll let you sort of get get someone else's narration, for you to understand how we normally talk about this event. So,",
Daniel Immerwahr,[00:02:17:22],00:02:18:15,"Famously, this.",
Daniel Immerwahr,[00:02:18:15],00:02:22:01,Is the event that drew the United States into the Second World.,
Daniel Immerwahr,[00:02:22:01],00:02:23:00,War.,
Daniel Immerwahr,[00:02:23:02],00:02:23:10,But it.,
Daniel Immerwahr,[00:02:23:10],00:02:24:23,Also had a curious feature.,
Daniel Immerwahr,[00:02:25:01],00:02:26:01,Here described by Richard.,
Daniel Immerwahr,[00:02:26:01],00:02:26:13,"Nixon, who.",
Daniel Immerwahr,[00:02:26:13],00:02:28:12,Served in the Pacific during that war.,
Daniel Immerwahr,[00:02:28:14],00:02:33:11,Which is Pearl Harbor was the only piece of American territory that suffered.,
Daniel Immerwahr,[00:02:33:11],00:02:36:09,"Directly from enemy attack in World War Two, as Nixon puts it.",
Daniel Immerwahr,[00:02:36:09],00:02:37:02,And that's often how.,
Daniel Immerwahr,[00:02:37:02],00:02:39:14,We narrate it. So it is a place that in the United.,
Daniel Immerwahr,[00:02:39:14],00:02:41:02,"States was attacked, but it was actually the only.",
Daniel Immerwahr,[00:02:41:02],00:02:47:04,"Place in the United States that was attacked during the war. So it has that curious, feature.",
Daniel Immerwahr,[00:02:47:06],00:02:51:13,Those of you who are World War Two buffs might be aware that that.,
Daniel Immerwahr,[00:02:51:15],00:02:56:15,Narrative or that story offered by Nixon and sort of affirmed by so many of us readily.,
Daniel Immerwahr,[00:02:56:17],00:02:57:00,Isn't.,
Daniel Immerwahr,[00:02:57:00],00:02:58:14,Actually totally correct.,
Daniel Immerwahr,[00:02:58:16],00:03:02:23,"So in in World War Two, in a in a matter of hours.",
Daniel Immerwahr,[00:03:03:00],00:03:03:18,The Japanese.,
Daniel Immerwahr,[00:03:03:18],00:03:04:18,Attacked.,
Daniel Immerwahr,[00:03:04:20],00:03:07:02,"Pearl Harbor, the Pearl Harbor Naval base at the.",
Daniel Immerwahr,[00:03:07:02],00:03:14:05,Territory of Hawaii. But also and we don't talk about this as much. Also just within a few hours.,
Daniel Immerwahr,[00:03:14:07],00:03:21:01,"They also attacked, wake Island, which is a US territory. Waiheke Island is different from Hawaii.",
Daniel Immerwahr,[00:03:21:01],00:03:22:02,Both of them were.,
Daniel Immerwahr,[00:03:22:04],00:03:30:12,"Territories, not states, which is still not a state. Wake Island. Was uninhabited in the sense that it had no indigenous inhabitants.",
Daniel Immerwahr,[00:03:30:14],00:03:31:03,But actually had a lot.,
Daniel Immerwahr,[00:03:31:03],00:03:39:10,"Of people on it, had a lot of, U.S. servicemembers and civilians who were building airstrips and that kind of thing. So it was also a U.S. territory, territories. They got attacked.",
Daniel Immerwahr,[00:03:39:12],00:03:41:11,Japan also attacked the US territory of.,
Daniel Immerwahr,[00:03:41:11],00:03:46:01,"Guam, which is inhabited and does have an indigenous population, as.",
Daniel Immerwahr,[00:03:46:01],00:03:47:22,Well as the largest overseas.,
Daniel Immerwahr,[00:03:47:22],00:03:49:01,Territory that the United.,
Daniel Immerwahr,[00:03:49:01],00:03:52:11,"States has ever held, the Philippines, which has millions of people.",
Daniel Immerwahr,[00:03:52:11],00:03:57:01,Living in it. And then also on the same just within the same span of.,
Daniel Immerwahr,[00:03:57:01],00:03:57:20,Ours.,
Daniel Immerwahr,[00:03:57:22],00:04:04:19,"Japan attacked the British colony of Hong Kong, the British colony of Malaya, and the independent Kingdom of Thailand.",
Daniel Immerwahr,[00:04:04:21],00:04:13:01,"The, you know, newspapers at the time were sort of unsure how to talk about this event, if you remember, September.",
Daniel Immerwahr,[00:04:13:01],00:04:14:10,"11th, in the immediate aftermath.",
Daniel Immerwahr,[00:04:14:10],00:04:15:11,There was a similar kind of.,
Daniel Immerwahr,[00:04:15:11],00:04:20:09,"Confusion. It wasn't like on September 12th, newspaper editors were saying yesterday.",
Daniel Immerwahr,[00:04:20:15],00:04:21:18,September 11th.,
Daniel Immerwahr,[00:04:21:18],00:04:24:20,"Happened, and the name of the event was. It took a while to settle.",
Daniel Immerwahr,[00:04:24:22],00:04:26:12,And that's also true.,
