speaker,timestamp,End Time,words,tags
,,,,
Johanna Bringhurst,[00:00:00:00],00:00:35:18,"Hello everyone, and welcome to context. This program is brought to you by the Idaho Humanities Council with funding from the National Endowment for the Humanities. The views expressed here today do not necessarily represent those of the agency or the NIH. My name is Johanna Bringhurst, and joining us today is Doctor Emily Wakild. Doctor Wakild is a professor of environmental studies and the Cecil D Andrus Endowed Chair for the Environment and Public Lands at Boise State University.",
Johanna Bringhurst,[00:00:35:20],00:01:16:20,"Raised in eastern Oregon, she earned her B.A. from Willamette University in Salem, Oregon in 1999 and her PhD from the University of Arizona in 2007. Doctor Wakild's main academic research excavates documents, images, interviews, and fragments of the past to explain why and how large spaces for nature conservation were built throughout the Americas. She is the author of Revolutionary Parks Conservation, Social Justice, and Mexico's National Parks, which received awards from the conference of Latin American History, the Forest History Society, and the Southeastern Council on Latin American Studies.",
Johanna Bringhurst,[00:01:16:22],00:01:47:12,"She has also written extensively about environmental pedagogy, including, with Michelle K Berry, A primer for Teaching Environmental History, and the article Pedagogy for the Depressed: Empowerment and Hope in the Face of the Apocalypse in The Rutledge Handbook of Environmental History. In 2020, for her study of national parks in South America, will be published. Her research has been supported by the Fulbright Foundation, the National Science Foundation, and the National Endowment for the Humanities.",
Johanna Bringhurst,[00:01:47:15],00:02:21:28,"Doctor Wakild is currently working on several Idaho based research projects, including Essays on Mispronouncing Idaho and work celebrating the ways conservation brings Idahoans together. Doctor Wakild is also a scholar for our Inquiring Idaho program, and she is available as a speaker at no charge. For information, visit Idaho Humanities Talk. Doctor Wakild, thank you for joining me today to talk about our former beloved governor, Cecil Lander.",
Dr. Emily Wakild,[00:02:22:01],00:02:27:11,Thank you so much for having me. I'm thrilled to be here having this conversation with you.,
Johanna Bringhurst,[00:02:27:13],00:02:43:01,Thank you. Cecil Andrus was a beloved figure from Idaho. Many new Idahoans probably are not familiar with his history and legacy. Can you start by telling us about his early years where he grew up?,
Dr. Emily Wakild,[00:02:43:04],00:03:11:02,"Absolutely. So Cece, as his friends called him, was an unlikely environmentalist. In fact, he began his career as a logger, and he was also an import into Idaho. Like many of our our best folks are right. He he grew up in Eugene and later Corvallis, Oregon, and married his high school sweetheart, Carol. when he graduated from high school, they got married.",education
Dr. Emily Wakild,[00:03:11:02],00:03:39:05,"She was a sophomore, becoming a junior. And, she actually had to stop going to high school. She had to go to night school to finish because married students weren't allowed to attend high school. but they've been together. They were together, the rest of of his life. And he, joined the Navy. after they got married, he enrolled in engineering at Oregon State.",education
Dr. Emily Wakild,[00:03:39:05],00:04:05:16,"And then he, joined the Navy and actually, flew planes, for the Navy during the Korean War. And, went overseas, traveled around to several different stations across the U.S.. And his first daughter, Tanna, was born, very small, 3 pounds, 12oz, and was on an incubator for the first bit of her life. And that really shaped him in his marriage and I think some of his decisions about family.",conflict
Dr. Emily Wakild,[00:04:05:16],00:04:29:06,"So he served as four years in the Navy, and at that point he had a wife and a daughter and kind of needed a job. And his father had been a lumber man and had been involved in logging in Oregon. And, his father had been asked to build a sawmill by a Spokane company that would be located in Orofino, Idaho.",
Dr. Emily Wakild,[00:04:29:09],00:04:54:21,"And so Cece came home with a with a plan for this, this job his dad had offered him a really good job helping with that lumber mill. And by the time they, they moved up to. Orofino. Carol was pregnant with Tracy, their second of three daughters. And so they they really, started their life there and became Idahoans, right at the start of their of their young family.",
Dr. Emily Wakild,[00:04:54:21],00:05:05:03,"And so he was shaped by the timber industry, really kind of the natural resource economy. That was Oregon and Idaho at that. At that point.",
Johanna Bringhurst,[00:05:05:05],00:05:07:22,How did he get involved in politics?,
Dr. Emily Wakild,[00:05:07:24],00:05:40:10,"So this is a pretty interesting question. kind of accidentally. And some of our best politicians do, but there seem to have been two really important things that shaped his entrance into politics. And the first was that Carol and CS were involved in everything in the small town of, you know, they were co-presidents of the parent teacher organization for the school, and Cece was president of the the Veterans of Foreign Wars, the VFW, which was the largest in the state.",education
Dr. Emily Wakild,[00:05:40:10],00:06:07:22,"They served on the church council, and they ran a bowling league, and they went square dancing. And he really just loved being part of the community and were important leaders in those civil society sectors. And so they were they were noticeable and had lots of friends and connections that way. And they also were represented by a local Republican legislator who had some, pretty outlandish ideas about education.",religion
Dr. Emily Wakild,[00:06:07:22],00:06:42:07,"So, for example, he suggested that the schools should be built underground, kind of as bunkers, so that the school district didn't have to pay for heat or air conditioning. Cece, who is in an avid outdoorsman thought that that was absolutely absurd. Why would you deny students sunshine just just to save a few bucks. And so he became inspired to run against this legislator and and put his hat in the ring for state legislator and, and won because of the school situation and his his prior leadership there.",education
Dr. Emily Wakild,[00:06:42:09],00:07:10:15,"However, he was also inspired by a primary speech by John F Kennedy that was given in 1960 or 1961, in Lewiston. And here was this young, charismatic Democratic speaker, who planted the seed in Cece, like JFK did, and so many of that generation of people who wanted to give back and make their community stronger and better by sharing their talents with other people.",agriculture
Dr. Emily Wakild,[00:07:10:17],00:07:23:27,"And so the conjunction of those two things sort of ended up in him taking a political role. And once once he won, he he kept winning and he didn't look back.",
Johanna Bringhurst,[00:07:23:29],00:07:39:05,Getting into politics must have been challenging for his really young family. I know you've had the opportunity to interview his three daughters and his widow. What was their perspective and what were their memories of that time?,
Dr. Emily Wakild,[00:07:39:07],00:08:18:13,"Yeah. So I, am so lucky to have been in the position to conducted about a dozen oral history interviews with the Andrus women, over the past year, which have been, amazing conversations. And they'll be archived and available as transcripts and recordings in the Special Collections of the Boise State Library, probably by the summer. and through those conversations, I really came to understand the perspective of the family and the ways that being a politician's wife or daughter was really challenging in the 1960s and 70s, in just sort of the practice of daily life.",boise;education
Dr. Emily Wakild,[00:08:18:20],00:08:51:09,"So in addition to sort of what we would expect, which is being part of the, the media spotlight and being in the public sphere. And, you know, this was a time where their, their telephone numbers were listed in the phone book. So anybody could just sort of call up and rant and, and people did. But there were, they were really, I think really interesting and poignant examples that the women shared about how the logistics of life didn't match with having a political life, didn't match with having a family.",
Dr. Emily Wakild,[00:08:51:09],00:09:16:01,"So, for example, you can think about the Idaho Legislature that serves, a spring term each year. Well, what does that mean for kids? They're in school, right? They either stay home in rural Idaho apart from their politician parent, or they travel and they disrupt their school life by moving down to Boise for that period of time. And that's what the Andrews Women did.",education;agriculture;boise
Dr. Emily Wakild,[00:09:16:01],00:09:37:26,"But to drive from or Fino down to Boise with the family in the 1960s, I mean, you can think about highway 55 today and being a challenge in all kinds of weather. And then think about what it must have been like to navigate that road with really small children in the 1960s and that and that's what Carol did and see.",boise
Dr. Emily Wakild,[00:09:37:29],00:10:10:24,"Right. But he was more traveling, with the state or on the campaign trail. And, you know, Carol took really amazing care of the family. And those logistics, were were challenging to get them situated in schools. And the girls are five years apart each. And so the challenges of having different stages of development and accounting for those, those pieces, I think we're really we're really, challenging at different times and at different political junctures in coordination with his, with his, career.",
Dr. Emily Wakild,[00:10:10:24],00:10:50:05,"But you get such a sense for the tightness of the family and the, the real closeness that developed and the kinds of routines that they had and the really important special moments that they shared together and the ways the those, really kept the core together and really strong and how much that, ability of Carol to take care of the family allowed Cece to take care of the state, you know, and and that relationship and that sort of strength and respect that they had for each other and how how much of an investment of time and care that was.",economy
