time,title,description
[0:00],1910 fire on Boll homestead; burying their valuables; evacuation with the fire fighters,"1910 fire on the Boll homestead. Mother ran to warn picnicking homesteaders and children followed. Her brother wanted mother to shoot him rather than be burned by the fire. Mother buried their valuables, and some were looted by the fire fighters. Most of the timber was burned, so few returned. Evacuation and a stop with the fire fighters."
[15:00],1914 Bealls Butte fire; evacuating Bovill; being stranded in Potlatch,1914 Bealls Butte Fire. Evacuating Bovill by train; Mother missed the train and the children were stranded at Potlatch.
[20:00],Western life was hard for her mother; household chores; moving to Palouse; father's job for Potlatch,"Western life was a hardship for Mother, who had to learn to work after a cultured upbringing in Shelton, Wisconsin. Father came west to make his fortune. The family had to haul water at Bovill. After work rather broke land and worked the garden. Family horse and mule. Family moved to Palouse to work for Potlatch. Naming of railroad stops. Mother found great help from local women in learning to work. Mother shot game birds. Homesteaders were generally isolated. The third generation capitalizes on the homestead. Father was a cabinet maker who worked as a carpenter for the company."
[29:00],Buying electric ranges from WWP; getting phone wires on electric lines,They had to buy an electric range from WWP to get electricity; WWP had an appliance store in Bovill. Father won fight to get phone wires on electric line.
[31:00],"School in Bovill. ""Rinky dink"" parties in the depression in an empty store","School in Bovill. ""Rinky dink"" parties in the depression in an empty store."
[34:00],Discussion of Catholicism in Bovill; how many Catholics were in Bovill; where the priest came from; decline of Catholic population,"Catholicism in Bovill. The community church was restricted to certain denominations, excluding Catholics; there was narrow-mindedness and misunderstanding, which ended with time. Mass held at school and in homes before church was built. Many Catholics frowned when Mother and several others attended the Ladies' Aid. There were about twenty Catholic families in Bovill. Children studied lessons at home; the priest came once a month and was strict with them. At first the priest came from Orofino; later he was stationed in Bovill when the church was built. Decline of Catholic population led to loss of resident priest. Incentive for Catholic children to prepare for first communion and confirmation."
[48:00],Why Eastern European Catholics didn't attend church; the Parkers helping a Bulgarian man; Influence of Reverend Dick Ferrell in the camps,"East European Catholics didn't attend church because of their life situations. A Bulgarian friend whose wife betrayed him back home returned to Bovill; the Parkers helped him get a home and bought him a mattress and chair as gifts. There was a complete division between townspeople and bachelors. Influence of Reverend Dick Ferrell on the men in camps, where he made good money. The lumberjacks were extremely honest, though many were dissipated. Joe Holland was a good friend of Jim Saloukos, and sent him shoes after he returned to Italy. A man who popped his eyeball out from straining to lift a rail."
[59:00],Little KKK activity in the area; father was opposed to IWWs,"There was little Klan activity here. As carpenter, father was opposed to IWW's; many young fellows left the country for a while rather than join the IWWs. Father disliked their militant attitude."
[1:02:00],Pat Malone's friendship with Bovill children; Pat Malone's pride in being deputy,Pat Malone's friendship with Bovill's children. Pat's kindness to people and pride in being deputy. He was easy on drinking.
[1:07:00],Wanting to become a teacher; what she did for money in town; getting married instead of going to college; parents giving her guidance towards life choices,"Her desire to become a teacher. Father wouldn't let her flunkey in the camps. She helped in the post office and worked for the dry goods store and the telephone company. Like most of the local girls, she married rather than went to college. Women had few opportunities then compared to now - college is open to all who are interested. She wouldn't buy a car on interest. She grew up in a different era, when work at home was necessary for the young, and families did a great deal together and shared. Strictness of parents is necessary. Parents persuaded her by giving her the choice - discouraging her from going out with the wrong men. Parents told them to smoke openly. Some women drank a little at dances, but were disgusted by drunkenness. Rowdy dances on Bear Ridge caused the community hall to be closed."
[1:27:00],Dating and community gatherings in Bovill; building their house,"Dates and community gatherings - people didn't go elsewhere for a good time. Their home was to be used, not looked at. New entertainments aren't as good. Sunday picnics at Collins, and ice cream making. Father's hard work. Gardens froze out once timber was cut. Building their house a little at a time, as they could afford it. Loss of all their money on the homestead."
[1:34:00],"Father's work, mother's leisure; raising silver foxes in exchange for groceries; Husband working for CCC camps; hardships during the Depression","Father's work, Mother's leisure. She and husband loved outdoors. Raising silver foxes - exchange for groceries in the depression. Planes upset the foxes. Husband ran speeder for CCCs, and father built camps. No one was beneath working during hard times. ""Pound showers"" for the poor. Stress in her family on provisioning for winter."
[1:46:00],Her hunting such things as ducks and geese; hunting for sport and meat; hunting deer out of season and community acceptance of it,"Her hunting. Shooting ducks and geese in California. Hunting for sport and for meat. Venison was the main meat supply in the depression. Hunting deer out of season when families needed meat, but never does. Her husband Floyd was an excellent shot. Community acceptance of shooting out of season."
[1:57:00],Effect of Depression on Bovill and people's thriftiness; Civic work she did in Bovill; Raising cattle in Bovill,"Bovill people drew closer during the depression. Effect of depression on people's thriftiness. Provisioning for winter. Visiting Bovill now. Importance of civic work - she led cancer drive for many years, and PTA plays. Raising cattle at Bovill."
[2:05:00],Raising cattle in Bovill; selling the cattle and meat locally,"Raising cattle at Bovill. Cutting hay; broom grass was hearty. They sold their cattle locally, butchering themselves. She had more leisure than Mother."
[2:17:00],"Miss Crawford owning drug stores in St. Maries, Clarkia, and Bovill","Pete Olson. Miss Crawford owned drug stores in St. Maries and Clarkia as well as Bovill; her stock was excellent. Credit from Bovill store. There was a depression after the end of World War I. The company looked out for itself, not employee welfare - no pensions. When the company left Bovill many had to take pensions at 62."
[2:26:00],Mildred Wells taking over Dan Ross's store during the Depression; her leaving Chuck Wells and marrying Dan Ross,Mildred Wells. Father's joke about hunting with her. She took over Dan Ross' store in Helmer during the depression because he owed money to her and Chuck. She brought the store back to life. Chuck beat her; and she married Dan Ross.
[2:35:00],AFL Club in Bovill,AFL Club in Bovill.
