time,title,description
[1:00],Mother Taught in Virginia; Losses during World War I,Mother taught Sir James Douglas' Indian daughters in Victoria. She admired Douglas for refusing to accept knighthood unless his wife was made a lady. The memory of the Gordon Highlanders who were slaughtered taking Vemay Ridge during World War I.
[4:00],Carol Ryrie Brink's Snow in the River,"Synopsis of Carol Ryrie Brink's Snow in the River, the story of her father's and two brothers' fortunes coming to America from Scotland, and of her own childhood. (Continued on tape 76.9)"
[9:00],"William Steffen, a Disturbed Man","William Steffen, the murderer of Dr. Watkins, was a disturbed man who today would be treated for it. Old timers remembered that he had tried to kill men around a lumber camp with his meat cleaver. The list of intended victims found on his body shows that he was beside himself with grudges. She regrets that they did not try to get him to surrender peacefully, but fired on the house as a huge posse. His mother's despair. Some of those in the posse later said they much regretted it. He had not been a real disturbance in the town previously."
[17:00],The Siege and Death of William Steffen,"(Bob Clyde, Lola's son, enters) Mr. Wahl measured with his slide rule to prove that his bullet killed Steffen. Plumbing the house of ill-repute. The sheriff was said to have sent Deputy Cool after Steffen, who mortally shot Cool. Recounting the events surrounding Steffen's shooting of Watkins. The siege of Steffen's house."
[26:00],Locals Participate in an Illustrated History,"The Illustrated History of North Idaho was put together by enterprising young men from California. A number of old timers including her father and Mr. Naylor wrote up articles from memory. Lack of research was the book's short coming. People paid to have their stories and pictures included, and a man interviewed each one about his background and accomplishments. The printed descriptions drew each man in similar glowing terms. The book is a most valuable record of our early days, (continued)"
[30:00],Writing North Idaho history,Writing North Idaho history. The Jollys.
[32:00],1895 Senate Election; Father's Exoneration of False Charges,"The McConnell and Sweet factions fought over which man would be selected by the Idaho legislature to become U.S. Senator in 1895. Her father cast what was probably the deciding vote for McConnell, his close friend. This led to a change in law to provide for direct election of senators. Her father was then subjected to an attempted expulsion from the Presbyterian church on charges of drinking, but he was exonerated. The newspaper headline declared: ""Daniel Delivered from Liars' Den."" Common practices in the early days were the stealing of ballot boxes and buying votes with drinks; but that's changed. Mr. David was a Sweet supporter; Mr. Gamble supported McConnell on many occasions. Many besides Willis Sweet were responsible for establishing the university. Despite the standing story that Moscow was ignorant and Boise full of crooks, the real reason was to keep North Idaho in the state. Rod Drury tried to strike Mr. Gamble for refusing to vote for Sweet."
[46:00],Religious Leaders in a House of Ill-Repute,(Bob Clyde enters:) Two Catholics watch religious leaders enter a house of ill-repute.
[48:00],Regrets about Hanging Ed Hill,"Creighton is bested by Peterson in a debate on the parentage of a dog. More about Shorty Hill and the shooting on the Twenty-One Ranch. More about the hanging of Ed Hill: the two men were counterbalanced on one rope. Linn Strom, one of the men who took part in the hanging,was threatened with death by Shorty Hill many years later. George Horton told Lola that as a young man he joined the vigilante gang which went to hang Ed Hill for stealing horses and regretted it the rest of his life. Ed Hill's brothers guarded the jail, fearing he would be lynched; but Tom Hill was lured away to get drunk one night, and the deed was done."
[57:00],Shorty Hill's Family,"Shorty Hill was paid to marry a hired girl that the family's son had gotten in trouble. Years later Lola asked the man's brother to get Shorty social security, and got a bill for it. Shorty and Gus both made up stories and entertained the kids. Shorty told how he saw a person standing in the middle of the Clearwater River; it was a Chinese man some others had tried to kill by throwing him in the river with his hands and feet tied."
[1:00:00],Wild Men in the Old Times,The wild men in the old times.
[1:01:00],The Aftermath of William Steffen's Death,"Steffen was killed by the firing, but it was said to be suicide at the time so no one would fear the responsibility. Mrs. Watkins took her husband's death in stride, because she was an exceptional woman."
[1:04:00],Double Suicide in Moscow,"Winnie Booth and Dr. Ledbrook. Old timers remember his bug eyes, and suspect he used morphine. Mrs. Egan, who had a photography studio, remembered him asking to have his picture taken and displayed so that he would appear to be looking right at Winnie, but she would do nothing of the kind. His suicide note asked that they be buried in the same grave, but he's buried alone in a plot intended for four people. Winnie's note asked that they sing ""There's Not a Friend Like the Lowly Jesus"" at the funeral, and that was put on her gravestone. Account of the events leading to ""the double suicide"". John Drury, her boyfriend, rode around in shock to call off school. Among the interpretations, Ledbrook had hooked her on morphine while treating her for a broken leg. Carol Brink's story version idealized them both. Many old timers felt Winnie lacked the strengh of character and idealism attributed to her in Buffalo Coat. Mr. Gamble knew and liked Mr. Booth. Reaction to their deaths by Methodist women was severe. Winnie's likely complicity."
[1:18:00],Dr. Watkin's Death Impacted the Entire Community,"The tremendous impact of Dr. Watkin's death and the events surrounding it, involving the whole community. All the old timers remembered where they were and how they learned what had happened."
[1:21:00],People Believed the Doctor's Office was Jinxed,The deaths of three doctors in a row made people feel the office was jinxed.
[1:24:00],The Stigma of Divorce; Reminisces about Mrs. Watkins,"The divorcee in Buffalo Coat did live in Moscow; it was a stigma to leave your husband, no matter how bad he was. Christine, who worked for Mrs. Watkins in the book, later worked for Lola Clyde and told her how good it was to be in the Watkins' household. Lola has acquired much Watkins' memorabilia from Carol Brink:when she moved to an apartment in La Jolla, California."
[1:30:00],The Summer Buffalo Coat Came Out,"Caddie Woodlawn is a more popular book than Little Women. Lola gave fifty talks on Buffalo Coat the summer it came out, and people talked about the book day and night. Less interest outside of Moscow, with the lack of communication."
[1:36:00],Newspapers in Moscow,"Mrs. Creighton left Tom Owings, her newspaper boy, a great part of her fortune. Sam Owing's Democratic newspaper was ""in the doghouse"" in staunchly Republican Moscow."
[1:38:00],Superstitions and Omens of Bad Luck,"Beliefs. Pennsylvania Dutch hex signs on tops of barns to ward off evil. When animals got sick or cows ceased giving milk, they were under spells from witches. Superstitions. Omens of bad luck. Dropping a hot iron in the butter scares witches away. Women menstruating shouldn't prepare food. Whom you will marry: walk downstairs with a mirror on Halloween; bake a cake with your own water, eat a piece, and dream about him. When Lola was pregnant, grandma warned her to retire at dinner so the CCC boys wouldn't see her, and their glances cast a spell on the baby."
