time,title,description
[0:00],Lapwai folks send Len Henry to a liar's contest in California;,"Lapwai folks send Len Henry to a liar's contest in California. There he tells a Texan that we only hunt with knives in North Idaho. When the Texan pays him a visit they go on a hunting trip. Len runs a bear into the cabin where Tex is, yelling ""You skin him out, I'll get another!"" Next day Len finds a rattlesnake on the trail."
[9:00],Len was a squaw man;,"Len was a squaw man. He could entertain you with ridiculous stories for hours. Len's dog gets cramped on a curve. Seeing a big rattlesnake on the other side as he jumps across the stream, Len turns around in mid-air and goes back. Len Jjmps across the cliff by roping a rock on the other side, with the Indians in hot pursuit. Len believed his own stories. He made do on the allotment money,"
[15:00],Mrs. Messersmith's father;,Mrs. Messersmith's father complained about the misrepresentation of crossing the plains. It was hard on them to bury a family member on their journey. Father could have bought land at Lewiston cheap.
[20:00],Squaw men were held in low esteem by the Nez Perce;,Squaw men were held in low esteem by the Nez Perce; and Mrs. Messersmith also thought little of Len. She found Indians to be either very bright or dull.
[25:00],"The early Indians were called ""blanket Indians"" by whites.","The early day Indians were called ""blanket Indians"" by whites. They received rent from leasing land, through the Indian Agency. They always repaid debt to Lewis. He feels very sympathetic about the troubles they have had. Her father used to tell how an Indian said he (he father) was safe because there were no white men around. The Nez Perce said little to them about Chief Joseph, but she thought they admired him. The Indians would have kicked the (line cuts off)."
[30:00],Difficulty and progress in adapting to white man's ways;,Difficulty and progress in adapting to white man's ways.
[34:00],Attitude towards whites in Lapwai;,"Attitude towards whites in Lapwai in the early years of this century. Lapwai was a ""thrifty"" town until it declined when bypassed by the highway, and when the agency was moved to Moscow."
[40:00],Aunt Kate MacBeth;,"Aunt Kate MacBeth and the Presbyterian mission. A shipment of fancy women's hats from New York looked funny in the Sunday service. They trained Nez Perce minister!, and the mission ended when the Presbyterian Board refused to accept that training as qualification for the ministry. The Crawford girls came up the river in 1904."
[48:00],Jenny Barton;,"Jenny Barton, postmistress and store operator, was Marcus Whitman's niece, and was very close to the Nez Perces. She spoke the language extremely well, and often gave them advice. How Nez Perce women made purchases at the store. Jenny trusted her customers with credit and kept no records. Corbett Lawyer was a tremendous source of information on early days."
[56:00],The blacksmith business served mostly farm related needs;,"The blacksmith business served mostly farm related needs. No horse ever left the shop without getting shoes, it that's what he came in for. ""We shoe everything that passes...Horses, mules and jackasses"" was first sign on shop. He made camas digging tools and hooks for salmon fishing. He fixed up the Indian rigs for their summer travelling to huckleberry country, and was always given huckleberries by them."
[1:00:00],"If you are a friend of an Indian, you're always a friend;","If you are a friend of an Indian, you're always a friend. He roped unruly horses to shoe them. Horses can tell right away if you know what you're doing. He feeds a horse chewing tobacco so he'll get shod. He got kicked only once, by a strawberry roan."
[1:06:00],The ingenious hitch that Lewis Messersmith invented and patented;,"The ingenious hitch that Lewis Messersmith invented and patented. The tongue had a sector gear instead of a solid tongue, so the machinery wheeled around corners, instead of dragging. Three years apprenticeship to the blacksmith in Pennsylvania at 13."
[1:10:00],Their blacksmith shop burnt down around 1930;,"Their blacksmith shop burnt down around 1930, when times were so tough that they had no money to pay the premium on their insurance. He had been trading work for produce. The day of the fire he had made top money for shoeing a horse in Genesee, and went straight home instead of stopping by the shop. The day after the fire they went out hunting groundhogs, and cried. He rented the car garage next door, which had gone bankrupt, and salvaged what he could. The Moreland brothers brought in a new forge on their own, asking no money. The hardware salesman told him to buy what he needed because his credit was still good. How the fire started."
[1:22:00],She was very interested by the Nez Perce;,She was very interested by the Nez Perce 33 knowledge of nature and design. The beaded gauntlets he had made into gloves and sent back to Pennsylvania fifty years ago. (continued)
[1:30:00],Back East no one noticed the gloves;,"Back East no one noticed the gloves, and their niece just found them and sent them back."
[1:34:00],Segregation of Indians and whites;,Segregation of Indians and whites - dances and skating. Religious folks frowned on war dances.
