time,title,description
[1:00],Using a horse and wagon to do business; working in family mercantile; change in business with advent of cars,"""Youthful business ventures."" Dunk business: takes democrat wagon out on routes over ridges, gets horse hair, hides, brass, copper, rubber, wool to sell to Spokane buyer. Works in family mercantile. Changing business practices with advent of automobiles."
[12:00],Surviving the Depression by bartering and trading,"During Depression, had to barter and trade to stay in business. ""We'd trade for anything we could sell."""
[14:00],Living in Kendrick; Marvin's store and what it stocked; social life in Kendrick,"Kendrick, a stable town for business. Marvin's store stocked most everything except ready-to-wear clothes and hardware. Social life, public dances, roller skating rink. Three saloons in Kendrick until Prohibition."
[20:00],"Working in the store; what they sold, prices in the store; and who they sold things to","Store open 8 to 6, six days a week. Wages were S1.00 a day. One brother ran dray line, another brother ran store, third brother and father raised and butchered cattle. Sold suits to ""plutocrats"" for S50-S60 and to workers for $25. One farmer wouldn't bring kids into store, so brought in sticks the length of their feet to get the right shoes."
[28:00],Issues with the homeless and giving them leftovers from the store; what social security did for them,Box-car bums. Hobo jungles. Hoboes given leftover groceries at store. Social security put money in circulation.
[29:00],Father in freighting business from Arrow onto Camas prairie,Father in freighting business from Arrow onto Camas prairie.
[30:00],"Freighting business; four and six horse teams hauling wagons, three day trip.","Freighting business (continued). Four and six horse teams hauling wagons, three day trip."
[30:00],Herding cows from Kendrick to pasture and how much they were paid (Does not appear in audio),Herding cows from Kendrick to pasture for townspeople. $1 per month per cow.
[31:00],What they grew in their garden; how they spent their money,"Growing, picking, and sorting beans, widow-women would hand-pick beans all winter. Spending money. Thomas family, ail musicians. High board sidewalks all around the town."
[36:00],The first cars in town; people's responses to them; and what they were used for,"First cars solo by hardware stores. People were excited, skeptical. Most of the first cars were for commercial businesses."
[39:00],Loved ones fighting in World War I; profiteering on wheat during the war,Everybody had somebody over fighting in WWI. Father waits for paper every day to read the casualty list. Profiteering on wheat during the war.
[43:00],Homestead on Cedar Creek and then moving to town,"Homestead life on Cedar Creek. Stone-and-timber claim. Father made shakes. Move to town. Pre-emption Differences between homestead claim, pre-emption, and stone-and-timber."
[50:00],Meat market; cutting ice in the winter; price of meat per pound,Meat market. Cutting ice in the winter time to put in the meat wagons which they ran on Potlatch ridge. Meat 50cents per pound. Marvin jumped out and opened the gates. Ice-houses.
