time,title,description
[1:00],Nicknames given to different workers; Boarding houses in Bovill; Watts shooting the chain apart when the high line jammed,"Nicknames: Sleigh Haul Brown, Laughing Mike, Three Finger Nels, Crying Gus, Samuel T. Red Rosey Joe, The Chipmunk. Mrs. Watts. Boarding houses. Billy Watts' pool hall. Watts shot apart the chain when a high line jammed."
[10:00],The deep muddy streets of Bovill in the spring; the Bovill gym improved the basketball teams.,The deep muddy streets of Bovill in the spring. The Bovill gym improved the basketball teams.
[16:00],The trains that went through Bovill; the work done at each station; Joe's salary in 1925,"Regular trains that went through Bovill. Potlatch Company railroad crews. Length of trains and cars, then and now. Declining maximum work time; time figured by one hundred miles as a regular work day, with ""inch and-a-half"" for overtime. Switching in and out of stations. Daily delay report had to account for every minute of stopped time. Joe's salary and express commission in 1925. Size of freight train crew."
[30:00],Stories from the railroad crews; advantages to working for the railroad compared to woods work; trouble staying awake on trains; lack of time off,"A conductor tells Joe that a brakeman persuaded him not to murder the engineer he hated. The conductor is in charge of the trains. A WI and M brakeman ribs a brakeman from the Milwaukee. Advantages in job security of railroad work compared to woods work; in fact for years old-timers on the railroad wouldn't retire. His wife's uncle, an engineer, tells how his whole freight crew would fall asleep, and once went eight miles past a station before waking up. Troubles staying awake on trains, and lack of time off."
[48:00],High price of passenger tickets to Potlatch and this paid the grocery bills in the 1920s,"High price of passenger tickets to Potlatch, at five cents a mile. There was almost no other way to get there in the twenties. With cars on the blocks in winter, the grocery bills got paid."
[53:00],Grocery getting stuck with a winter's supply of groceries for another family; Different nationalities in Groh household,"John Groh got bilked out of a winter's supply of groceries by a couple who left the country. Three Grohs, born in the same house, had different nationalities because the countries had changed."
[59:00],Winter derailments in Bovill,Winter derailments in the Bovill yards. A man who is anxiously awaiting a train misses it when it switches tracks because of a derailment.
[1:00:00],Missing trains during switching; dealing with homeless people that rode on the trains,"Missing a train. A man who gets on a train in Bovill and falls asleep while it’s switching, gets off before it leaves, thinking he's in Potlatch. Joe closes the boxcar door behind a shaky hobo at his request. A conductor forgets to let a hobo out of a locked car, but he escapes with a jackknife. The Bovill hobo jungle near the depot was enticing to Joe; how they got food to eat. Hoboes kept on the move."
[1:14:00],A man's wife could tell the difference between a homeless man and a lumberjack by sight,A man's wife could tell the difference between a hobo and a lumberjack by sight.
[1:15:00],Some lumberjacks saved money and helped others while others spent their money; all the lumberjacks are gone,"Some jacks did save money, and helped others if they needed it. The life of the lumberjack—saving up money and blowing in. They generally paid their debts. All the lumberjacks are gone."
[1:22:00],Tying up boats in Bovill and logging right in Bovill,A woman told Joe about how boats used to tie up in Bovill before the town. In saloon days they were logging right in Bovill.
[1:28:00],Doctor Gibson did all the doctoring; Bill Deary tells Weyerhaeuser were mill should be located,"Doctor Gibson did all the doctoring, and didn't hesitate to saw off a leg. Bill Deary tells the Weyerhaeuser people where the mill should be located."
[1:30:00],Bill Deary doesn't think too highly of Moscow,"Bill Deary tells them there isn't water enough in Moscow ""to baptize a Baptist bastard."""
[1:32:00],The Civilian Conservation Corp comes to Bovill in 1933; Joe felt sorry for the American-Americans,"The CCC's. Eight long passenger trains of CCC's arrived in Bovill one day in 1933. Many quit and went back. One kid was shocked by the cement sidewalks. They gave employment to local men to supervise the boys, for many of whom it was their first job. He felt sorry for the Black Americans, who were kept in a single camp and not allowed to go to Bovill; he sees that they kept to themselves in camp."
[1:42:00],How strong Joe Wells was,He was told that Joe Wells was so strong that he drove his fist through the floor while trying to strike a man in a fight. Chuck Wells.
[1:46:00],"Durkins in Spokane was very popular with the jacks, and gave free lunches with nickel beer.","Durkins in Spokane was very popular with the jacks, and gave free lunches with nickel beer."
[1:47:00],Joe as head of the school board and controversy of school consolidation; discussion of 1970s school controversy,"When Joe was head of the school board, just after the second world war, there was much conflict in Bovill over the issue of school consolidation. Some favored maintaining the high school with kids from Clarkia and Elk River, which still are in trouble. Joe believed that their three story brick building could likely be saved by repairing the buckling floors, but it was torn down. Since Bovill lost its high school on the basis of a county study, the town has gone down. Current school controversy."
[1:57:00],When Bovill's best years were; how in 1929 a lot of things got done; getting goods to sell was key during World War 2,Bovill's best years were before the depression. 1929 was a banner year for activity: roads were gravelled and logging opened into Park. Getting the goods to sell was the key to success for merchants during World War II. Falling stock market may signal another depression.
[2:00:00],How Joe got different responsibilities within Bovill city government; Discussion of town politics; how main street got paved by the state,"One responsibility led Joe to another: starting with village clerk, then secretary-treasurer of highway district, justice of the peace, councilman. Running the town on tax money. Bonded indebtedness of the highway district hampered improvements. Petitions were met with lack of money; one was for hard topping streets. Tax money came through raising the water rate, which wasn't popular. How Main Street got paved by the state."
[2:12:00],FDR turned Bovill from a Republican to a Democratic town; People hated Hoover.,FDR turned Bovill from a Republican to a Democratic town. People hated Hoover.
