time,title,description
[0:00],Picking peas in Moscow; women work at the universities,"""Picking peas"" in Moscow. Today women work at the universities. Packing fruit at packing plants. Five minutes off every hour for picking peas. The work at home on weekends was harder than the peas, but had the advantage of being different. For many the work was extra; now women have to work because they need more. Women could draw unemployment in the summer."
[17:00],Worked as a nurse at Coos Bay; trained in Portland; worked as a nurse in the army,Starting to nurse at Coos Bay after helping sister with baby. Training at St. Vincent's in Portland. Days off on the coast; working special cases at people's homes. Enlisting in the army in 1917 - working as the shipyard nurse. Forming a hospital unit. Barracks hospitals and field hospitals.
[30:00],Hospitals in France; flu epidemic; disability from back injury; injured German prisoners,Operations in the field hospitals in France. Deadly flu epidemic. Reaction to death. She no longer enjoyed nursing when she returned to America. Permanent disability from back injjury - veteran's pension. Giving hypodermics in the field. Field conditions. Boys' fear of going overseas. Injured German prisoners.
[48:00],War; World War I; building weapons,A neighbor who said that a lot of boy babies means war. General belief that WWI would be the last. Foolishness of building weapons and fighting war.
[51:00],Amputation; orders to retreat ignored; sick men dying; Armistice at Monte Carlo and the Alps,Decisions to amputate. Orders to retreat were ignored because of injjured. A sick man who offered her money to save him died anyway. Any woman looked good to the boys. Problems with clothes. A vacation when Armistice was declared at Monte Carlo and the Alps. Limited social life. Everyone worked hard.
[1:00:00],Cookhouse work,Cookhouse work for threshing crew. Feeding travelling men. Food for the threshing crews. Good pay. The cookhouse. Flies. Relaxation in rainy spells.
[1:07:00],No eating in France; sons angry,Lack of opportunity to eat at times in France. Sons anger at being told how to care for his horses in war.
[1:09:00],Threshing; meeting opposite sex; new cookhouse,Excitement of threshing; it was tiring. Chance to meet opposite sex and have company during threshing. Moving the cookhouse. Ample room for cooking - no one knew any different.
[1:13:00],Mother moved to Viola; father cut timber,"Mother moved to Viola with girls during winter for school, living in the hotel. Father cut timber in winter on their place three miles east of Viola - line between timber and prairie."
[1:16:00],Moved to Viola from Iowa and Kansas; preferred timber; strawberries growing,Parents ' coming to Viola after living in Iowa and Kansas. Mother's mixed feelings about their place. Father wondered if he made mistake by not farming near Walla Walla; but he preferred timber after living on prairie. Strawberry growing in hills.
[1:21:00],Sisters go to school in Moscow; playing cards; mother visits Moscow,Sisters lived in Moscow together to attend school. Father told sisters to let young Fanny win at cards because she complained. Visits from mother in Moscow; weekends back home.
[1:28:00],Camp meetings near Viola; adventists; end of the world,"Camp meetings in summer near Viola. ""Faith"" people were called Linusites. Adventists and the end of the world, (continued)"
[1:30:00],Adventist beliefs,"Adventist beliefs - borrowing from cithers on Sunday, since they were keeping the wrong Sabbath, Fight between a Christian and a Nazarene caused end of community church at Viola. Getting to heaven. Adventist community moved in and some sold out to them; after a time they mixed with local people. Decline of Adventist school as people moved out; a woman offered to pay tuitionof local children who would keep up enrollment. Adventist didn't make many local converts. Adventists came about 1905. A few Adventists who had money bought land and sold parcels to those who came; many worked in sawmills."
[1:45:00],Brother dies; sisters' work,"Sisters kept money they made for clothes and school. Only brother died while felling tree with father; he needed a son to help with farm. The girls didn't do field work; Fannie rode horseback tending cattle, and harvested strawberries."
[1:48:00],Grandson gets married; increase in divorce,Girls had ambition to make a little money. Grandson married a girl he'd hardly noticed although he'd known her. Trend toward divorce in recent years may have peaked; working girls have freedom to leave.
[1:55:00],Money troubles; drinking problems; 1930 depression; 1893 depression,"People watched money carefully, and needed to use little. Drinking a problem then. Husband rented land; they farmed father's place. Depression of thirties made no difference in their well-being. 1893 depression didn't hurt bigger farmers. They couldn't save money; small difference between saving and being in debt. No money but much sociability, (continued)"
[2:00:00],Housework; selling honey; World War I; increase of cancer; Jack Cummerford shot in Potlatch store; Psychianna,"Fannie seldom worked out as children were growing. Fannie cared for mother and her house for eight years. Housework - some get a lot done, others little. She and father (at 85) made "" a good man"" at work. Selling honey during rationing of World War I. Increase of cancer. Jack Cummerford shot himself in Potlatch store. She worked for Psychiana for several years; he was famous outiside of the area. People came into the office begging to see him, believing that his touch would cure."
[2:12:00],Monthly dances in Viola; Sunday church,"Dances monthly and on holidays at the hall in Viola brought people from miles around. People always had company after Sunday church. People danced with everyone, not just one couple."
[2:15:00],Viola Community Club; club activities,"Viola Community Club, the oldest in the county. It started before the First World War, knitted for the boys during war. It met in homes, then school, then clubhouse. It was an extension club for a time. No use for extension agent - senior citizens were recently forced to sit through a boring lecture on buying cheap food. Club activities through the years. Famed sociability of the club."
[2:25:00],Viola's bad name; fight at tavern; local boy hung,"Viola's bad name from the early days, rekindled by outriders fighting at tavern. A local boy hung."
[2:28:00],Consolidation broke up community; Sunday school in Moscow; town gossip,Consolidation broke up the community - no more PTA or card parties. They preached it would be cheaper but it wasn't. Kids started to go to Sunday school in Moscow too. Importance of club to local people - little gossiping. In town gossip is worse.
[2:30:00],Membership at the club; work for women,Membership at club. She worked to take care of others in recent years. Work for women was viewed as a disgrace; now they're anxious to work. CCC's and public work. Co-op mill during depression.
[2:39:00],Faith people; town gossip,Faith people. Gossip had it that the reverend converted many widows.
