time,title,description
[1:00],Preparing sheep wool for use,Preparing sheep wool for use.
[2:00],Christening Emma Shirrod's brother; trip to Jansville,Christening of Emma Shirrod's brother near Deary. A trip to Jansville to visit the Halseth family.
[8:00],Cholera at sea; family background in Wisconsin; children dying of smallpox; boat trip to Walla Walla; mother's family; typhoid fever,"Grandfather's brother died of cholera at sea. Family background in Wisconsin. Father came West in 1876; he could have taken land in Spokane. Two Christenson children died of smallpox at Steptoe. Boat trip to Walla Walla; mother's family. Mother and grandfather take homesteads near Genesee. Mother sold her homestead right to get horses to see fiancée, sick with typhoid fever in Walla Walla."
[19:00],Walked over hills to get mail; moving to new Genesee,Mother said they were too dumb to be afraid during Indian scare (1877-8). Mother walked over hills to get mail. Moving from old to new Genesee.
[25:00],Birth in 1885; doctor from Lewiston; uncle with typhoid,"Her birth in 1885 - the doctor came from Lewiston with a team, and also checked uncle with typhoid. Her experience with severe typhoid fever (1905)."
[28:00],Grandfather's fatal heart attack,Grandfather's fatal heart attack after a day's work.
[30:00],Flour from Colfax or Pomeroy; trip to Lewiston; father's death,Flour from Colfax or Pomeroy - a year's supply. Trip to Lewiston and back took a day - she wanted to drink from the river. Father's death.
[31:00],Brother's death,Brother's prolonged sickness and death.
[34:00],Brother's first sight of gang plow,Brother's first sight of gang plow.
[37:00],Burley stack burned; farming techniques,Their barley stack burned late in the fall of 1893. Early farming techniques.
[39:00],Childhood memories; grandmother's death; candy; Fourth of July,"Early childhood memories: grandmother's death, candy, Fourth of July races."
[42:00],Doll from Louis Levi; Genesee stores; local wildflowers,"A ""Jew doll"" from Louis Levi. Genesee stores and goods. Local wildflowers."
[49:00],Kitchen furnishings; helping out when mother was sick,Kitchen furnishings and utensils. Mother bought one loaf of bread. Helping out; mother was sometimes sick.
[57:00],Run-ins with Native Americans; allotment of reservation,"Seeing Indians with their travois in long processions on the trail"" run-ins with Indians. Allotment of reservation by Alice Fletcher."
[1:00:00],Native American land,Ownership pattern of Indian land near her home.
[1:02:00],Ran for county assessor; sentiment for prohibition,In 1912 she ran for county assessor on the Progressive ticket. Sentiment for prohibition.
[1:08:00],Meeting her husband; moving to Genesee; working; tuberculosis; courtship; Fourth of July,"The saga of meeting her husband: moving to Genesee and working Tuberculosis of Mr. Shirrod's first wife. Emma Shirrod's sojourns in California. Courtship: going to Chautauqua, Fourth of July and camp meeting with Mr. Shirrod."
[1:21:00],Car accident,A car accident after a premonition.
[1:26:00],Honeymoon on a North Idaho Lake,Their honeymoon in isolated snow country on a North Idaho lake.
[1:30:00],Disastrous trip to Spokane; broken wrist; father's death,A presentiment of a disastrous trip to Spokane. Another presentiment before a broken wrist. Crying spells before father died.
[1:40:00],House burnt down; buying another place; the Depression,Fire burnt down their house in 1925. Their purchase of another place. Success through hard work and savings. The Depression didn't affect them much.
[1:51:00],College in Pullman; spinal trouble; family illnesses,Taking a business course at the college in Pullman. Her spinal trouble at that time led to a cure in St. Louis. She hurried home when her father became sick. Family illnesses.
[1:56:00],The Shirrod scholarship,The Shirrod scholarship fund for college-bound students from Genesee.
[2:00:00],Allegiance to Nez Perce County,Her allegiance to Nez Perce County.
