time,title,description
[1:00],Flu Epidemic during World War I and effects on family,"Father died in flu epidemic during World War I. Frank and George Brocke, still boys, continued to farm. xHeavy people were more likely to die from the flu; had whiskey been available, more people would have been saved. A cousin cared for the whole sick Brocke family."
[10:00],Walking to school in bad weather and with sleds,Walking to school in bad winter weather. Enjoyment of school Taking sleds to school.
[15:00],Playing games,Playing shinny: rules of the game.
[21:00],Going to school on American Ridge and then going to school in Kendrick,One room schoolhouse. Learning from the younger kids recite. Need for discipline and silence. Emphasis on penmanship and spelling. Oral recitations. Closeness of teacher to progress of students. Superiority of rural schools because of individual attention. Mr. Brocke skipped seventh grade when he moved to Kendrick because of what he'd learned on American Ridge.
[30:00],The advantages of going to a rural school,More about advantages of rural schools for teaching of average students. Sound reading much better than sight reading. Most elementary teachers were women who stayed for years until they got married. School trustees and financing.
[37:00],Love of horses; discussion of farming different crops and practices,"Love of horses on the farm as a boy. The slow work of running a walking plow. Hoeing wild oats in the beans; threshing beans. Father's hand-fed threshing machine, ""the little coffee grinder."""
[44:00],What type of food was available during World War I,Family garden: potatoes three times a day. Meals. Luxury of bakery bread during World War I. Making bread depended on the flour.
[49:00],Family age difference and closness of siblings; availbity of playmates depending upon where one was living,"Age differences between brother and sisters. Closeness of siblings. Marble shooting experts at Kendrick. Mumble-peg. Going home for lunch at the town school reduced the opportunity for play. In rural school you got to know the little kids very well, but in town school you never ever saw them."
[56:00],Politics within the Brocke family and being persuaded on who to vote for by Ole Bohman,"Parents never discussed politics with the family. Father a strong Democrat, mother a rabid Republican. Mr. Brocke knew nothing of politics, was persuaded by Ole Bohman to vote for Hoover in'28. Changing party strengths. Republicans were for trade embargo when he was young. People voted blindly for their family's party instead of examining the philosophies of both sides."
[1:00:00],Breaking Republican hold on Latah County,Brother George Brocke helped break Republican stronghold on Latah County by winning seat in legislature.
[1:02:00],Depression caused by falling wheat market; Living with anti-German propaganda; and knowing the enemy for World War II,"Post-World War I depression caused by falling wheat market. Living with anti-German propaganda in World War I. People didn't know what we were fighting for in World War I, but in World War II the issue was clear. Family didn't suffer much during World War I depression."
[1:08:00],Failure of brother's confectionary business,"Failure of brother's confectionary business, which burned down."
[1:11:00],How Mr. Brocke got started in banking in Kendrick; Summer work by hauling rock,"His friend, an assistant cashier, got Mr. Brocke interested in banking. The Kendrick banker took him in without pay. Learning to use the posting machine by watching. He hauled rock from a bank-owned farm during the summer. Advancing in responsibility and in salary to $50 a month."
[1:17:00],How Mr. Brocke got started at the Troy bank and how he almost did not get the job,"Ole Bohman was looking for a young man for the Bank of Troy, and Mr. Anderson (who ran the Kendrick bank) suggested Frank Brocke. His boss went along with the idea, but then persuaded Mr. Brocke to write a letter refusing the job; on his way to mail it the boss changed his mind, and Mr. Brocke went to Troy with the option of returning. The opportunity in the Troy bank. Mr. Anderson, a friend of Mr. Brocke's, wanted to get him out of Kendrick."
[1:25:00],How Mr. Brocke learned the bank buisness in Kendrick,Learning the bank business in Kendrick by watching. His first job was handling collection slips; he sent several out by mistake. Learning accounts by check filing. Learning by listening
