time,title,description
[0:00],Learning English in school; differences between country and town kids,"Learning to talk English in school - as soon as they were outside, the kids talked ""Swede"". The country kids were so bashful of Troy that they forgot what they knew and flunked the eighth grade exam. Going to Troy and Nora for supplies. Superiority of town children."
[7:00],Working in Spokane; working at the sawmills as a cook; where the money went,"After a year of high school, she worked as a housekeeper in Spokane and then as a cook for the sawmills and a threshing crew. Fifty days' threshing in rainy harvest (1920). Inside of the cookhouse. Rush of cookhouse work. No chance to marry husband because they were too busy working. Money went to father to build barn."
[16:00],Mother working as a housekeeper; dances on Saturday night; having to walk back to the logging camp to work,"Mother worked as housekeeper in Moscow, and her father came to collect her money. Mother and she both helped with farming; she ""worked like a man."" They wanted to get everything done so they could dance all Saturday night at Pleasant Hill Schoolhouse. After their wedding they had an all-night party and then a cleanup at the school. After dancing, they'd walk back to the logging camp and cook breakfast."
[23:00],Swedish church in Nora; family dynamics between sons and daughters,"Swedish Church at Nora, and Sunday school. If kids didn't obey mother, she ""tattled"" to father. The family had three girls first, and spoiled the boys because they were so glad to have them. She always tied up her mean brother when parents were gone."
[30:00],Doing work for the family at home. Dating was all local,Doing work for the family at home. Dating was all local.
[34:00],Getting a job through the newspaper; working as a housekeeper; doing to dances,Met by a friend of a friend in Spokane. Getting work through the newspaper. Better to get a housekeeping job in a family with children. Working for a rich family. Leisure time - going to dances at Odin Hall. She ate in the kitchen.
[39:00],Meeting her husband and the first time they went to church together,Met husband when he dried dishes for her at sawmill. The first time they went to church together.
[42:00],Cooking for the mill crew; spending money in Spokane; going to school in Moscow,Cooking for the mill crew was like being at home. The men saved her from trouble at the mill. No drinking at the mill; she wasn't scared of the men. All the poor pay went home to pay for piano and barn; her brothers' musical talent. In Spokane she spent earnings on herself. Going to school while working in Moscow was too hard and unrewarding. Parents couldn't afford to pay for her board to go to school in Troy.
[51:00],What her husband did; working at different jobs in Troy to make money; picking peas; cutting mica; money issues during the Depression,"Getting household goods at marriage. Husband's work. Her work at Troy hospital. Picking peas in Moscow was employment for many Troy women. Cutting mica. It was hard to stay awake picking peas. Gas stolen from the car caused her to be stranded one night in forty below weather. She worked all the time until retirement. Surplus food in Troy in the depression; public work on the sewer. They couldn't pay $6 a month rent, and still owe $18. Their children wanted things they couldn't have. Enough food to eat despite depression. Getting old, selling house."
[1:00:00],Going without things as a child; cutting mica to supplement income; children wanting toys during the Depression,The family had to do without when she was growing up. She didn't work out when she had small children. Cutting mica. Her work helped the family income. Children wanted toys in the depression.
[1:05:00],Who their social group was; not much time for visiting in town,"More closeness of neighborhood in the country than the town - everyone had to do things together. Rebekhas and Oddfellows were their social groups, along with church. Not much time for visiting in town then; there's no time now. Young people have so much now that they wouldn't know what to do in a depression."
[1:12:00],Wages for picking peas; cutting mica; glad to have work,"She was glad to work. Backaches from pea picking. Wages mica cutting and pea picking. She picked peas six days a week, and got ready for the new week on Sunday."
