time,title,description
[0:00],His early interest in Bovill history;,His early interest in Bovill history. Resolving conflicting historical accounts. Filling in his framework with facts.
[17:00],Bovill's character as a logging town;,"Bovill's particular character as a logging town. Difference in attitude between loggers and farmers. Loggers' nature: they're tough, but not ruffians. They admired physical men, like ex-boxers Dick Ferrell and Billy Musch."
[31:00],Many loggers returned to Bovill;,Many loggers returned to Bovill. Boarding in the hotels. Logging in winter. Availability of women.
[38:00],Pat Malone;,"Pat Malone. Bovill's sheriff, a very funny character. His presence as ""authority"" helped stabilize the town. (continued)"
[30:00],Pete Olson;,"Pat (continued). Pete Olson, another character."
[38:00],Many law-and-order types hatted the IWW's;,Many law-and-order types hated the IWW's. Local disagreement about worth of IWW's and about acts they committed. Bad conditions in logging camps. IWW's served loggers need to improve them. Uncertainty about whether or not shutdowns actually occurred in the area: some locals say they did not occur. Blue-collar towns like Bovill now tried to vote Democratic;
[58:00],Bovill is run-down physically;,"With the timber around the town growing back, the area is regaining its natural beauty. Bovill is run-down physically. Also, the timber is being cut too young, for short-term profit. Results of old slashing methods. Fallacy of expanding economy."
[1:12:00],Appeal of the old way of life;,"Appeal of the old way of life; sentimentality, and genuine contentment. (continued)"
[1:00:00],Contentment of the past;,Contentment of the past (continued). Hard work. His mother's typical work day. Harvesting Timothy on stump land.
[1:10:00],The major turning point in Bovill's history;,"The major turning point in Bovill history is the Depression, coinciding with exhaustion of prime timber near the town. Railroads replaced by gravel roads and trucks."
[1:16:00],The need to care for the elderly; Abuse of welfare;,Lapse of moral fiber throughout the land shows in Bovill too. Need to care for elderly. Abuse of welfare.
