time,title,description
[1:00],Short on materials in Burnt Ridge schoolhouse,"Short on materials in the Burnt Ridge schoolhouse and they'd reread the lesson book. School programs, plays and drills. Wanted to teach and go on to high school, but ended up staying at home."
[12:00],Dad gave money somewhat more freely to boys than girls; went after the cows every night,Dad gave money somewhat more freely to the boys than the girls. Went after the cows every night. Once the cows disappeared for three days and father tracked them to Troy.
[16:00],Two deserted homestead cabins in the canyon,Two deserted homestead cabins in the canyon had blue grass lawns and berry bushes and sweet Williams that bloomed for years afterwards.
[20:00],Older girls congregated by the gate and talked about books they read,Older girls congregated by the gate and talked about books they'd read and talked about Helen and her babies (from a book) when she walked by. Young Rodin boy mispronounced her name.
[24:00],Hillsides stripped of timber and sawed in Bovill,"Hillsides stripped of timber and sawed in Bovill, Wade the stream a mill pond and the salmon would spawn there. Few bears after they logged. Seeing two cougars walk past the house like a team of horses. Taking butter to the Bovill mill. Scared by a snake near the bunkhouse. Also afraid of Joe Carlson's bad bulls."
[32:00],Dad worked on First Continental Railroad and lost $300 gambling; after a while became quite strict,"Dad worked on First Continental Railroad and lost $300 gambling, but won it back the next night. After that he became quite strict and wouldn't even allow them to chew gum. Sneaking gum from Watkins man and hiding it in the house."
[37:00],Seeing the Ringling Brothers Circus in Moscow in 1910; boys did stunts in the barn and injured themselves,"Seeing the Ringling Brothers Circus in Moscow around 1910 inspired boys to do stunts in the barn. They all jumped off beams in the barns to the hay, Layton cut his head on a beam and father sewed it up with cat gut."
[39:00],Teddy got erysipelas from a scratch on his neck,Teddy got erysipelas from a scratch on his neck that no turpentine was put on. Old Joe Carlson's remedy with potatoes and blankets brings him through the crisis. Father sewed up a bad cut on Teddy's leg.
[43:00],Teddy got ringwork and doctor put black iodine on sores and burned him badly,Teddy got ringworm and the doctor put black iodine on the sores and it burned him badly. The home remedy would have been better.
[48:00],Tuberculosis epidemic on Burnt Ridge; sanitation problem,"Tuberculosis epidemic on Burnt Ridge, People didn't have enough clothes, but it was mainly a sanitation problem - the water bucket at school. First symptom of TB was extreme weakness. Treated by being put in tents outside in order to get fresh air. Needed more nourishing food. Older sister worked too hard - carried water from spring to house in buckets. Everyone drank from the same communion cup in church."
[58:00],Father's prune dryer and twenty acre orchard,Father's prune dryer and twenty acre orchard.
[1:00:00],Father stopped drying prunes at his place and soon after the Westburg's dryer burnt down,Father stopped drying prunes at his place and soon after the Westburg's dryer burnt down.
[1:02:00],"Mother's canning and baking for a family of 12, Dried corn after boiling it in scalded cream","Mother's canning and baking for a family of 12, Dried corn after boiling it in scalded cream."
[1:06:00],"Older sister sewed for the family; later she sewed her own dresses; the Troy dressmaker made her a pink dress for Christmas, Whooping cough; childhood parties","Older sister sewed for the family. Later she sewed her own dresses. The Troy dressmaker made her a pink dress for Christmas, Whooping cough. Childhood parties."
