time,title,description
[1:00],Father homesteading in Troy,His father took homestead by Troy in 1884.
[2:00],Sly shoots Marshall Hays; Sly snuck into Moscow before he was lynched,"Sly shoots Marshall Hays. Townspeople want to lynch Sly, and he is snuck out of town into Moscow as fast as the team could go. Hays was overbearing, but he was an Oddfellow and had friends among them."
[8:00],Shoemaker stabs Driscoll in Troy; he gets paroled and leaves his wife,"Shoemaker stabs Driscoll in Troy after they exchange remarks about a girl, and he dies because so many arteries are cut. Shoemaker is apprehended the next day. When he gets parolled, he tells his wife she has grey hairs and he leaves her. He told Jesse's mother that he liked to shoot Filipinos in the war to see them kick."
[15:00],Clemm killed by a restaurant owner in Troy,Clemm was killed by a Black restaurant owner in Troy.
[17:00],Family got along well; Joe's relation with the Wells brothers; father's slave,"As a youngster, Jesse told black Joe Wells to wash his face, and it tickled Joe. Joe escapes from Hays in town. The family got along well with the whites. Joe's relation to the Wells brothers, slave of their father back east."
[23:00],Homesteads on Moscow Mountain; fire on Moscow Mountain; naming sister Dolly,"Mr. Stephenson homesteads on Moscow Mountain north of Troy in 1900. The place has reverted to timber, and there was a fire there. Mrs. Spencer cooked and took care of her family from the age of twelve. Naming her sister Dolly."
[30:00],Cooking for the family; nursing father through scarlet fever; brother sick at age three; treating scarlet fever; home remedies,Cooking for the family: Mrs. Spencer started learning as a tot. Nursing her father through scarlet fever. Brother had to learn to walk again after getting sick at age of three. Treating scarlet fever. Home remedies for treating chest and throat flu.
[39:00],Jesse's homesteading; raising fat cattle on bunchgrass; irrigated farming; rattlesnakes,"Jesse's homesteading, twenty miles from Coulee City, 1907-1919. Raising fat cattle on bunchgrass; irrigated farming. Rattlesnakes stayed in rocky country. Pulling hides off cattle with a team."
[50:00],Not liking milk or butter; working at the university,"Jesse doesn't like milk or butter, because when he worked at the university they strained out the gargot and used the milk."
[51:00],Giving up the homestead; threshing in Coulee country,"Giving up the homestead, returning to farm 19 near Troy after they got married. Before they started threshing in the Coulee country, he drove her around to see the land. Doing an early morning wash, she was terrified by a bullsnake."
[55:00],Working in the kitchen in Coulee country; skilled threshing operation,"Working in the harvest kitchen in the Coulee country. Mrs. Spencer becomes first cook because the other cook is getting too old to do the work,and lightens her tasks. It was an extremely skilled threshing operation: every man had a job, and they only worked a ten hour day. If they did over 1300 sacks a day, the men got a chicken dinner."
[1:00:00],Quality of springs in Coulee country; farming,The crew drank lemonade instead of the alkalai water. Quality of some springs in the Coulee Country. Farming not nearly as good as this part of Idaho. The one huge yellow pine on the place.
[1:04:00],Grandmother homesteaded on Moscow Mountain; herding sheep; spinning wool,"Grandmother Spencer homesteaded on Moscow Mountain, did all the work on the place except what the boys helped her with. She herded sheep and made spinning wool."
[1:10:00],First meeting with the Spencers; Frank Rowan bought her a dinner basket,"First time the Spencers met he pulled her hair, she got mad at him. Then she saw him again at his brother's birthday party in 1915, and asked Frank Rowan who the good looking fellow was. Frank buys her dinner basket from an old man at the schoolhouse social; the money was used to buy needed items for the school."
[1:16:00],Achievements in school; walking two and a half miles to school,"Jesse's achievements in school. Mrs. Spencer wanted to go to high school badly, but had to take care of her new baby brother, when she was 20. Walking two and a half miles to school."
[1:20:00],Wild Davey's cabin,"Wild Davey had a cabin near Park, and looked like a hippy."
[1:22:00],Shipping wood from Troy; made living by cutting wood,Shipping wood from Troy; families made a living by cutting a hundred cords of wood a year.
[1:25:00],Riprapping the railroad down the canyon,Italians were run out of Troy while they were riprapping the railroad down the canyon.
[1:27:00],IWWs cleaned up camps; blamed for things they never did,"IWWs cleaned up the camps, and were blamed for things they never did."
[1:28:00],Robber of the Bank of Troy,Robber of Bank of Troy got caught because he was careless.
[1:29:00],Sam McKeon and his daughter hiding moonshine,"Sam McKeon and his daughter fool the law by hiding moonshine under blocks of wood they're sitting on. He hides moonshine in a pile of chips,"
[1:30:00],McKeon shot heel off Summerfield's boot; Mrs. McKeon threatens Gabriel Anderson,McKeon buries moonshine. It's said that McKeon shot heel off Summerfield's boot. Mrs. McKeon threatens Gabriel Anderson to discourage him from climbing the pole and disconnecting her phone.
[1:33:00],Handling horses right; favorite teams; devising a hitch; training a lazy horse,"Handling horses right: fitting collars and hames properly. A salve of axel grease and stove polish healed horses soreness. Favorite teams: one worked by themselves; one horse died from squirrel poison. Mrs. Spencer's father, who'd been a cowboy in California, thought Jesse was great with horses. How Jesse devised a hitch to even-up a three horse team so all pulled the same. He could even a big and a little horse, and a tender and a tough-mouthed horse. He could cut the hair off a horses back with a line. No good horseman uses a whip. Training a lazy horse without hollering at him. Balky horses caused by ill-fitting gear."
