time,title,description
[0:00],Potlatch manipulations to get timber and profit,Potlatch Corporation manipulations to get timber and profit from land Mr. Sanderson was trying to purchase for logging.
[14:00],Junk dealers bought abandoned equipment during the Great Depression; Potlatch discouraging competition,"Potlatch discarded a great deal of equipment in Bovill during the Depression, most of which was purchased by junk dealers rather than by local people, who couldn't afford it. Automatic loader brings automation. Potlatch discouraging competition - they wouldn't sell their logging tracks to Mr. Sanderson. They grabbed Beal's Butte timber."
[26:00],"Homesteaders often sold timber to Potlatch; T.P. Jones sold Potlatch timber to Montana ""gyppos""","Early homesteaders nearly always sold their timber to Potlatch, but didn't make much. T.P.Jones held timber for Potlatch but sold it to Montana gyppos, causing Potlatch to sue."
[30:00],T.P. Jones' mixed up Montana oil venture,"T.P.Jones' Montana oil drilling. Many local Potlatch people invested and would have been rich, except that Jonas got mixed up with big companies and the stock was watered."
[38:00],Mr. Sanderson's copper claim; Difficult for small operators to exploit claims; Wyoming oil fields,"Mr. Sanderson's copper claims in the Hoodoos; a drilling company almost decided to explore it. Small operators can't afford the assessment work. Taking advantage of farmers in the Osage, Wyoming oil fields."
[51:00],Father's Coper King mine; Taking ore to the Tacoma smelter,"His father's Copper King mine. They sent two carloads of hand-picked ore to the Tacoma smelter; the smelter lied about the assay, and the backers withdrew."
[58:00],Government road building regulations;,Disadvantage to little guy who mines - government road building regulations.
[1:01:00],His Placer claim on Swamp Creek,His Placer claim on Swamp Creek.
[1:02:00],"Stories about mines at Elk Butte and Swamp Creek; Jericho Mine's ""Glory Hole""","T. P. Jones beat Mr. Sanderson out of a placer mine because of a mismarked boundary. (Mr. Sanderson's CCC dam at Elk Butte). The McGahan brothers' mining on Swamp Creek. Jericho Mine's ""glory hole"" and ledge. Advice from an old miner."
[1:13:00],Chinese miners were harassed in Hoodoos; Palouse River dredge leases,Harassment of Chinese miners in Hoodoos. A frightened Chinese miner with a bag of nuggets. Trenches dug by Chinese. Leases for the Palouse River dredge.
[1:21:00],Old Hoodoo miners Duffney and Wagner,Old Hoodoo miners. Duffney's portholes in his cabin and feud with Wagner. The two were somewhat crazy from isolation.
[1:26:00],Miners used a needle in a bottle of alcohol; Chinese mining,Miners used a needle in a bottle of alcohol. Chinese mining.
[1:30:00],"Arson, murder, and robbery in 1914 in Bovill","July 3 fire in Bovill (1914) was arson, murder and robbery. Mr. Sanderson met a boy with a great deal of money on the train to Colfax the following day, and was later suspicious."
[1:36:00],More about the killing of Big Red in Elk River,More about the killing of Big Red in Elk River.
[1:42:00],"""Bohunks"" in the woods and in Palouse; Eccentric Potlatch Joe",Bohunks in the woods. Eccentric Potlatch Joe. Killing of a Bohunk by others in Palouse. He kept time for the steel gangs - their work.
[1:50:00],"Europeans during World War; Potlatch Joe and other ""bohunks""","Summoning back of Europeans during the first world war - some returned and were killed. Bohunks who died and left their insurance to local people. More about Potlatch Joe and other Bohunks. They were good workers, and paid off the bosses."
[2:00:00],"""Bohunks"" were lower class; A dancer that was popular with the girls",Paying Bohunks by numbers. They were lower class. A good dancer who was popular with the girls.
[2:07:00],Stories about Cougar Jack,Cougar Jack beats up two drummers. Cougar Jack's car accident. His enormous strength.
[2:15:00],Stories about Big Gil,Big Gil was a strong man. He was sweet on Mrs. Crawford and insulted her when drunk.
[2:19:00],Drinking Moonshine; Framed in a rematch after winning big at poker,Drinking moonshine. Framed in a rematch after winning big at poker.
[2:26:00],"Stories about Phillips, the Moonshiner","Phillips, the moonshiner, shoots at a snoop Mr. Sanderson stole Phillips' booze, hid on the side of the road."
