time,title,description
[1:00],Parents came to homestead close to Moscow; went to Lewiston to go to a doctor,Parents came and homesteaded 9 miles from Moscow. Went to Lewiston to go to a doctor when her brother was dying of diphtheria. She almost died of scarlet fever.
[5:00],Started in second grade because she knew how to read; went to Lewiston Normal to get a life diploma to teach,"Started in second grade because she knew how to read, but she didn't know anything about numbers. Went to Lewiston Normal to get a life diploma to teach. Her husband died shortly after they were married and she was left with two children."
[9:00],Got a job teaching in Driscoll Ridge near Troy,"Got a job teaching on Driscoll Ridge near Troy. Recently she heard a story about Bob Dunn who other teachers always had trouble with, but she never did. Bobby said he couldn't be mean to Nellie because she was so good to him. Dunn's mother used to beat him severely."
[14:00],Taught at Troy after Lewiston Normal; had trouble with one boy,"Taught at Troy after Lewiston Normal. Had trouble with one boy and shook him by the shoulders. His grandmother sent a note telling her to repair his ripped coat, but the principal told her to ignore it. She had no more trouble from him."
[20:00],Two single Swedish women sit in her class to learn the English language,Two single Swedish women sit in her class to learn the English language. They give her a silver dish the last day.
[22:00],Big congregation in Illinois; Peter Carlson was very strict; organized Lutheran Church in Moscow,He had a big congregation in Illinois. Later Mother gave music lessons in exchange for house work. Peter Carlson very strict: sin to dance or curl hair. Organized the Lutheran Church in Moscow which first met in homes in Moscow. Grandfather preached all around like a missionary.
[30:00],Two men plotted to kill Peter Carlson on his way to a country church; she preferred the Presbyterian Church,"Two men plotted to kill Peter Carlson on his way to a country church because they didn't like religion. He went a different way that day. Another time he got stuck in mud and he prayed to God to help him. Grand father convinced a man who was swearing roundly to come to church and they ended up good friends. He always preached in Swedish and was an exceptionally good and honest man. She preferred the Presbyterian Church. The faith is the same, but they do things somewhat differently."
[43:00],Hard to leave her children to go to teach during the week near Troy,Hard to leave her children to go to teach during the week near Troy.
[45:00],Repeats a story she used to tell her son,Repeats a story she used to tell her son about a boy named Johnny and his prayer to God. A lady friend told her that story.
[49:00],Had to make lesson plans in town schools which was a nuisance,Had to make lesson plans in town schools which was a nuisance.
[50:00],Recalls another story her friend told her; mother tries to get her daughter to stop swearing,"Recalls another story her friend told her. A young girl learns to swear from the hired hand and her parents try to stop her. Mother says she must leave home if she swears again and she does. The Mother should never have said that—you must be careful what you say to children. A Mother tries to get her daughter to stop swearing, ""Oh, god!"", and her daughter nudges her mother next Sunday."
[56:00],Taught south and north of Moscow after teaching near Moscow; worked in Psychiana's mailing department after mother died,Taught south and north of Moscow after teaching near Moscow. Quit teaching after her Mother died. Worked in Psychiana's mailing department and then picked peas (probably ruined her eyes there). Got some Social Security for picking peas. Her salary was $100 per month when she quit teaching.
