time,title,description
[0:00],"Frank May, family",Working at the Frank May place. The May family and will.
[11:00],Farm in the grainary at American Ridge,"Howard takes the rap for stealing Sutton's harnesses, but people knew that Archie May had done it. At the American Ridge band practice Archie sights a fire nobody else can see - in the grainary on his farm - and every body goes to fight it."
[19:00],"Helen Johnson, homes","(Helen Johnson has come to visit,) The first two Johnson houses."
[22:00],Swedish Lutheran families from Ohio,"The Swedish Lutheran families who came out from Ashtabula, Ohio."
[24:00],Carlson boys,The Carlson boys break land on Burnt Ridge.
[27:00],Death of children due to tuberculosis,Deaths of children on Burnt Ridge. Tuberculosis brought onto the ridge (continued)
[30:00],tuberculosis in children; how consumption stopped spreading,"Children who had tuberculosis were treated, but eventually died. A young Kellberg boy dies of encephylitis. Cleanliness and isolation of the sick stopped consumption from spreading."
[38:00],Remedies for sickness,"Remedies for cough and other sickness, including rhubarb and honey."
[40:00],Mrs. Carlson's mother-in-law,"Mrs. Carlson's mother-in-law described, (Helen Johnson leaves)"
[42:00],"Burial of child dug up, thought to be buried alive","A dead Larson girl's grave is dug up in the Burnt Ridge cemetery, the father opens the coffin and finds her perfectly preserved. Some thought she'd been buried alive, but the condition was caused by burial next to a vein of water."
[51:00],"Dr. Ledbrook, Winnie Booth suicide pact","When Willa taught school on Big Bear Ridge, Mrs. Eliot warned her to be careful whom she went home with, Mrs. Eliot spoke of Winnie Booth's leaving her house with a Moscow doctor, just before they were found dead in a supposed suicide pact (continued)"
[1:00:00],Dr. Ledbrook chased women,(cont.) The doctor went after women. His wife went back east after he died.
[1:04:00],Troy brothel,"More about the woman who kept a house of ill repute in Troy, Her relatives."
[1:12:00],"Why Willa's mother came to Idaho, got married","How Willa's mother decided to come here, and got married."
[1:16:00],Mae Downing disappearance,"The disappearance of Mae Downing, The Downing girls, Mae eventually marries Walter Stevenson, who always avoids having his picture taken. Mae takes his locked trunk around visiting, and her sister Clara tries to persuade her to open it. One stormy night Mae receives a call from Walter, who tells her to meet him immediately at a little railroad station outside of Portland. George, Clara's husband, is highly suspicious (continued)"
[1:30:00],Mae Downing disappearance,"(Continued) George takes Mae and the trunk to the train, and searches for Walter. Mae disappears, and is never heard from again. They try to trace her, unsuccessfully."
