time,title,description
[0:00],Mother was Tubercular; The Family Hack; Family Fishing and Hunting,"Mother preferred convenience of home to woods life: she was tubercular. The girls enjoyed woods and wearing overalls. The family hack. Mother usually had a woman staying with her. Quiggly the dog got sick after father clipped her. Family fishing and hunting: mother an excellent shot, which made father proud."
[9:00],Outdoor Life in the Summer; Women's Swimming Suits; Fishing Streams,"Pleasures of outdoor life in summer. Collins store served homesteaders. Women's swimming suits, bating the Victorian Era - Victorian fashions. Fishing streams with father."
[19:00],Adair Family History,"Mother raised on a farm near Swan, Indiana. One of Mother's hips was enlarged from work. Mother's dresses. Father was an orphan raised by a minister. Dancing and card playing were taboo; dates had to leave at ten. Two girls were not allowed to play at the Methodist service because they'd been to a university dance the night before; dislike of violin music. Bernadine's desire as a child to get under the saloon doors. Father had one drink with his hunting friends on New Year's Day. Adair's made a batch of dandelion wine during prohibition; the sleuthing of Frank C. Moore, county attorney, (continued)"
[30:00],Decoration Day; Making Wine,"On Decoration Day they buried the wine under the bushes, then cached it in the cellar. Father made the wine because he was afraid they wouldn't be able to get any if they needed it."
[37:00],Methodist Revivals; Arguments with the Sunday School Teacher,"Bernadine resigned from the Methodist Church because of the damnation they preached at revivals, and Father let her, despite his dream that she wouldn't go to heaven. A boy who swore at his father for omitting the grace before meal. Emotionalism of revivals. Bernadine's arguments with the Sunday school teacher; she was independent. The parents convinced her by letting her make her own decision."
[43:00],Homesteading East of Clarkia; Living with the Abe Frei Family; Living in the Winter,"Homesteading community east of Clarkia. Father knew the locator. She taught two terms at Collins to pay costs on her claim, living with Abe Frei family. Locating of homestead cabins Strength of Griffin, the drayman. Living in the winter - a homesteader on snowshoes. A homesteader who took advantage of others; a trick on her. (continued)"
[1:00:00],Homesteading Life; Naming of Adair Creek; Easter dinner; Cooking for Fire Crews,"Scaring a homesteader with a cougar sound. Naming of Adair Creek. Distance between homesteads restricted community life. Chicken for Easter dinner. Myrtle's birthday party on the cabin roof, with pepper in the boys' fudge; the boys' will on cigarette paper. Carter helped them through the winter as a hired hand. How she started cooking for the fire crews. She returned to the homestead after the fire because the land wasn't burned; she was there three successive summers. How Bernadine was entertained on Ione's homestead. Beaus visited the girls on the Collins homestead."
[1:27:00],Loss of Homestead,"Loss of their homesteads after testifying at Wallace, because the government took the word of its investigator, who said people couldn't live on those places."
[1:30:00],Government Inspector; Price for Timber; Purchase of McConnell Mansion,"Her later meeting with Ashley T. Roach, who confessed he was wrong as a government inspector to speak against her homestead. The homesteaders lived up to the law. The homesteaders planned to sell to the lumber company. Price for timber. Father's purchase of McConnell Mansion."
[1:40:00],Encounter with Frank B. Robinson,Run-in with Frank Robinson in Bolles' drugstore.
[1:44:00],Riding Stride-Saddle; Quilt Pieces,To wear divided skirts for riding stride-saddle was most unusual. Getting across boggy meadows in spring. Quilt pieces from the conductor at Avery.
[1:49:00],Pike's Peak Car,Father broke his muffler touring with his Pike's Peak car. His love of the Pike's motor. How he was converted to a closed car. Bernadine's idea to have the horn inside the car.
[1:58:00],Deadly Nightshade,Hardiness of deadly nightshade which grew at the Mansion.
