time,title,description
[0:00],Working on the Park sleigh haul; winter logging,Working on the Park sleigh haul (1920): winter logging with cats and horses.
[12:00],Adam Ault and his wife; Camp 6,"Adam Ault and his wife were both deaf-and-dumb, but did very well. He worked at Camp 6. They skated at the pavilion; an argument between them. Nogle a good superintendent. T.P. Jones' oil failure in Montana."
[19:00],"""The Womanless Marraige"" play; Deary Grange Hall","""The Womanless Marriage"" - a play in which all the men acted the parts of women, to raise money to pay for the Deary Grange Hall."
[23:00],Pat Malone; farm on Central Ridge,Pat Malone. Pinning his badge on the seat of his pants. (Interest in a farm on Central Ridge.) Pat's presence at the pavilion.
[30:00],Carl's brother killed and father crippled from blast,"Carl's brother killed and father crippled in premature powder blast in Dayton, Wash. (1909)."
[32:00],Boundary between timber and farmland near Helmer; crops in Jansville,"Boundary between timber and farmland near Helmer. More about ""The Womanless Marriage."" Crop raising at Jansville."
[41:00],Floyd worked with father's cattle; cattle stories in Juliaetta,Floyd worked with father's cattle. A good cattle dog. Running cattle on open range. Using the natural meadow grass for feed. Sending cattle to Juliaetta for winter; taking a small herd from Juliaetta during summer in exchange.
[48:00],Cutting cordwood on Texas Ridge in winter,Cutting cordwood on Texas Ridge in winter.
[50:00],Homesteaders near McGary Butte;,Homesteaders near McGary Butte. Mrs. Lawrence's adventurous trip to the McGary homestead.
[56:00],Electricity machine patented and sold by Mr. McGary,"Electricity machine was patented and sold by Mr. McGary as a cure for rheumatism. His secret ""still current"" for nocturnal use. The power of the current in the electrodes; it caused fun at parties. The Hanson brothers - coffin makers and inventors."
[1:00:00],Playing with piglets in the house after trade for electricity machine,The Hansons invented a feed rack and big swings. Mr. McGary's rheumatism. Mr. Wilkins traded the girls' pigs for a McGary machine. Playing with piglets in the house. Mrs. Lawrence sold a machine to Lou Wells.
[1:07:00],Girls' work around the house and for others; childhood stories;,Girls' work around the house and for others. Mrs. Lancaster's brother used to squeal on her. Her brother had more freedom than the girls did. Fights among the siblings. The parents expected the kids to obey. Carl had to go to work before he was fourteen to support the family.
[1:21:00],Getting by at Helmer with very little money; typhoid fever takes Mr. Wilkins' foot,Getting by at Helmer with very little money. Mr. Wilkins lost his foot from typhoid fever.
[1:25:00],Neighborliness; Mrs. Wilkins a midwife; childbirth stories,"Neighborliness. Mrs. Wilkins was a midwife; the babies were born without doctors. Mrs. Phelps delivered her own baby, although the midwives were present."
[1:29:00],Changing economy; Helmer more connected to Deary than Bovill; clothing made from flour sacks,Changing economy. Helmer was more connected to Deary than Bovill. The old road from Helmer to Deary. Girls' underclothes made from flour sacks.
[1:30:00],Stores at Helmer,"Stores at Helmer, and credit. A family that lived off the community."
[1:42:00],Going to a dance despite father's disapproval; entertainment for young people,Going to a dance despite father's disapproval. Entertainment for young people.
[1:46:00],Honesty of old lumberjacks; drinking; speaking English at camp,Honesty of old lumberjacks. Coming back to work drunk. Sleigh Haul Brown wouldn't be laid off. Making the Finlander talk English in camp.
[1:52:00],Shivaree; dances,A shivaree. Going to dances. Bougheries for get-togethers; the one at Kennedy Ford became a dance hall.
[1:57:00],Revivals and church. A preacher and the drinker,Revivals and church. A preacher and the drinker.
[2:00:00],Dick Ferrell's preaching,Dick Ferrell's preaching.
[2:01:00],Malker Anderson was an extremely good foreman; his drinking and suicide,"Malker Anderson was an extremely good foreman. He didn't want the men to work for more than they could make, His drinking; talking with him the day he committed suicide."
