time,title,description
[0:00],Why she wrote her book and the research she did to search for ancestors,Reasons for writing Today is Ours. Researching for the book and trips to Europe rediscovering her ancestors' background.
[6:00],Why her father came to the U.S.; togetherness on the farm,Father partly came to the U.S. to get away from plagues. Origin of the Passion Play. Problems of today and togetherness on the farm.
[17:00],"Government built log cabin post office, Moscow's main street used to haul logs","Lieuallen's store and mail box on Mountain View Road. The government built a log cabin post office nearby. ""Paradise City."" Moscow's Main Street was a logging road used to haul logs from Moscow Mountain and H.R. Barton's sawmill."
[28:00],What Moscow was named after; early businesses on Main street,"Moscow named after Moscow, Pennsylvania. Early businesses on Main Street: Lieuallen's grocery store, Barton's Boarding House (which burned in 1S87)."
[30:00],Concern for the gamblers and women when Barton House burned,Concern for the gamblers and women when Barton House burned.
[32:00],Mining in Idaho,Mining in Idaho.
[37:00],Discussion of the men who wanted the University of Idaho in Moscow,"Major people interested in attracting the university to Moscow: Sweet, McConnell (Lumber hauled for his mansion from Walla Wall), Dr. Blake, Dr. McC?"
[46:00],Father excavated the railroad bed for Northern Pacific,Father excavated railroad bed for the Northern Pacific from Spokane to Juliaetta.
[47:00],Discussion of different businesses and hotels in Moscow; rural people didn't stay in hotels,"Shields owned first electric plant. Del Norte Hotel, Civic Center (now McCoy Apt. House) and Fry Hotel. Her family never ate out. Rural people never stayed in hotels. They served meals family style."
[53:00],"Weather related problems in Moscow; walking to town and school in good weather, driven in bad weather",Dust and mud. Rails put in sinkholes on Main Street. Boardwalks. Walking to town and school. Driven to school in bad weather.
[1:00:00],Southern Idaho gets the state pen,Southern Idaho gets the state pen - they forgot they don't have a good alumni.
[1:03:00],The Four homesteads that started Moscow; where they decided to put the University,"The four homesteads which made up Moscow. Wanted to put the University near the railroad because that's where students would arrive. Deakin sold 20 acres for $4,000."
[1:12:00],"Discussion of the Johnson family, where they lived and one time Mrs. Johnson giving birth after walking to town",Johnsons lived on Paradise Ridge and walked to town for groceries. After one trip to town Mrs. Johnson gives birth to a child the following day.
[1:14:00],Father only worked for the railroad contract in the summer,Father only worked for the railroad contract in the summer
[1:20:00],How they saved a cow during one bad winter,Mrs. Maguire recalls an early winter when they saved one cow by emptying the straw out of their mattresses.
