time,title,description
[0:00],Parents met in Boston Commons on July 4th; they and others from Nova Scotia,Parents met in Boston Commons on July 4. They'd known each other in school in Nova Scotia. Father's purchase of land from neighbors. Father came to area following the harvest from California. Several families in the vicinity were from Nova Scotia.
[9:00],Cowboy work in Montana; family had what they needed,Ed had everything he needed and thought highly of his stepfather. People want more than they need. Cowboy work in Montana - a cattle drive from Anaconda to Big Hole Basin; horse breeding; protection from mosquitoes.
[17:00],"Always work to do around the farm except on Sunday; church, revivals","Always some work around the farm to do, but father never took horses into field on Sunday. Emotionalism in church preaching on ridge. A preacher who ruined a good horse. Revivals. Feet washing. Shoot a man once he'd got religion."
[23:00],Ed's love of horses; first time he used the plow,Ed's love of horses from his arrival in the country. The first time he used the plow.
[25:00],Forced to raise beans by government during 1893 depression,"Forced to raise beans by government in 1893; problems with harvest, because he had no equipment for beans."
[30:00],1893 and 1926 wet harvest; winter farming in Kendrick and Juliaetta,1893 wet harvest. Wet harvest in 1926. They could start farming earlier in season with horses then with tractors. Winters were short but drag on now. Hauling to Juliaetta and Kendrick on snow crust. Running out of snow while sleighing to Kendrick. Meals at Southwick.
[39:00],Juliaetta boom; painful treatment for cancer; poker playing,Foster made Juliaetta boom. Painful treatment for cancer. People settled in Juliaetta as a result of Foster. Joe Alexander was a good man who took offense easily. Poker playing popular in Juliaetta.
[47:00],Native Americans on Potlatch River; Mox Mox; relationships with Native Americans,Indians on Potlatch River. Eating out of Mox Mox's kettle. Jack Sevens was mannerly; he bought a heatee instead of a surrey. Horse drawn hearse of Joe Groseclose. Indians either liked you or you'd better stay away from them.
[55:00],American Ridge school,American Ridge school. Graduating before eighth grade. Alarm clock went off in desk the first day Edward went to school.
[59:00],Ed's first beer at age 14,Ed's first beer in Juliaetta at age of fourteen (with Frank Brocke's father).
[1:00:00],"Dances at fraternal temples in Kendrick, Randall Flat, Helmer; CCC; moonshining",Nick Brocke always put up lunch and coffee for dances at fraternal temple in Kendrick. Dances were only entertainment before cars. People drove to dances at Randall Flat and Helmer. Pat Malone at Helmer. Large numbers of CCCs broke up Helmer pavilion. Lawmen tried to scare kids into telling where they got whiskey. A Kendrick moonshiner was never arrested because he had a dozen kids; his brandy and applejack.
[1:08:00],Preparing prairie ground to farm;,Every place was fenced because of stock. The point of ridge was always prairie; timber was to the north in the draws. Preparing prairie ground to farm; the first crop was often flax. 30-50 bushels of wheat and a ton of barley to the acre were usual yields. Less working of ground was needed.
