time,title,description
[1:00],Natural childbirth and having babies at home; her household chores; fears that she had,"Midwives; natural childbirth. Births of younger sisters and brothers, hiding in the orchard because mother hollered so badly; having her own children. Hauling water, washing clothes at the creek. Fear of the dark; visiting the outhouse in the dark; fear of the train in Troy."
[7:00],Visiting Troy; Bear Creek/Dry Creek school; visiting Carl Olson's family,Remembrances of visiting Troy after hiking 9 miles; walking on the top of snow. Bear Creek School (later Dry Creek) and parties; visiting Carl Olson's family; big piles of pancakes for breakfast at home and other foods.
[11:00],Mother's jobs; going to school and learning English; sewing clothes without patterns,"Mother's jobs; going to school, learning English; mother's intelligence shown in her sewing all of the clothes without patterns. Washing clothes by hand. More on having babies at home."
[18:00],"Preparing father for burial, the coffin on the front porch, funeral preparations, no flowers","Preparing father for burial, the coffin on the front porch, funeral preparations, no flowers."
[21:00],Going to Parties and dances in empty houses; getting married; working in Spokane,"Parties and dances in old empty houses; meeting her husband; family pictures; married at 29 - having too much fun to be married earlier; working in Spokane as housekeeper; coming home to help mother for birth of younger brothers and sisters, 13 total including a half-brother and two half-sisters."
[28:00],Walking in Spokane; mother's sewing talents,Never any fear to walk in Spokane; more on mother's sewing talent; mother a very quiet woman. Big Anderson.
[30:00],Young people need to work; playing and fishing as a child; Big Anderson and Wild Dave; walking to school,"Young people, need to go to work; as child, playing, fishing, picking huckleberries; Big Anderson smelled bad; Wild Dave; walking to school through the scary woods."
[34:00],Homemade medicine; going to town for groceries; neighbors getting sick,"No sickness; homemade medicine; going to town for groceries; more on mother. Different food; sickness and neighbors, measles not considered dangerous; big families."
[39:00],Going to work in Spokane; Going to school and being good at spelling; making $6 a week,"Going to work in Spokane; never worked hard because of being small; doing tub laundry and the soap. School; fun at recess; good at spelling not at map drawing, so copying from neighbor; need to know enough to get out to work. Making $6 a week."
[47:00],More stories about Big Anderson; traveling many miles to visit others,"Big Anderson; Food and eating with friends, families would travel many miles to visit overnight."
[55:00],Canning and picking fruit a family project,Canning fruit; picking the fruit a family project. Hiking to town.
[58:00],Buildings in Troy that she remembers; father would buy whiskey for medicine,The buildings she remembers in town of Troy. Dad would buy whiskey for medicine for colds. Roads were very bad.
