time,title,description
[0:00],Bedtime and Nez Perce stories,Bedtime stories; farmer with good harvest and mice; why cats and mice are bitter enemies. Nez Perce stories: creation; old lady of Lapwai Creek; sleeping warrior and young Chief Joseph; rattler and bullsnake. Lullaby.
[22:00],Playing children's games; parental discipline,"How children made their own fun, patterned after what their parents did. Disciplining by parents; their attitudes toward children."
[30:00],Childhood diseases and remedies,"Fatal childhood diseases and other sicknesses. Remedies. Polio. Children got sick much more easily, because of lack of diet and sanitation. She doesn't believe in folk remedies."
[38:00],Immunization programs and the 1918 influenza epidemic,As teacher she advocated immunization programs. Severity of World War I flu.
[41:00],Midwifery and superstitions,"Midwives delivered babies at home. Mothers stayed in bed for two weeks, getting their annual vacation. Superstitions about babies. Sicknesses were treated with remedies, not doctors: Asefetida. Father sprinkled children with carbolic acid water against smallpox."
[49:00],Children's chores,"Scaring the kids to keep them at home, away from the evil in town. Many chores for the kids. Serving skills for the girls. Her love of reading got her out of work."
[53:00],Parents' roles with children,"Severity of parent's discipline, viewing children as sinful When the boys fought the father would beat them. Mother was gentle with the children. Mrs. Clyde's desire to teach to make money and give mother some of the things she should have."
[58:00],Problems for pioneer children,Lack of opportunity for pioneer children to go to college. Children were very aware of their families' problems.
[1:01:00],Teaching children with family problems,As a teacher she saw children suffering from their parents' problems. Young people are much more vulnerable to being hurt than older people. Parents' emphasis on children doing chores rather than their schooling. Women's liberation in homes.
[1:06:00],Making learning enjoyable,"Immortality of teaching was inspiring girls to go on and teach. Making learning enjoyable: psychology of corn writing and ""catching fish"". Respect for the children she taught; being a mother to them. Drawing new words."
[1:14:00],Difficulties for girls in high school,Difficulty of high school in those days. Girls had no athletic activities and couldn't debate on same teams as boys. School didn't provide for social life. Good and bad girls. Pregnancy before marriage (shotgun weddings).
[1:29:00],Farm girls around Moscow,Dating and courting. Farmers sometimes wanted daughters to marry neighbors. Farm girls worked in wealthy Moscow homes.
[1:34:00],Difficulties of love and keeping up appearances,"Young people didn't understand love as well as they do now; they believed it would all be ""peaches and cream."" Dishonesty of keeping up appearances. Subservience of girls; she thought she was smarter than the boys."
[1:36:00],Importance of marriage,"Great importance of catching a man; some women went to pot afterwards. Mothers were girls' press agents. Opportunities for sexes to get acquainted. Girls were supposed to be demure. Suffering in marriage, including in Carol Ryrie Brink's books."
[1:42:00],Desire to use talents and the freedom of choice,People are honor-bound to use their talent. Her desire to become a lawyer. Women's freedom of choice.
