time,title,description
[0:00],Father's memory of the early Palouse,Father's memory of the early Palouse. Isolation from town except during harvest.
[4:00],Getting wood for winter; trips to the sawmill,Getting wood for winter - trips to the O.K. Olson sawmill near Troy. Sources of waste wood on Genesee farms.
[10:00],Muddy roads were very difficult for travel,Muddy roads were very difficult for travel.
[13:00],Winter provisioning on the farm; Working for survival later,Winter provisioning on the farm. Working for survival later
[20:00],Maintenance of gear in winter; Christmas trip,"Maintenance of gear in winter. Christmas trip to town. Kerosene. ""Choring around."" Store cheese."
[27:00],"Butchering beef; Salted meat, (continued)","Butchering beef. Salted meat, (continued)"
[30:00],Butchering bees described; judging temperature of water; getting hogs in the vat,Butchering bees described. Families got together. The fire. Judging temperature of water. Getting the hogs in the vat with ropes. Scalding in a barrel or tub. Rolling the hogs in the vat. Using ashes in the water.
[46:00],Killing hog by slitting its throat considered cruel; shooting hog in brain; bleeding it,Killing the hog by slitting its throat was viewed as cruel. Shooting the hog in the brain; bleeding it. Badly killed hogs cast a pall over the festivities.
[53:00],Getting the hog out of the vat; scraping and hanging; festivities after hutching,"Getting the hog out of the vat. Scraping and hanging. Little appetite for pork that day. Choring in the winter was ""doing nothing"". Meals of the day. The festivities after hutching."
[1:00:00],The best time to butcher was with snow on the ground; mirth of butchering,"The best time to butcher was with snow on the ground. The mirth of butchering, despite nature of the work."
[1:04:00],Harvest tramps - intelligence of many; Music in the harvest,Harvest tramps - intelligence of many. Music in the harvest
[1:11:00],The hired man was virtually part of family; wages and benefits; work,The hired man was virtually part of the family. Wages and benefits. Equality of work. Ideal descriptions and divergence from them. Disagreements between hired man and farmer.
[1:18:00],Hired hands were trying to become farmers themselves,Hired hands often were trying to become farmers themselves; the process of accumulating to begin farming.
[1:25:00],His father started without land; caring for family; worked and had wages taken by his father,"His father started without land and had the responsibility for caring for his family. His father worked out and had his wages taken by his father, to his chagrin."
[1:30:00],Enjoyment of helping father in field after school,Enjoyment of helping father in the field after school. Learning to shock; feeling ashamed because of a comment by a hired man.
[1:37:00],Chore boys; father took on two young boys who ran away,Chore boys. His father took on two young boys who'd run away to the country to seek their fortune.
[1:42:00],Migrant farm workers often returned to the same farm; distance between workers and farmers,Migrant farm workers often returned to the same farm. The distance between workers and farmers. The hired man was personally closer to the farmer than the migrant was. Harvest tramp kin - a son-in-law who worked to make up for his father-in-law.
[1:49:00],Types of migrant workers; farmers and their hands worked closely together; importance of improved work relations,"Types of migrant workers. Buck Lewis, an ex-miner, who became a migrant and then a hired man. His sense of humor. Farmers and their hands worked together closely. Importance of improved work relations; collective ownership one possible solution."
