time,title,description
[1:00],His parents come from Norway to farm; Coming from Minnesota to Idaho,His parents came to the U.S. from Norway to get 160 acres of land. They took a sailing ship across the sea. Pioneering in Minnesota; deciding to come to Idaho.
[6:00],Coming from Moscow to Park; how Park looked in 1891,The trip from Moscow to Park; crossing the Potlatch canyon. How Park looked in 1891.
[11:00],How the land wasn't surveyed before they arrived; building their homestead,"Land wasn't surveyed when they arrived. After a rough survey line was extended from Texas Ridge, families could lay out their places better. The Swensons found they had been building their cabin on their neighbor's land. Building the cabin. Splitting rails in return for hewing cabin logs."
[18:00],His father working on Genesee Valley harvest; cutting native grass for hay; feeding moss to cattle; creating brush fires,"Father worked out on Genesee Valley harvest, stacking grain. Cutting native grass in Park for hay. Feeding moss from trees to the cattle when there was no hay. Lightning fires kept brush burnt off."
[23:00],Asking a Native American group to move their camp; selling deer hides to the Native Americans,"An Indian trail passed through their place. As a boy, Ed asked a group to move their camp from a spot that had been cleared, and then his mother invited them in for coffee. Selling deer hides to the Indians."
[27:00],Who was in Park before the Swensons' came; learning English at the new school; the teacher's salary in Park,"There were six families in the Park area when the Swensons' came. The school was built the following year, and Ed learned English. Besides the Norwegian families, there was one French Canadian. Of a teacher's $60 monthly salary, $45 went for board and room."
[30:00],"Discussion of the ""Land Grabber"" and him putting 200 acres at the center of the valley under fence before the survey","The ""Land Grabber"" thought he was better than the other people. His gun is taken away when he threatens to use it in an argument over the location of the school. He put 200 acres in the center of the valley under fence before they survey."
[37:00],Description of the Park valley,"The Park valley was nearly level,with several streams, scattered yellow pine, and young fir thickets, surrounded by mountains."
[39:00],Importance of game for the food supply,"Importance of deer, partridge, grouse and salmon for food supply. Bear wasn't eaten much."
[42:00],How the people of Park built a road to Troy and why it was important,"The people decided to build a road to Troy. They made a deal with the merchants of Troy, who gave them provisions and dynamite while they were working. Building the road, switchbacks up the breaks of Potlatch canyon. Before then, much provisioning was done at Anderson."
[51:00],Who were the first two settlers of Park,"The first two settlers at Park were Jurgesen and Goldstrom, who were prospecting when they discovered the pretty valley and decided to stay."
[53:00],Why a road was built over the top of a mountain; Ed persuaded Bill Deary to change his mind to build a road through Potlatch Company timber,A road was built over the top of a mountain because of an election and a disagreement among settlers. Ed persuaded Bill Deary to change his mind after he turned down a proposal from Park to build a road through Potlatch Company timber.
