time,title,description
[0:00],Bovard Lumber Company on Burnt Ridge 1911,"Bovard: uses of the site in the canyon. Bovard Lumber Company started in 1911, went for several years. Poor access from Burnt Ridge; cramped space in the canyon. Nearby sources of timber for the mill. Company bought timber, no land. Carlson land purchase. Orchard on canyon bench."
[17:00],"Lack of jobs in the canyon, living in an isolated location","People who lived in canyon couldn't make a living there. Their faith in increasing value of land. Problem of getting a through road from Burnt Ridge to Kendrick. Side tracking at Clyde's Spur, several miles south of Bovard in the canyon, had grain storage facilities. Telegraph operator stationed at Bovard to relay reports."
[29:00],Canyons dividing the ridge into small communities,"Canyons cut ridges into communities. Trails across the canyons,"
[30:00],Neighboring ridges acquainted; homesteaders sell timber to Hall Mill,"Getting acquainted with people on neighboring ridges. Ruggedness of trails in the canyons. Moody homesteaded in the canyon to sell the timber to Hall's mill, and worked for Hall."
[36:00],Tuberculosis in Burnt Ridge,Tuberculosis among Burnt Ridgers. Death of Kellberg daughters and Pearson sons. Tragedy of Sturdevant family.
[50:00],Hydraulics and springs in the Ridge; issues of water witching,"A horse fell into their cistern. Commonness of water witching. Good spring on the Carlson place, water brought by a hydraulic ram. Ice caves on American Ridge side of Clyde's Spur."
[58:00],Unusual school teacher practices in Troy,"Carleton French was an excellent teacher for the children, departing from some usual practices. How he walked to school from Troy reading a book. His subsequent career at Northwest Nazarene College, (continued)"
[1:00:00],Few male teachers in schools after WWI,Carleton French. Men teachers faded out of schools by World War I.
[1:05:00],"Family life; mother's priority was children, girls was to stay at home;conflict of education and home",Standards of obediance expected of youngsters. Mother put children first. More about small sawmills. Length of time boys would lay out of school to help at home; state laws passed c. 1912 Need for girls to lay out of school as well. Hilma Kellberg. Conflict between desire for education and demands of living. Common belief in high intellectual requirements for education.
[1:18:00],Teacher fails to teach government and tells student to prepare for test by reading Constitution,"Brother! careers. Many early teachers didn't tell pupils about eighth grade exams. A teacher who hadn't taught the students government told them to read the Constitution to prepare. Sisters"" careers."
[1:20:00],Highschool graduates attend college and look for career,Those who graduated from high school tended to go to college. People went to college for a career. Why he didn't become a farmer. Older brothers' influence to get an education.
[1:27:00],Many left area for careers; Pearson's farm not inherited to sons,Many left the area when they grew up. Pearson's excellent farm on the ridge not taken over by one of the sons. Dissatisfactions with teaching as a career.
[1:35:00],Lack of desire to stay in Burnt Ridge; increasing trend of college attendance,His lack of desire to stay in his hometown - difficulty people had being accepted where they've grown up. Trying aspects of farming. Most young Burnt Ridgers left the area; careers of more Burnt Ridges. Increasing trend to attend college as time went on. High out-migration rate. Large families in those days. Cars made life a bit easier.
[2:00:00],Desire for people to better themselves,Desire of people to better themselves. Settlement of area based on relatives or previous friendships.
[2:06:00],Politics in education; students were laborers at local orchards,"Socialist theory of pwfclic ownership was father's belief; farmer opposition. Bad position of laboring class. David Graham Phillips' Susan Lennox. Some improvement under President Wilson. Boys at the university from the Coeur d'Alenes were strong for labor. Slight but steady increase in wages through time, making people a bit better off. Local orchards."
[2:18:00],Difference in doctrines,Difference between doctrine of Nora Mission Friends Church and Troy Lutheran Church.
[2:24:00],Working with horses and harvests on Burnt Ridge farms,"Working with horses on Carlson farm. Father's preference for walking plow over gang plow. Father learned about farming from consulting other farmers and by experiment. Summer fallowing a prevalent practice on Burnt Ridge. Fallow replaced by beans, then peas."
[2:30:00],Women could get their way; adaptation of American way,Women could get their way despite strictness of old country ideas; adaptation to American ways.
[2:33:00],Worked for Bureau of Vital Statistics,His work with Bureau of Vital Statistics - campaign for better registration of births and deaths.
[2:38:00],"Migration of Idaho to west coast, especially during depression",Migration from Idaho has generally been westward to the coast. Belief of many that they could make a lot of money. Success of a Troy grocer in San Francisco. People left for better opportunities; family ties influenced people to stay. Moving around during the depression didn't help.
[2:44:00],Tramps living on the Ridge were hired as extra labor; enthusiasm for better life,Visits from tramps on the ridge. The family hired help during the rush periods of farming. Some tramps lacked skills - one failed to understand life insurance. Many people were imbued with rags-to-riches; enthusiasm about the future. Contentment on ridge with farm life.
