time,title,description
[1:00],Discussion of Wild Davey; Mr. Creighton's background; Mr. David being very civic minded,"Wild Davey scared kids by his appearance. Mr. Creighton befriended him, and he got free food from the hotel. Mr. Creighton's background; he had special friends, and not very many. Mr. David was highly civic minded, and could have been governor."
[8:00],Why he accepted the offer to work at David's over Creighton's,"He accepts better offer to work at David’s, even when Mr. Creighton offers to improve his wage."
[11:00],Discussion of killing of Watkins and Steffen,Discussion of killing of Watkins and Steffen.
[17:00],Mother had a boarding house for college students; buying fuel from Moscow Mountain,"Mother's boarding house for college students. He and brother slept in a pull-down bed in the dining room. Toilet and water; students heated in a tub in the kitchen. Their boarders made good after college. Buying fuel from Moscow Mountain ""woodrats""."
[27:00],All the Sampson children learned music; encouragement of prohibition,Sampson children learned music: he played in a mandolin group; some people objected to a performance at the Methodist church. Encouragement of prohibition
[30:00],The WCTU being behind Prohibition; checkpoints coming back from Washington; defeat of Prohibition,"WCTU was behind Prohibition here. At first checkpoints were set up for people coming back from Washington, which still was wet; then it was bootlegged in. Defeat of Prohibition."
[33:00],His interest in selling; taking courses on psychology of selling,"His interest in selling and help from Mr. David. He gave him a book on the psychology of selling (e.g. Weak handshakes, coarse hair). A course from the university, and one from Dale Carnegie. How Mr. David dealt with customers in his store: directing them to salesmen, giving gifts."
[40:00],How he became the head of the men's department; changes he made for the store; salary through the years,"How he became head of men's department; his success and long hours of devotion. Innovations reducing hat clutter, installing a dressing room, a balcony for stock, racks for suits. On trips he inspected other men's clothing stores, and developed ideas for window displays. Salary through the years."
[53:00],Mr. David's political activity; Mr. David help in getting the university to Moscow; threat of the new state of Lincoln,Mr. David's political activity; his concern for the university; he could have been governor. Getting the university in Moscow; the threat of a new state of Lincoln.
[1:00:00],"Pushing to the Front: a book given to him by his mother, about how to succeed in your chosen field.","Pushing to the Front: a book given to him by his mother, about how to succeed in your chosen field."
[1:03:00],Going to the Circus in Moscow; Chautauqua in Moscow,Circuses in Moscow: a pass for carrying water to the elephants. Chautauqua in Moscow. Roller skating and playing for dances at Egan's Hall.
[1:10:00],He guarded the IWWs in the bullpen as a national guardsman.,He guarded the IWWs in the bullpen as a national guardsman.
[1:11:00],Building of Moscow's first golf course and the criticism surrounding it; resistance of local businessmen to playing golf,"Building Moscow's first golf course at Ghormley Park. Organizing Moscow's first country club. Criticism during World War I for taking wheat land for a golf course. Purchase of present Moscow golf course; sale to Elks because of high costs. Resistance of local businessmen to playing golf: Mr. David golfed on the sly. He sold golf clubs at David’s, starting its athletic department. Turning in golf balls for money."
[1:22:00],Effort of Kiwanis and Rotary to discourage formation of Lions club; David's originally opposed him joining Kiwanis,"Effort of Kiwanis and Rotary clubs to discourage formation of Lions in Moscow, thinking there wouldn't be enough members to support three active service clubs. David’s originally opposed him joining Kiwanis, but he did six months later; a membership drive."
[1:30:00],Camp Konjocketty which was used by scouts; discussion of different scouting stories,Camp Konjocketty (Dean Eldridge's summer home) used by scouts. More about the scouts' 14 mile hike. A beeline hike that crossed a creek. Trails. A boy lost patrolling a fire.
[1:39:00],The abundance of trails in the 1920s; proposal to develop road and park at the top of the mountain,"Abundance of trails in twenties, and popularity of picnicking. Road up Cumarine Gulch to Princeton; proposal to develop road and park at top of mountain."
[1:43:00],Discussion of stories from scouting of boys that did not reform,Trying to reform a boy through scouting. He later goes to reform school and breaks the law. Another scout who was involved in bad activities; confusing his name with another man's leads to a bad recommendation.
[1:52:00],Backers of early scouting in Moscow; reorganization of scouting in Moscow in 1926,Backers of early scouting in Moscow. Scouts replaced the old wooden street signs about 1927. A scouting executive ruined scouting in 1925; Mr. Sampson reorganized it a year later.
[1:57:00],Scouts conduct a traffic survey on three corners downtown to show the amount of traffic there was in the twenties.,Scouts conduct a traffic survey on three corners downtown to show the amount of traffic there was in the twenties.
