time,title,description
[1:00],Glenn accuses Payne Sly of killing Marshall Hays,"Marshall Hays had a bad reputation. Glenn's eye witness account of Payne Sly killing Hays, and related events of the day."
[9:00],Hays shooting gun to enforce speed ordinance,"Hays liked to shoot off his gun in town. Trying to enforce a speed ordinance, he is nearly run over."
[12:00],"Hays tries to enter Doe Wells house without search warrant, family is armed","Hays tries to enter Doe Wells house without a search warrant, and Doe arms his family with guns. Doe rescues Benson when he's arrested by Hays."
[15:00],"Doe Wells attempts to arrest Hays for being drunk, and is nearly drowned by Dick Sanderline",Doe Wells was born a slave. Hays drinks with men and then arrests them for being drunk. Dick Sanderline nearly drowns Hays in a well for trying to arrest him for drinking. Hays was a coward.
[18:00],"Lou Wells, Doe's wife, uses sheep wool to knit socks; hose is located halfway between Troy and Collins","Lou Wells (Doe's wife) carded wool from the sheep they kept, knit and sold socks. She pounds a tune on the bottom of her dishpan while Martin Froman dances. The Wells cabin was the halfway-house between Troy and Collins."
[23:00],Glenn describes route from Troy to Collins for mail route,"Glenn describes the route he drove his mail and supply wagon, from Troy to Collins, in 1906. Leaving mail in leather bags hung by the road. The old road—its condition, and difference in location from present highway."
[29:00],Description of the beauty of Bovill,"The beauty of the early site of Bovill, before the town."
[30:00],Glenn stays overnight at the Collins,"Staying overnight at Collins on the mail route. Collins was the end of the road, and the point of departure for claims in the back country. The Adair girls and their friends."
[36:00],Homesteaders cut and burned timber; little was cleared on mail route,Little land had been cleared along the mail route. The old road through Deary. Homesteaders cut and burned their timber and planted timothy.
[38:00],Early Nora and Dahlberg sawmills; crime in Troy,Early Nora and Dahlberg sawmills. Dahlberg girl stops a man from being shot. About one man a year was killed in Troy.
[41:00],"Doe Wells considered ""white""; defended by Swedes","Doe Wells was ""white"" inside. When Swedes and Norweigans got in a fight, they'd say Doe was the only white man in Deary."
[42:00],"Knutson hires Henning to burn down his saloon, in Reitman's building.","Knutson hires Henning to burn down his saloon, in Reitman's building."
[45:00],Orchards and fruit growing around Troy,Fruit growing around Troy. Prune dryers in the area. Reasons for decline of fruit industry. Packing cherries.
[50:00],The Corrins came out from South Dakota with the Arnotts and Duthies.,The Corrins came out from South Dakota with the Arnotts and Duthies.
