time,title,description
[1:00],Father wants to move westward; opportunity to raise cattle; job on railroad bridge in Wyoming,"Father's hankering for the West. He gets chance to go by caring for cattle, then gets job on railroad bridge gang in Wyoming."
[5:00],Mother almost killed in buggy accident; family doesn't mind moving to Laramie,Mother almost killed in buggy accident. Mother and daughter didn't mind going to Laramie.
[11:00],"Nell's educational background; moved ahead in school in Laramie, interested in music",School background - learning on teacher's lap. Getting put ahead in Laramie school. Facility for music.
[17:00],Christmas visit with Robinson family; problems with wind taking Mrs. Robinson's clothing; Nell's sister Edna had harder luck,"Christmas visit with the Robinsons, the foreman's family. Mrs. Robinson was lonely for company. The wind whipped their new clothes once they got off the train and they lost most of them. Sister Edna got sick and had hard luck compared to Nell."
[29:00],Smallpox epidemic in Laramie,Smallpox epidemic in Laramie - vaccinations for railroad crew.
[30:00],Living in Rexburg,"Living at Rexburg. Judge Ricks brings his new wife to his old wife's home, to Nell's mother's chagrin."
[35:00],"Stories about their family trip to Parma; custom wagon built, shooting animals for food, Nell gets lost, stuck in the mud, problem of water when crossing desert, horses ran away in desert, camping along the way","The trip to Parma. Mother thought they looked like travelling gypsies. Father custom builds wagon for trip. Shooting rabbits and birds for food along the way. The sisters walked for much of the trip, Nell gathering rocks, Edna staying very healthy. Nell becomes lost gathering evergreen boughs down the hill, and prays to find the right road. Getting unstuck in the mud at Devil's Dive. Problem of taking on water to cross the unexpected desert. Father tracks down their horses, who ran away in the desert. Camping at someone's place."
[1:00:00],"Mule very ill, stick it with a knife and he recovers; daily routines","The old mule is puffed up and almost dead; they stick him with a knife, stand him up, and he recovers. Daily routine."
[1:06:00],Living in Parma; fear of Native Americans; bedbugs in Pendleton,Living in Parma. Rhyming names of Cunninghams. Her fear of Indians. Edna covered with bedbugs on the depot bench at Pendleton.
[1:13:00],Family moves to Troy due to relatives there; homestead near McGary Butte; house raising; German neighbors,"Moving to Troy area because mother's relatives, the Homer Dinsmores, were there. Father figured on going into sawmill business. After three years they took a homestead near McGary Butte (t900). A house raising. Edna is confused when asked by a neighbor if she'd like cottage cheese in German."
[1:30:00],Sister Edna chops finger; building road to neighbors a mile away; Nell's foot stepped on by horse; building their family house,Edna chopped her finger by mistake. Cutting a mile road to the neighbor's house. Nell's foot stepped on by horse while working on road with father. Building the house.
[1:40:00],"Nell meets Ernie on homestead; ""turning loose"" on homestead; supplies brought in weekly; making bread; learns to shoot pheasants with a .22; living in ""man's style""","Nell met Ernie on homestead while he worked at mine on Neva Mountain. He came to visit on weekends. She enjoyed ""turning loose"" on the homestead. Their outhouse was air conditioned. Supplies were brought in by a homesteader for everybody once a week. Making bread out of short wheat (seed grain). She learns to shoot pheasants by practicing with a twenty-two. Living in ""man's style."""
[1:53:00],Roosters and their fights; helping father build house; went to Bovill for school; moved in 1907,"The ornary family roosters and their fights. Helping father make shakes for the house. Glad to go to Bovill for school - moved in in October, 1907."
