time,title,description
[1:00],Midwestern loggers were attracted west by wages; Immigrants were signed up right off the boat,"With logging petering out in the Midwest, people were induced to come West by higher wages . Contractors tried to get immigrants to sign up as they got off the boat in New York."
[12:00],Different nationalities living separately in small Logging towns; Tensions between immigrants,"In small logging towns like his (Dunbar, Wise), the different nationalities lived in separate communities. Many women never learned to speak English. Irish were cocky, and Finns carried knives. Drunken brawls. A Frenchman incites a brawl with a dead bullsnake. Emblem of caulked boots -they were used to spike opponents on the ground in fights. Preponderance of Scandinavian lumberjacks."
[24:00],Drinking was accepted as a part of life,"The ""beer garden"" in the woods; kids got money for empty bottles. The women accepted men's drinking as part of life. Children matured much more quickly then."
[30:00],Coming to Potlatch from Wisconsin; Easy to get work;,"Coming to Potlatch, the town seemed like heaven compared to Wisconsin.Provision of fences, trees, sidewalks. Easy to get work, and easy to get fired. Boarding for single sawmillers."
[38:00],Houses in Potlatch; Potlatch sanitation compared with Moscow; Company maintenance of the town,"Potlatch houses, water and drains. Flies and fly paper. Comparison with early water and sanitation at Moscow. Modern outhouses at Potlatch. Lack of insulation. Reasonable rent. Company maintenance of houses and streets. Undeserved bad name of their ""company town"". Credit for Potlatch workers - script books."
[1:00:00],Using script at Potlatch; Rent was subtracted from paychecks,Using script at Potlatch. Rent was subtracted from paychecks.
[1:03:00],The Potlatch Store; Buying clothes and shoes; Trying to save money,"Potlatch store. Its large wholesale business (preference of working people for Williamson's store in Moscow over other department and clothing stores.) Potlatch prices were fair, selection broad. Sample trunks brought by salesmen. People's desire to buy new clothes and shoes. Little money could be saved from salaries."
[1:20:00],Big sales at the Potlatch store,Big sales at the Potlatch store. Manager MacDonald's blarney. The tremendous crowds. People's enjoyment of new belongings.
[1:28:00],Women dressing up for social get-togethers,"Social get-togethers. Women dressing up, with combs and bows in their hair."
[1:30:00],Get-togethers in country and town,Get-togethers in country and town.
[1:34:00],Unreasonable complaints about Potlatch; Potlatch brought wealth to Lewiston,"Complaints about Potlatch were unreasonable, because people benefited a great deal from the company. Importance of Potlatch to wealth of the surrounding country - example of benefit to Lewiston."
[1:40:00],Buying stump ranches from Potlatch was possible for many,Buying stump ranches from Potlatch was possible for many - building them up.
[1:47:00],Hindsight verses foresight; Nez Perce demanded reimbursement from the government,Hindsight is much better than foresight. Nez Perce demands for reimbursements from the government.
[1:51:00],Food in the lumber camps; Early conditions in camps,"Attraction of food in lumber camps. The stream of water on the meat house. Early conditions in camps - lice. Variety of men's appetites, lunches."
