time,title,description
[0:00],Introduction,Introduction.
[1:00],Story about Annie Mariah Healey; relationship with Native Americans; Joseph War; foodstuffs; early Genesee,"""Turkey In The Straw"" played on the harmonium. Recitation of printed story about Annie Mariah Healey, born October 1071 in Thorn Creek, first white girl born in county. Relationship with Indians. Thorn Creek P.O. Joseph War. Foodstuffs. Early Genesee."
[9:00],Story about Dan Healey; fencing rails; railroad in Genesee,Recitation of story about Dan Healey. Going to mountains for fence rails. 1886 railroad arrives in Genesee and Genesee moves.
[14:00],Story about Tom Tierney; how Thorn Creek gets its name; fixing up the homestead,"Story about Tom Tierney. Thorn Creek gets its name. Tierney builds 'hide-out' from Indians. 1882, daughter Annie goes to DeSmet Mission. Fixing up the home stead."
[18:00],Camas; breaking sod with walking plow; horse-trading; Pony Express rider; Tierneys move to Moscow,Thorn Creek ran year-around. Camas. Breaking sod with walking plow. To town once a year for winter supplies. Horse-trading with Indians. Pony Express rider in Colorado. Tierneys move to Moscow in 1901.
[27:00],Grass hay for beds; Grand Central Hotel; Genesee businesses; stagecoach,"Dan Healey, an Irishman. Grass hay for beds. S5.50 per week at Grand Central Hotel. Early Genesee businesses. Stagecoach."
[29:00],Tierneys leave Denmark,Tierneys leave Denmark.
[30:00],John Tierney,Newspaper account of John Tierney.
[34:00],Tierney's youngest son dies,Tierney's youngest son dies on Bataan march.
[37:00],Helped organize St. Boniface parish; Cataldo and DeSmit helped build the community,Fr. Cataldo used to stop over at Tierney's. Helped organize St. Boniface parish. Mrs. Jones' mother went to DeSmet mission at urging of Fr. Cataldo. Henry Spaulding brother-in-law to Felix Warren. Cataldo and DeSmet contributed to building-up of community.
[40:00],Native Americans during the war; healing burns with coyote tallow,Keeping door locked because of Indians. Indian atrocities during war. Indians fishing on the Snake. Healing burns with coyote tallow.
[43:00],Mother married early; father had leg amputated; selling hogs; 1893 depression; curing hams,Mother married before she was 15. Father breaks leg and has to have it amputated. Hogs go down to 1 and a half cents a pound. Hard work and hogs keep him from going under during 1893 depression. Curing hams. Baumberg's fine bologna.
[47:00],Harvesting wheat; first thrashing machines,"Harvesting wheat with scythe and cradle. First thrashing machines known as ""coffee mills."""
[49:00],Wild Davey worked for Tierneys; sandpoint banker,"""Wild Davey"" used to work for Tierney's. Wild Davey and the Sandpoint banker."
[51:00],Pet pigs; raising geese,Pet pigs. Raising geese.
[53:00],Early Genesee; small farms; prophecy about airplanes,"Early Genesee, small farms. Uncle's prophecy about airplanes, degeneration of farm soil."
[58:00],Latah County pioneers,Newspaper story about Latah County pioneers
[1:00:00],Introduction,Introduction.
[1:01:00],Cooking for thrashing crew,Cooking for thrashing crew.
[1:03:00],Men on thrashing crews; selling chickens and eggs; trading,Characters of the men on the thrashing crews. Selling dressed chickens and eggs; trading for merchandise.
[1:06:00],Relationship with Native Americans; huckleberry picking; Genesee churches; childhood,Relationship with Indians. Huckleberry picking. Churches in Genesee. Childhood in Genesee.
[1:11:00],Tierney's settling in Genesee; early socializing,Tierney's settled near Genesee because country was so open. Early socializing.
[1:17:00],Hauling timber from mountains,Hauling timber from the mountains for settler's cabins.
[1:19:00],1893 wet harvest,1893 Wet harvest. Turning hogs into the wheat stacks to recoup the loss.
[1:20:00],Fights between men,Fights. Men carried blackjacks.
[1:25:00],Growing watermelons; Tierney's Pony Express career,"Growing watermelons for sale. Felix warren, stagecoach driver. Tierney's Pony Express career lasted six months."
[1:30:00],Gamble family,Gamble Family.
[1:31:00],Changes in the country,Changes in the country.
[1:32:00],Preserving foods,Preserving food. Root cellars. Canning berries. Foods.
[1:38:00],Hired labor; pet horse,Building built by hired labor. Hired men and hired women. Pet horse.
[1:42:00],"""Annie Laurie"" on the melodian","""Annie Laurie"" on the melodian."
