time,title,description
[0:00],What the WCTU did; mother's family prayer; alliance with temperance youth groups,The WCTU crusade against booze. Women went to saloons in groups after prayer to attempt to persuade them to give up liquor. Mother's family prayer. Alliance with temperance youth groups.
[7:00],Working on legislation against liquor; President offering to grant the WCTC anything they wanted,"Working on legislation against liquor. The Polyglot petition presented to the President of the United States; he offered to grant the WCTU ""anything you want."""
[13:00],Anecdotes about Frances Willard,"Frances Villard's (founder of the WCTU) determination to accomplish her own ends as a youngster, in anecdotes. Her individuality and youthful flings."
[21:00],How her sisters cured their brother of drinking; effects of drinking: finances and divorce,Strength of family ties. Sisters who cured their brother of drinking by tying him up and giving him booze. The effects of drinking on family finances. Divorce was extremely rare - example of a woman who married a drunkard.
[30:00],Giving up drink through willpower. Importance of a person's word. Taking the pledge.,Giving up drink through willpower. Importance of a person's word. Taking the pledge.
[36:00],"Replacing T. Roosevelt's ""big stick"" with self-reliance and backbone","Self-reliance and backbone replaced by FDR's dole. Teddy Roosevelt's ""big stick"" wasn't ever used."
[44:00],Religion above all other things; religion the foundation for WCTU,Christianity was regarded as apart from and above other things. The power of the Almighty was the foundation for action for the WCTU. Entering saloons then and now.
[51:00],A woman fighting for the right to vote who got lost and slept out overnight.,A woman fighting for the right to vote who got lost and slept out overnight.
[53:00],Why Prohibition failed; a lady who fought liquor in Troy,Prohibition failed because the liquor interests fought it and the prohibitionists sat back. The government lost more money than it saved by having liquor. A lady who fought liquor in Troy.
[58:00],"A Joseph-and-Mary couple in Redfield, South Dakota.","A Joseph-and-Mary couple in Redfield, South Dakota."
[1:00:00],Desperately poor families returned East.,Desperately poor families returned East.
[1:03:00],Foreign boys who couldn't help a man out in the mud.,Foreign boys who couldn't help a man out in the mud.
[1:06:00],Troy men tipped their hats to a lady.,Troy men tipped their hats to a lady.
[1:08:00],Hiding in the well to avoid company; disadvantage to being family pet; older sibling relationships,"Hiding in the top of the well as a small child, trying to avoid company. Disadvantage of being the family pet - older sister's domineering."
[1:14:00],Grandmother's views on children; uncle's death in prison camp; children's behavior was to keep quiet,"Grandmother viewed children as punishment for sins. Uncle's death in prison camp. Children were different then, and able to keep quiet."
[1:20:00],Restlessness has been implanted in the people by subversives.,Restlessness has been implanted in the people by subversives.
[1:22:00],World War I supply depots causing women to sew by hand; subversives were communists,"Effort in World War I supply depots to force women to sew by hand instead of on machine, to take more time. A similar case in Montana, unstitching a sweater. The subversives are communists."
[1:28:00],Salvation army was selfless during World War I,"Salvation Army was selfless during first World War in the trenches, while other groups and people were out to make money."
[1:30:00],Attending a Salvation Army meeting and the benefits from the Salvation Army; a man is forced out for marrying outside of it,Attending a Salvation Army meeting. Altruism of the Salvation Army. A man forced out of the Army for marrying outside of it.
[1:41:00],Learned from grandmother how women should care for the sick; cowboys sitting up with dead body,Grandmother explained how women should care for the sick. Cowboys sat up with a dead body overnight because no one else could be found.
[1:47:00],Pensioning in Switzerland from a lifelong tax. Switzerland stays out of war.,Pensioning in Switzerland from a lifelong tax. Switzerland stays out of war.
