time,title,description
[1:00],A fault runs from St. Maries down the Potlatch Canyon,A fault runs from St. Maries down the Potlatch Canyon.
[2:00],Social activities for children,"Importance of play party games in lives of pioneers. Happy is the Miller Boy; Skip to My Lou. ""Spin the Platter,"" ""Charades"", paying forfeit by kissing. Party games were as good as dancing. Importance of schoolhouse to social life. Basket suppers, pie suppers, children's recitations preceding play party. Children wrote their own plays; melodramas from Samuel French Co. Thanksgiving and New Years community celebrations. The evening usually called school entertainment, program or party. Participation of adults as well as young people. End of rural schools spelled end of community social life."
[19:00],Various games children played instead of dancing,"(Tom and Elizabeth Wahl have joined Lola Clyde.) Happy is the Miller Boy, Skip to My Lou. In many games one person who was ""It"" stood in the center. Pig in the Parlor. ""Grand right and left."" Playing games overcame objections of those opposed to dancing, but was almost the same."
[25:00],Difficulties of children's games,"""Wildflower, Wildflower"", a children's game. ""Drop the Handkerchief,"" an outside game for children. ""Post Office"", a kissing game, not played at many schools. Redeeming forfeits - one hard task was declaring love for the teacher. ""Eeny, Meeny, Miney, Moe"" was hard to play with African-American children."
[31:00],Outdoor children's games,"Outdoors children's games: ""Pum Pum Pull Away"" (or ""Blackman""), ""Prisoner's Base"", ""Dare Base"", ""Steal Sticks""."
[37:00],Play parties were held at various times of the year,"More about play parties. Needle's Eye. Long parties and dinner on New Years, Christmas, and Thanksgiving. Importance of leader. Isolation of communities. Everyone in community came to play parties; many children slept there. Breast feeding children at parties; some older women object to this at a Mother's Day tea."
[46:00],Awkwardness of courting,Awkwardness of courting. Few couples met and married from Elizabeth Wahl's play parties.
[51:00],Chautauqua plays,Chautauqua come to town. Various speakers and their topics. Chautauqua plays. Entertaining children with games while parents enjoyed Chautauqua.
[56:00],Virginia Reel as a game,"Virginia Reel, as a game instead of dance. More on ""Skip to My Lou""."
[1:00:00],An early wedding at home,"An early wedding, at home rather than a church."
[1:03:00],Clothing for boys,Travails for boys wearing knee pants with long stockings. Boys waited to be sixteen so they could wear long pants.
[1:05:00],Life after graduating high school in the 1920s,In the twenties many girls did not want to get married after high school; smart girls wanted to go on to learn a trade. A pregnancy without marriage that caused suicide. A minister that got lost on his way to the wedding.
[1:08:00],The views of women's roles were changing,"Mothers didn't want their daughters to have the difficult lives of bearing and rearing many children, as they had done under pioneer conditions. Many women went to Lewiston Normal to be able to teach; marriage was the major alternative. Influence of movies on women. Teaching had become a woman's job - men who did it were looked down on."
[1:16:00],Social events after the harvest,"Auctions with a free lunch were great social events of the fall, after harvest. Lewiston and Genesee stock shows."
