time,title,description
[0:00],"Pam Malone, Bovill's sheriff","What Pat Malone was like, as Bovill's sheriff."
[4:00],Medicine; Contests for a popular girl; the Great Kamama's healing linament,Medicine show tricks: contests for a popular girl; scissors that cut glass; the Great Kamama's healing linament; new gadgets for suckers.
[7:00],Entertainment; literary debater subjects,"Entertainment, such as house sweats. Literary debate subjects."
[9:00],Courtship methods; husband expected to make a living; the woman is to work at home,"Courtship methods. Old forms of entertainment compared with new. A newly married couple sets up house. The husband expected to make a living, the woman to work at home."
[15:00],Farmwork done by exchange; owning a stump ranch,Farmwork done by exchange. Owning a stump ranch.
[20:00],Bovill compared to other backwoods towns; violence,Bovill not much compared to other backwoods towns. Little serious violence.
[25:00],High moral standards among loggers,T. P. Jones insists on high moral standards among the loggers.
[27:00],How a moonshiner could be successful; still camouflages as a cedar tree,"Jacks didn't drink on the job. How a moonshiner could be successful, and not get caught. A still camouflaged as a cedar tree."
[30:00],Gambler pulls a gun; gambling accepted by management,A gambler pulls a gun. Gambling is accepted by management.
[33:00],Foreigners in logging camps; buying war bonds,"Foreigners in the logging camps. Many speak Slavonian, a ""universal"" language. They won't buy war bonds, but will gladly give a man money. They disappear after we get into the war. They're friendly, open people."
[40:00],"Bad conditions in early bunkhouses; getting rid of ""greybacks""","Bad conditions in early bunkhouses. The stench. A way to get rid of ""greybacks"" (body lice)."
[45:00],IWW role in improving conditions; 4-L delegate; camp goes on strike,"IWW role in improving conditions. They try to persuade Hershiel to join. Their unreasonable talk at Spokane meeting, which Hershiel attends as a 4-L delegate. The 4-L's want to bring both sides together. Hershiel's camp goes on strike. The strikers disappear. Most IWW's are foreigners."
[1:00:00],Early railroad strike,An early railroad strike - greenhorns worked.
[1:04:00],Loggers hired from Spokane,Loggers hired from Spokane. Hershiel has trouble clerking for 30 new men. One logger lives like a king in Spokane.
[1:09:00],Salary costs to Potlatch during strike; men deputized to carry guns,Salary costs to Potlatch during strike. Men deputized to carry guns; why Hershiel stopped carrying his.
[1:11:00],High regard for managemnet,Hershiel had high regard for management. T. P. Jones tries to hold Hershiel's job for him.
[1:14:00],Tricks of scaling; log measuring; cheating on scales; methods of scaling defective logs,"Tricks of scaling. Scalers protected by inspections. Variations in log measuring. Hershiel protects woods scalers. He doesn't offend a friend by telling him his log is a cull. He has a complainer scale for himself. T. P. Jones said, ""If there's a doubt, give it to the workingman."" Cheating on scales leads to more work for scaler. Methods of scaling defective logs. Separate records for various species and lengths."
[1:26:00],Al species were logged; costs of relogging an area; clearcutting vs. leave trees,All species were logged. Limbing was a chore. Prohibitive costs of relogging an area. Clearcutting vs. leave trees.
