time,title,description
[0:00],How Boas ended up in Moscow,He chose security of Moscow over adventure of going overseas. He came to Moscow as a long-term commitment.
[3:00],Importance of Daily Star-Mirror (local newspaper) to Moscow,Prominent Moscow businessmen in the 1920s. Importance of Moscow Daily Star-Mirror to the town. People took the Spokesman Review for national news. The paper's major responsibility is to be the watchdog over public institutions: importance of challenging police secrecy. Right of the people to a free press.
[10:00],Libel suit against the newspaper; death threat,A libel suit against the newspaper for using a police blotter report which was not accurate; the paper won on a point of residency. A death threat if he ran a story.
[20:00],Issues with sheriff; newspaper as paper of record for its community,The paper criticized the sheriff for rough handling of prisoners. An argument with the court clerk over withholding news of record; he turned down requests from couples who wanted marriage notices withheld. Each newspaper should be the paper of record for its community. The New York Times is the nation's paper of record.
[24:00],Small town editors can't be objective about local issues,"Recording social events from outlying areas: names make news. In Moscow more important news took precedence. The paper took stands on major national issues but not local issues or candidates: small town editors can't be objective about local issues. Vendettas of small town editors in the teens - Pete Orcutt's libel, (continued)"
[30:00],Popularity of personal journalism,Personal journalism was universal in the teens. A newspaper organization should present a single entity rather than a collection of individuals.
[35:00],Boosterism of local newspapers; businesses verses rest of Moscow community,Boosterism of local newspapers is universal and natural. All towns have faults which should be recognized - narrowness of Moscow streets. Everyone wants his town to grow. Chamber of Commerce activity to attract new business. Differences between businessmen and rest of community.
[43:00],Integration between university and town; promotion of university to legislature via news articles,There was greater integration between university and town in earlier days. Prominence of university news in local paper Moscow promoted university with legislature. Chamber of Commerce. Moscow leadership was close-knit.
[52:00],Social place of women in Moscow in 1920s; sexual scandals in town,"Couples walked the railroad tracks for entertainment. Churches kept Sunday movies out of Moscow until about 1928, when the Legion persuaded the City Council. In those days good girls were not involved in sex before marriage. A baby was born in a sorority. Dean French knew much of what was going on. Some men went to Lewiston for experience."
[1:00:00],Role of women; women in the workplace; women at the university,"Restricted opportunities for women. Bernice Day, Jerome Day's daughter, caused a scandal by taking mining engineering. Attitudes about ""a woman's place."" Women in many fields could not get a job. He was angered by having a woman in his calculus class."
[1:04:00],Professor Eugene Taylor (mathematics),"Professor Eugene Taylor: his understanding with his students about punctuality; after being late for class once, he always walked to school. He lived mathematics, and was an outstanding teacher."
[1:10:00],"Campus life, fraternities, clothing, rivalry with Washington State College, student events",Students' contempt for Moscow when they first arrived. Early fraternities. Freshmen without green beanies were paddled. Juniors and seniors wore unwashed corduroy pants; senior men carried canes. The senior sneak. Hulme fight. Rivalry with Washington State College; bonfire the night before the game. Pajama parade through fraternity houses.
[1:21:00],Strength of community spirit in Moscow for the university; sports,Strength of community spirit in Moscow for the college. Filing reports for western newspapers after sports events. Basketball in the Pacific Coast Conference.
[1:27:00],Disappearance of first airmail plane in 1926,"Disappearance of return flight of first airmail plane on its way to Boise from Salt Lake in 1926, while Mr. Boas was city editor of the Idaho Statesman, (continued)"
[1:30:00],"Airmail plane disappearance misreported, learned his lesson","They put out a special edition of the Statesman with news of the disappearance. The afternoon newspaper printed that the return flight had been made, teaching Mr. Boas never to anticipate the news. The place crashed in Jordan Valley; the pilot walked out."
[1:34:00],"Job as city editor, lessons learned",Large number of stories on front page is better than few. Circuit riding reporters in Boise. Role of city editor in Boise.
