time,title,description
[0:00],Father's town trips; entertainment as a young man; hunting; taking sleigh parties around town,Father's town trips. Warmth and companionship in the pastime. Entertainment as a young man: hunting; taking sleigh parties riding around town.
[13:00],Started farming in post-World War I depression; small farmers had to be diversified,"Farming career. He started in post-WWI depression, and quit before price increase of WWII. Tractors pushed horse farmer and small farmers out. Small farmers had to be diversified."
[21:00],Effects of the Depression on farming,Effects of Depression. Regulations limited amount of flour farmer could have.
[24:00],"Going into debt farming, like many others during the Depression; Roosevelt helped the people out",In debt on farming. His equipment. Many went under during depression. Self-sufficiency on farms during depression. Roosevelt helped the people out.
[31:00],Engagement with Mrs. Settle; his decision to quit farming; subsequent jobs,Engagement with Mrs. Settle. Decision to quit farming because he couldn't get out of debt. Bank offered to support his farming. Subsequent jobs.
[41:00],His quick rise to warehouse superintendent with Latah County Grain Growers,His quick rise to warehouse superintendent with Latah County Grain Growers. Working as a team with the director. His responsibilities.
[47:00],Discussion of grain prices,"Grain prices. It's better to sell as soon as the wheat is in the warehouse, rather than gamble."
[54:00],Farmers' dissatisfaction with pea grading; farmers trying to cheat on the scales,"Farmers' dissatisfaction with pea grading, some farmers tried to cheat on scales. Unwritten law of warehousemen's margin. Weight gain in stored grain."
[59:00],Farmers' Union elevator and store,Farmers' Union elevator and store.
[1:00:00],Union gave farmers their overrun,Union gave farmers their overrun.
[1:03:00],Who he preferred to hire to work; separating grades and kinds of grain; refused to accept wet grain,"He preferred to hire inexperienced warehousemen, because they weren't ""too"" smart. Separating grades and kinds of grain. Fights with farmers over refusal to accept wet grain. Warehouses resell grain the same day they buy it."
[1:13:00],A dynamiting at Cornwall Discussion of Wild Davy.,A dynamiting at Cornwall. Wild Davy.
[1:17:00],Discussion of the necessity of bloodshed to settle things,"Necessity of bloodshed for people to settle difficulties. Futility of WWI and Vietnam. It's wrong to butt in a civil war, like Angola."
[1:22:00],Facing prejudice as a kid; his farm being a meeting place for kids; being called names,"The small amount of prejudice he faced as a youngster. His farm was a meeting place for other kids. Being called ""nigger."""
[1:29:00],The only African-Americans he knew were those who worked for either him or his father; parents talking about the south,The only blacks he knew as a boy were the people who worked for his father on his farm. He knew that he was black. Parents talked about the south.
[1:30:00],The Settle boys were independent and knew there was a color barrier; he had lots of friends,"Independence of Settle boys. They knew there was a color barrier. Color jokes. He had many friends, not one or two special friends, until he got married."
[1:37:00],Father being friends with many southerners around Moscow; he could understand why whites were stand-offish; he had offers to help him pay a down payment on land,"Father was friends with many southerners around Moscow. He could understand why whites would be stand-offish, because like him, they didn't know blacks. Mrs. Settle's experience was similar. Father didn't say he had bad prejudice; he had offers to help him pay a down payment on land."
[1:45:00],"Neighbors - helping each other, visiting, dances and parties","Neighbors - helping each other, visiting, dances and parties."
[1:50:00],The kind of man his father was,The kind of man his father was.
[1:52:00],Discussion of the Wells family and their problems; Mary's husband disappeared in the Army,"Wells family - drinking and high living by the men, which the Settles didn't like. Lou Wells disapproved of it but kept quiet and worked hard. She confided in Mr. Settle. The boys caroused more than the father. Mary's husband disappeared in the Army, and no trace of him could be found."
[2:00:00],More about Mary Wells and her husband,More about Mary Wells and her husband.
