time,title,description
[0:00],Teaching Techniques with Special Needs Children,Teaching experiences. A retarded Indian boy. Teaching techniques. Developing rapport with youngsters and the community. Children's handicaps.
[8:00],Interaction Between Teachers and the Community; Get-togethers at School,Teachers were at the center of the community. Get-togethers at school. A teacher could easily offend the culture of the community. Need to bring food for children.
[19:00],Produce brought to the Valley,"Hot dandelion salad for a visitor to the homestead. Himalayas blackberries and walnut trees were brought to the valley by the Grosecloses, and have since taken over."
[26:00],Role of a Teacher,"Role of teacher - her difficulties, and the challenge of providing advice."
[30:00],Rural Schools; School Library; Do-It-Yourself Manuals,Printed matter for the rural schools. The school library; apportioning purchases. Do-it-yourself manuals. Need to improve the water supply and the handling of milk. Where she turned for help; importance of outside sources of information.
[43:00],Oxen Used in Logging; Stopping Milk from Souring,Using oxen in logging. A cabinet to stop milk from souring.
[49:00],Country Women Longing for a Better Life; Natural Medicine,"The longing of country women for a better life. Use of natural plants in preventive medicine and for curing. Jerusalem artichokes, yarrow, shinnebark, Virginians particularly used them."
[54:00],In-Laws,Her mother-in-law's Bohemian parents. Grandmother used camphor and hops.
[58:00],Having Babies at Home; Neighbor's Miscarriage,Having babies at home with help from neighbors. A neighbor's miscarriage.
[1:00:00],Birthing Assistance,Helping at a birth.
[1:03:00],Male and Female Life; Arranged Marriage,"Occasionally men taught; they got more money because they were ""the breadwinners."" An adage for spendthrift women. Pioneer women had a heavy burden; she really began to work when her mother was ill. Importance of teaching as an avenue of self-expression. Women want homes and families; a homemaker should make the home comfortable. Her mother-in-law's strictness compared with her own sense of security. She's been a ""free woman"" because she's done what she's wanted to. Some women aren't free: an arranged marriage."
[1:14:00],Raleigh's Fine Qualities; Wanting to Marry Raleigh,"She was engaged to a doctor who was a fibber, which was totally unacceptable to her. Telling her parents that she wanted to marry Raleigh, a vegetable pedlar. Going on the vegetable route with Raleigh: he worries about giving a woman one nickel too little in change. His fine qualities. Other men asked him why he gave his daughters checking accounts."
[1:23:00],Childbearing Tragedy,"Giving birth to a blue baby. His funeral, to have more children."
