time,title,description
[0:00],Ida's parents came from Sweden to Idaho; clearing land and proving up a homestead,Ida's parents came from Sweden to Idaho to better themselves. Clearing land and proving up a homestead. Shooting and burning stumps. Farming around stumps. Piling manure around burning stumps so they would be consumed.
[5:00],Burnt Ridge; begging flour as a child in Sweden; money for passage to America was stolen by her brother,Burnt Ridge. Begging flour as a child in Sweden. Money Ida's mother saved to come to America was stolen by her brother.
[10:00],Ted's father came fourth-class to America; came to Idaho in 1900 to avoid tornadoes,Ted's father came fourth-class to America. Poisoned dog recovers by being pole-axed. Came to Idaho in 1900 to avoid tornadoes and lightning. Ted falls off the wagon and gets hung upside down in brake rope.
[19:00],Homesteaders haul logs to Per Dohansen's sawmill,"Homesteaders hauled logs to Per Dohansen's sawmill. Old man Branting's lies about how good it was in Idaho. Troy farmers thrash in Genesee, haul logs to mill, cut ties and cordwood for extra money. Troy's four saloons. A gallon bucket of beer cost 250."
[30:00],"Troy not considered ""wild"" town; layout of old Troy; logs used on Main Street to control mud in early days","Troy not considered ""wild"" town, saloons and fights. Layout of old Troy. Logs driven into Main Street to control mud in early days. [some technical difficulties]"
[33:00],Marshall Hayes of Troy was mean; Hayes shot by a man he was trying to arrest,"Marshall Hayes of Troy was mean, not well liked. Hayes dragged by the beard behind a sleigh, roped and dragged up American Ridge. Hayes is shot trying to arrest a man who warned him he would kill him."
[39:00],"Fourth of July in Troy; dancing, hotel feast, parade, concessions; Halloween; church picnics; Tug-of-War between Moscow and Troy","Fourth of July in Troy: bowery for dancing, hotel feast, parade, concessions on steeet. Halloween stunts and pranks. Church picnics. Tug-0-War between Moscow and Troy. Shivaree. Dances in farmhouses, bowery, and schoolhouse."
[58:00],"Ida works on cook wagon during harvest; types of jobs on thrashing crew; poor wages, long hours, hard work","Ida works on cook wagon during harvest: four big meals a day. Types of jobs on thrashing crew. Roustabout's job. Poor wages for long hours, hard work. Sewing sacks."
[1:05:00],Sewing grain sacks; thrashing season lasted 25-30 days; thrashing machine owners never got rich,Sewing grain sacks (continued). Ted and a friend each sew and jig 800 sacks in one day. Thrashing season lasted from 25 to 30 days. Strawberries and cream. Thrashing machine owners 'never got rich.'
[1:14:00],Ida's dad's homestead above Clarkia doesn't pay out because he claimed land in the railroad right-of-way,Ida's dad's homestead above Clarkia doesn't pay out because he claimed land in the railroad right-of-way.
[1:16:00],Kids scared of schoolteacher; discipline; Frank Steelsmith was a mean teacher; baseball disagreement with Steelsmith,"Kids scared of schoolteacher. Patience, discipline. Breaking trail through snow to get to school. Frank Steelsmith was a mean teacher. Hiding behind a geography book with Helma Kellberg. After a baseball disagreement with Steelsmith, Ted stands him off with a fireplace poker. Bud Carlson whipped with a sarvis bush switch for something he didn't do."
[1:28:00],Prohibition; moonshine $5/gallon; bootlegging booze in suitcase from Uniontown; house parties take the place of saloons,Prohibition. Good moonshine for $5 per gallon. Bootlegging booze in a suitcase from Uniontown. House parties take the place of saloons.
[1:34:00],Courtship; flirting and going steady; improved transportation split up the younger generation,Courtship. Flirting and going steady. Improved transportation split up the younger generation. The Good Old Days.
