time,title,description
[0:00],"Settling in Quincy Valley, leaving North Dakota","Settling in Quincy Valley, leaving North Dakota. Family joke about her coming from a badger hole. Long drought drove many from the area. Father worked off poll tax for others by doing road work. Germans used Russian thistle for cattle feed."
[10:00],Strict observance of Sundays; importance of faith for homesteaders,"Strict observance of Sundays - the children couldn't even use scissors to make paper cut-outs. The Presbyterian minister generally came for Sunday dinner. The ""jack rabbit"" preacher who was close to the family. Importance of faith for homesteaders. Children's view of Sundays. First community Christmas tree was sagebrush."
[19:00],Reliance on sagebrush for fuel; her first cookout on a wood-gathering trip,Reliance on sagebrush for fuel. Her first cookout on a wood-gathering trip. Sandstorms got sand in the house. Board-and-batten construction. Keeping warm in the house.
[24:00],recycling sacks into cloth and clothing; mother's family was from New England; early garden; defending chickens from coyotes,Recycling sacks into cloth and clothing. Mother's family was from New England. Orchard and garden in the draw; early garden. Defending the chickens from coyotes. Jack rabbits ate up the haystacks; rabbit drives. May basket for the teacher with fresh food instead of candy (continued).
[30:00],Teacher was pleased to get gift of fresh food; celebrating May Day; Halloween; homemade valentines,The teacher was pleased to get a gift of fresh food. Celebrating May Day. Halloween. Homemade valentines- her favorite one was from her mother; saving them for the future.
[35:00],Conserving scarce water; reuse and hauling; making paste; taking bathes in wash tub in kitchen,Conserving scarce water. Reuse and hauling. Making paste. Taking bathes in a wash tub in the kitchen on Saturday evenings.
[40:00],Family Christmas customs,"Family Christmas customs. The hanging gunnysack for Christmas presents. Making shaving pads for father, needle books for mother. Mother renovated their dolls, which were sent to Santa Claus. Family singing; father taught her alto for his tenor. Custom of giving presents at the church wasn't good for poorer people. Mother read to the children, With the dollar she made for tending a plot, she got two books, including Beautiful Joe."
[52:00],Reusing cans and bottles for storage or play; remedies for sickness,"Reusing cans and bottles for storage or play. Remedies for sickness - cold treatment. Hiding rubbers that they had to wear to school. Mother's strictness - reaction to daughter's saying ""dickens"". She was teased about not knowing another language, like the other ethnic groups, (continued)"
[1:00:00],How mother helped her prove she was Irish; mother's opposition to dancing and playing cards; didn't learn to dance till college,"How mother helped her prove she was Irish. Father could stand on his head and dance a jig. Little proximity to drinking. Mother's opposition to playing cards. She didn't learn to dance until college. Playing games. Opposition to dancing and cards was to protect them from worse influences. Socializing with other families. Her pleasure at seeing wallpaper, getting a peacock egg. Cards in baking soda packages; use of soda."
[1:14:00],Chores in the family; singing and reading while working; closeness with siblings,"Chores in the family - singing and reading while working. Closeness with siblings. Mother read to children, and they play acted the stories. Remaking old clothes. Townspeople and some farmers were better off."
[1:23:00],Decision to move to Pullman so children could go to college; knowledge of farmers that Quincy Land would produce water,"Decision to move to Pullman so children could go to college (1914). Mother took in boarders. Knowledge of farmers that Quincy land would produce with water. Going to Crescent Bar for peaches, and salvaging bruised ones. Going to Moses Coulee for prunes. A rope around the tent was thought to protect from rattlesnakes. Cellar storage."
[1:29:00],Father came in 1901. Drought and rain - some other areas were better for crops than Quincy.,Father came in 1901. Drought and rain - some other areas were better for crops than Quincy.
[1:30:00],Magazines received at home; children's enjoyment of comics; she was a tomboy,"Magazines received at home. Children's enjoyment of comics. Drinking yeast instead of pear juice. Kneading bread. She wore overalls at home but not in public - she was a tomboy. Mother believed play was important. Playing with hoops. Her friend, the minister's daughter, who played marbles for keeps."
[1:38:00],Discipline and upbringing wat mother's responsibility; didn't want to move until oldest siblings had graduated,"Discipline and upbringing was mother's responsibility. They didn't want to move until oldest siblings had graduated. Mother lowered hem of sister's skirt at her graduation, Her isolation from her family in North Dakota. They sent an organ to them. Mother couldn't sing second part."
[1:45:00],Extreme importance of getting an education to the mother; she cooked for threshing crew at LaCrosse with a friend; interest in home economics and teaching,Extreme importance of getting an education to mother. She cooked for threshing crew at LaCrosse with a friend. Interest in home economics and teaching. Importance of teachers to communities - at Cul-de-sac they didn't like teachers who went home to Lewiston on weekends. Most married women couldn't teach because unmarried women needed work.
[1:52:00],Home economics curriculum as WSC; science requirements; opportunities in the field; practice teaching in Pullman,Home economics curriculum at WSC. Science requirements. Opportunities in the field. An impossible job of canning chicken with girls was her introduction to extension work. Practice teaching in Pullman.
[1:59:00],Importance of beauty to mother. The children learned to value a tree or flower of their own.,Importance of beauty to mother. The children learned to value a tree or flower of their own.
