time,title,description
[0:00],Nob Hill brass didn't mix with Potlatch people,"Nob Hill brass—some were egotistical, some weren't. They didn't mix much with Potlatch people. A snob with some authority."
[11:00],Collecting dairy money from unemployed workers and Nob Hill,It was easier to collect milk money from some unemployed mill workers than from Nob Hill during the Depression.
[16:00],Ole Nygaard saved his wages until he built up wealth,Ole Nygaard saved his wages until he built up wealth.
[20:00],Millwright crew kept mill running,"Artistry of belt splicer and blacksmith. Millwright crew kept mill running. Men worked extra shifts with no overtime, without considering it."
[29:00],Working at Potlatch; Brown-nosing never pays,"Working at Potlatch did not necessarily mean getting ""your wings clipped"". Brown-nosing never pays."
[30:00],Some men prefer working for others,"Some men prefer working for others, without the worry of working for themselves."
[35:00],Working at the mill and farming after work,He worked out driving horses and firing boilers at the mill. Farming nights and weekends after working all week. Plowing earnings back into the farm.
[41:00],Spending or saving wages,"Some live beyond their means, others save. Thrift and planning by farm families. Young men felt part of their families and helped."
[49:00],Equality among farm families; Morals have declined since WWII,"Equality of farm families. There was no competition among them. Confidence was the most important thing; crooks were simply distrusted. Since the beginning of World War II, good moral values have declined. Difference between needs and wants."
[59:00],Neighborhood parties to help families in need,Neighborhood parties to help families in need.
[1:00:00],Rebuilding a house after a fire,"When a house burned down, the neighborhood got the materials and rebuilt it for the family. Meaning of democracy."
[1:06:00],The Shallop family; A crazy man taken to Orofino,"The Shallop family, whose mother was crazy. Unfounded suspicions of them. Description of the brothers. A crazy man taken to Orofino."
[1:15:00],The disappearance and reappearance of Harris,"Disappearance of Harris, and his reappearance decades later. His family was heavily in debt because they'd overexpanded and bean caught in the post-World War I depression. Hundreds of people searched the woods for him. He deserted his fiancée. Subsequent searches for Clavanaugh and other lost people. Method of searching."
[1:30:00],Huckleberry picking and illegal pheasants in the Hoodoos,Huckleberry picking in the Hoodoos. Illegal pheasants and the game warden.
[1:35:00],A blind mule trade; A mouthful of tobacco juice,A blind mule trade. A mouthful of tobacco juice.
[1:39:00],Gilders met at Grange Hall; Marriage and Shivaree,"The Gilders met at the Kennedy Ford Grange Hall. Courting entertainments. Sleigh party trips to Grange. Setting up house. Marriage without telling parents. Shivaree. He was tired of his own cooking; she had a lot to learn about cooking. Her mother not anxious for her to marry, because she needed help at home, Canning."
[2:00:00],Canning methods; Home remedies; Childbirth,Canning methods. Mother's cough syrup. Chest cold remedies. An onion poultice for a cow. Fear of cats around babies. Recovering from childbirth.
[2:12:00],Raising children; Relationship with parents; Children helped with work,Child raising. Disciplining. Mrs. Gilder's attitude towards parents. Her fear of telling a lie. The kids helped with work around the place. Raising children from generation to generation.
