time,title,description
[0:00],1893 Depression,"1893 Depression. Bill could find no work at all, still doesn't know how they got through those years. A lot of people mortgaged their homesteads and left."
[3:00],"Clearing land, burning the brush and log piles; no sawmill",Clearing land; burning the brush and burning the log piles. There was no sawmill where the logs could be hauled.
[5:00],Farmer's Alliance ran stores for farmers; dissatisfied with the government,"Farmer's Alliance ran stores for the farmers. Most people were dissatisfied with the government and Cleveland's Free Trade policies, but couldn't do any thing about it. Bill voted for Harrison and the Protective Tariff. Coffee was 8 pounds for $1.00. 1893 Wet Harvest."
[10:00],1896 election; Bryan vs. McKinley,"1896 election; Bryan vs. McKinley. Many people associated Free Silver, with Free Trade and voted against Bryan."
[11:00],Homesteaders,"Homesteaders were the best people in the world. You never asked any questions about your neighbors, but were friendly. People came west for free land. Bill looked at one 160 above Pasco: good flat land but too dry."
[15:00],Bears were wild and didn't bother you. Indians were civil and peaceable.,Bears were wild and didn't bother you. Indians were civil and peaceable.
[17:00],"Kendrick, bigger town then than now; couldn't go to Kendrick during the winter because of snow",Kendrick. A bigger town then than now. Beefsteak meal at the hotel for 250. Didn't go to town too often. Couldn't go to Kendrick during the winter because there was snow on the ridge and bare ground in Kendrick so you couldn't take just one rig.
[19:00],Literary and Sunday school; dances in Gold Hill country,"Literary and Sunday school. Sometimes the Literary chose a humorous subject. Dances in Gold Hill country. Play-parties on the ridge, religious bias against dancing."
[23:00],J. P. Vollmer bought out many homesteaders and used the land as backing for the bank.,J. P. Vollmer bought out many homesteaders and used the land as backing for the bank.
[24:00],1904 Kendrick fire; political campaigning,1904 Kendrick fire. Political campaigning. Most homesteaders not too interested in politics.
[29:00],Making shingles in the winter. Potlatch.,Making shingles in the winter. Potlatch.
[30:00],"Tug-of-war (continued). Fourth of July races, dances.","Tug-of-war (continued). Fourth of July races, dances."
[32:00],Moving from Illinois to Missouri to find cheaper land,Moving from Illinois to Missouri to find cheaper land. It wasn't too healthy for Northerners in the South.
[34:00],Watergate; coming West by train; Coxey's army,Watergate. Coming West by train. Coxey's army. Eight days by wagon from Dayton to Cedar Creek. House-raising. First winter in a box-house sixteen feet square. Helping each other out. Trading work to help pay back the people who helped in the house raising.
[45:00],Weather changes.,Weather changes.
[46:00],Homesteaders with a little extra income had an easier time,"Homesteaders with a little extra income had an easier time of it. Once people were settled in it was easier. Most people fed their grain to cattle or hogs then drove them to market, because it was easier to drive livestock than wagons over the bad roads."
[50:00],Working with horses and mules; plowing,Working with horses and mules; twelve-inch plow and AA harrow. Mules were steady all day. Bill's favorite horse was a chestnut sorrel gelding.
