time,title,description
[0:00],Introduction,
[1:00],"Personal background, moved to Idaho","Born in Illinois near Redmond, 1886. Came by train to Moscow, uncle followed after with big wagon and horses."
[2:00],"House in Idaho, hunting game","House was built of lumber, decent sized house. Lots of game there; there were deer and birds and her brother went out and shot deer and birds any time they wanted."
[3:00],Picking fruit; hunting game; relationship with Native Americans,"Had lots of fruit. Picked berries with mother and she canned them. Brother would get deer, hang and skin it. Native Americans found out and came on horses and waited for brother; brother would sell the deer skin. Mother was afraid of the Native Americans, didn’t like them. Mother hid her under the bed when they visited. There was never any trouble though."
[5:00],Home was located not far from present day Deary,Home was located not far from present day Deary.
[6:00],Remembering school,"Remembering school. Not very big, two rows with benches."
[7:00],Friends Leo and Josie,Friends Leo and Josie.
[8:00],School book description,School book description. With capital letters on the first line and then the small letters underneath. Copied lines. Read from them.
[9:00],Description of her school teacher,Description of her school teacher. She taught many years.
[10:00],"Built a new schoolhouse, stories of walking to school, typical school day","Built a new schoolhouse on the main road, where she went. Most of the children had to walk. Sister was always with her in the mornings. School at 9 am. Turkeys were there on the way to school, children ran away from them."
[12:00],Sister taught at school for one term,Sister taught at school for one term.
[12:00],"Lots of rain; stories of wading, finding a snake",It had rained a lot. Some places a yard or two. She liked to always go barefooted in the summer. Everyday she went out and waded into the water. Sister went out one day with her and caught a snake. She got out of the water very quickly.
[13:00],Owned a pony; stories of riding with friend,"When she was older she got a pony. It was a very good riding horse. She had a good friend Jessie Shawl, they would ride everywhere. They would jump into trees from horses. Never fell off."
[14:00],Describing pony saddle,Describing saddle.
[15:00],Summertime stories,Father would work in summer. She ran around a lot during the summer. Didn’t know anything about.
[16:00],Mother made clothes; price of fabric; father enjoyed singing,"Mother made clothes. Remembered Calico was five cents a yard. Father was a good singer, he sang base. Would get up in winter and go singing for the sick."
[17:00],"Nephew Ralph would walk near the bridge, leave shoes","Nephew Ralph, sister’s son, would walk and go over the bridge. Sometimes take off shoes and go barefooted and leave their shoes under the bridge until evening. Would walk back at night to get her shoes."
[19:00],Description of school; her education; typical school days,"Description of school, it was bigger. She doesn’t remember how far she went through school, maybe to the eighth grade. Went to school for three months at a time. People would gather in the schoolhouses for literature. They had programs where they would sing or have entertainment at the school."
[21:00],Big porch at home; thunderstorms would roll in,"At their house they had a big porch, there was a thunderstorm. Rain ran down the roof and onto the porch. She had a tin cup and went on the porch, was knocked out of her hand by the rain."
[22:00],Water supply from well; carrying water,Where they got their water. Dug in the yard for a well. Carried water to washboard into tub.
[23:00],Garden at home; raised cabbage,"Describing the garden. Always had a big garden. Sister and mother took care of it. Raised cabbage. Would collect cabbage, put two in a bag and let them hang over brother’s shoulders."
[26:00],Took wagon to get groceries every two or three weeks to big city,Take wagon with groceries. Every two or three weeks. Looked like a big city to her.
[27:00],Native Americans liked her red hair; sometimes scared,"Lots of Native Americans. They liked red hair, she had lots of long read hair as a girl. Scared her as a girl that they liked her hair."
[29:00],Bought flour. Used elevator and tramway.,Bought flour. Used elevator and tramway.
[30:00],First car was a Model T,"First car, Model T, second hand for her and her husband."
[32:00],Husband,Husband.
[32:00],First thrashing on the ranch,Remembers first thrashing; horses drove it. Afterwards had an engine. Mother and sister cooked for them. Had a large ranch. Thrashers would be there for a week. Produced lots of grain. Lots of men.
[35:00],Picked strawberries in the summertime,"Picked strawberries in the summertime. Take daughter and she would play, was no trouble. Usually they walked."
[38:00],Christmas tree in the schoolhouse; Christmas holiday traditions,Had a Christmas tree in the schoolhouse. Hang the presents on the tree. Watched children pick there presents off the tree. Had her own tree at home. Put Christmas card paper and children would make chain for decorations.
[40:00],Her aunt and husband came to visit,"Had aunt, her father’s sister. She and her husband came to visit."
[41:00],Family garden,Family garden.
[45:00],Second family home,Second place where they lived.
