time,title,description
[0:00],Discussion of the Wells family; Oscar's father never avoided fights,"Wells family. If people didn't scrap and drink, they didn't fit in. Oscar's father stopped a fight that Joe was in. His father never avoided fights."
[7:00],Death of father's first wife,"Death of father's first wife (Arthur Bjerke's sister), who burned to death clearing land (1896). The preacher, Andreasson refused to let father sell the place. His wedding picture."
[15:00],How his father came from Sweden and homesteading near Elk River,"Father came from Sweden as a sailor, jumped ship, changed his name and came West. He homesteaded east of Elk River, and couldn't locate his claim the second year. He got the home place in 1890."
[20:00],Clearing land; mother never going to doctor until age 85; Deary fire blowing shingles,As a boy Oscar cleared land. Shooting stumps to celebrate the end of the First War. Severity of flu. Mother worked hard; she never went to a doctor until she broke her arm at 85. Deary fire blew shingles onto their place.
[23:00],Working conditions in the camps during World War I; fights between crew; Oscar's work as a deputy,IWWs improved conditions in the camps during the First World War. In 1936 they gained nothing. Confrontation between strikers and workers near Pierce - beating two workers with a butt chain; revenge against the strikers. None were killed. Oscar was scaling in the camp. An agitator who got a toothache just before the strike. Oscar's brief stint as a deputy.
[30:00],Arrival of militia; conditions during 1936; lack of strikers sent in from the outside,Arrival of militia. Laughing Jim's laugh. More about the confrontation. The company protected the men that did the shooting. In '36 conditions were good. He believed that few strikers were sent in from the outside.
[37:00],Working at Camp 14 by Beaver Creek; Hazel Olson working as a flunkey in camps; Discussion of camp conditions,"Lumberjacks worked different places. He was foreman at Camp 14 by Beaver Creek. Camp 14 was a beautiful place because of the flower gardens planted by Mrs. McKinnon, the foreman's wife. How Hazel Olson became a summer flunkey and met Oscar (1942). Her great enjoyment of camp life. Work of flunkeying. The rule of quiet in the dining room, and other manners. Great food. Hot cakes. Men were considerate about flunkeys' using the showers."
[50:00],How Hazel and Oscar met; drinking and single men; George McKinnon was a good foreman,"How they met - she burned the blouse she was ironing. The man called ""Me Too."" Drinking and single men. Being a foreman was nothing special. Why George McKinnon was a good foreman; his wife."
[55:00],Discussion of camp nicknames for different men,"Nicknames, Bro -Face Brooks. Cruel Jimmy saved his partner's life. Broken Ass John. Dirty Shirt Martin. Butterfly Pete. Powder Puff MacDonald always stayed clean. Trying to cheat Powder Puff out of a bonus."
[1:00:00],Lumberjack behavior throughout the camps; Potlatch not asking him to cheat,"Powder Puff stuck at his job. Pack Sack Dick Ferrell went by the camps over many years - he threatened to fight a man. Trustworthiness and kindness of nearly all lumberjacks. How he lost and found his wallet with money cashed for the lumberjacks. He never had trouble with men over scaling, and Potlatch never asked him to cheat."
[1:08:00],Lumberjacks who found to have cheated got their rate cut; saw gang fired to shake things up; working in the snow,Gyppos that made too much money found their rate cut. The saw gang which produced least was sometimes fired to shake the others up. Working in the snow.
[1:14:00],Why women were not allowed to teach when married; her stint of teaching.,Why women were not allowed to teach when married. Her stint of teaching.
[1:18:00],Quality of Potlatch horses; a barn boss for one remaining horses,Quality of Potlatch horses. A barn boss for one remaining horses
[1:19:00],Trying to make a living during the Depression; pulling bushes for the government; trust of men in the area,"Trying to make a living during the Depression. Shooting game out of season; one family gave him trouble. Pulling ribes bushes (current bushes) for the government in blister rust coat. The extremely long walk into camp when he was out of shape. Frank Tom, the Chinese man who ran the store at Clarkia, gave him a pair of shoes with no money or signature, without knowing Oscar."
[1:27:00],Teaching in Craigmont,"Her first teaching, in a rural school at Craigmont. Community activities at school. Advantage of growing up at a country school to be able to teach in one."
[1:30:00],Teaching in Mt. Tomer; dancing in Deary,Mt. Tomer school. Dancing at Deary; more community activities in the Depression. Deary as a bustling town.
[1:37:00],Marriage of Check's ex wife to Dan Ross; Helmer store's nickname,"Marriage of Chuck's ex-wife to Dan Ross; second wife's remarriage. Helmer store dubbed ""the black-and-white store."
[1:40:00],Teachers marrying in the communities they taught in; stigma of being unmarried and pressure to marry,Many teachers married young men in the communities where they taught. Unmarried women needed to teach to make a living. Stigma of being unmarried and pressure to marry.
[1:44:00],Bachelor men who would have made good fathers; some men felt they couldn't support a wife,Bachelor men who would have made good fathers. Arthur Bjerke had to beat you by a little; how he danced around on a building. Some men may have felt they couldn't support a wife.
[1:48:00],Father being owed money when the Depression hit; income in 1906,"Father was owed money when depression hit. Father's thin dime almost had to be spent. 1906 income $64, outlay $48"
[1:50:00],Father fighting other men and being a strong man,"Father licked three Irishmen at local sawmill. Father's strong hands. As an old man father beat the strongest man in the threshing crew, twisting the broom handle"
[1:54:00],Father's hard childhood in Sweden and how he met mother,"Father pampered his kids, but no one else. The reason was his hard childhood. He stuck his feed in cows' urine to keep warm, herding cattle for a rich man in Sweden. Getting kicked for falling asleep with the cattle. The people were slaves. Father met mother cooking for a sawmill camp."
