time,title,description
[1:00],Father was an errand boy for mother's family; went to U.S. to get rich,Father was an errand boy for her mother's family in France. Father went over to the U.S. to get rich (tried mining gold) and mother went to Court of Austria. Father sent for mother after eighteen years.
[9:00],Father's first gift for mother; U.S. different for her mother,Father's first gift to her mother in the West was a pair of hip boots for the dust. Everything different for her mother in U.S. Mother couldn't cook: she sees the soup disappear and doesn't know to add water.
[14:00],Ran Kendrick hotel and saloon; John Groh's flaws as a businessman,"Ran Kendrick hotel and saloon, but didn't like running a saloon and glad to leave. John Groh's flaws as a businessman leading him under in Bovill."
[18:00],Father had a way with Native Americans in Bovill; ate dinner with the chief,Father (Tom Groh) had a way with Indians who came to Bovill every year to pick camas and traded at his store. Ate dinner with the chief and he served his favorite dog as an honor. Indians appreciated that Tom Groh gave them fair weights. Two Indian women marched back to apologize after stealing two loaves of bread.
[23:00],Native Americans mad about their land being taken,Loved the Indians for their honesty and way of life. Felt Indians less to be feared than the whites. Always felt the whites were at fault for taking their land.
[26:00],Fire in Kendrick; hotel was saved,"During the fire in Kendrick four Japanese and Chinese house boys took wet blankets and hung them on the building. They got blisters on their faces and hands, but they saved the hotel."
[28:00],Fell on a hot stove; treating her burns,Fell on a hot stove and Mrs. Flasher put raw potatoes on her arm and Elvina got Crisco and the fuzz from her cattail pillow.
[30:00],Made a pultice; cure for earaches,Made a poultice of cattail fuzz and Crisco. For earaches put a bit of garlic wrapped in oiled cotton in your ear.
[35:00],Fires started in the store; unable to save anything and new stock was sent,"Fire started in back of the store and likely was set. Two other fires were set in the back of the store but they didn't burn. Destitute after the fire, unable to save anything, but Roundup Grocery and Swift immediately sent new stock to tide them over and they set up in a tent. Another company was the reverse - sent another bill which had already been paid."
[43:00],Carried money to the bank on Saturdays,On Saturdays when she carried money to the bank she was sometimes worth a couple thousand.
[45:00],Tricks that John Groh did,John Groh a trickster: sold a person from the East ten pounds of macaroni to plant to grow macaroni. Nice side: when watermelons unpacked they'd be sure to drop some for the kids standing by.
[50:00],Pack trains of food; mining camp between Elk River and Bovill,Pack trains of food had to be packed evenly. Father staked some men at two mining camps that he was interested in between Elk River and Bovill.
[57:00],John Groh poisoned from one of his tricks,John tries to trick a Chinese camp cook into cooking mush and pancakes and he is poisoned.
[1:02:00],Tent meetings; man stole hay; watched elders have tantrums,"Pentecostal, Nazarene and ""Holy Rollers"" tent meetings in Bovill. One man confessed he'd stole hay and he got a bill from Potlatch. They'd sneak in to watch the elders have tantrums. Lived from year to year to go to the Chatauaua shows and see the Hawaiians dance."
[1:11:00],Visit to France; brother misses his freedom; Aunt had to make dresses secretly; taught to knit and cook by her father,"Visit to France at age six. She wants to stay because she is swayed by the splendor and hugeness of the estate. Tom, her brother, misses his freedom and doesn't want to stay, Neighborhood children looked through the iron fence but wouldn't talk with them. Aunt Margaret had to use her' sewing machine in the attic because making dresses was beneath her status. Madeleine is taught to knit and cook by her father."
[1:22:00],Uncle Ferdinand had to fight for his country; Armistice Day; sold strawberries for the Red Cross,"Recalls Uncle Ferdinand explaining that he had to go and fight for his country. They sat still and hummingbirds came to the nasturtiums in the planters. ""Hanging the Kaiser"" in Bovill - description of the effigy which she thought was alive. On Armistice Day her father sold a bowl of strawberries for $25. for the Red Cross."
[1:30:00],Three fires in Bovill,Three fires threatened the town of Bovill. During one crown fire they were ready to go if the train blew three times.
[1:32:00],Pat Malone bought candy and ice cream and told the kids stories,Pat Malone was tops! He bought candy and ice cream for the kids and told stories. Fascinated by the big Malley's.
[1:37:00],Boys dug out a clubhouse; Pete Olsen offers them a place,Some boys dug out a clubhouse but they got in trouble. Pete Olson offers them a place and some think he's up to no good. Sam Pivach another character.
[1:43:00],Whole town raised money for anyone sick or in need,If anyone sick or in need the whole town helped like a big family. Gave dances and box socials to raise money.
[1:46:00],Father got the flu during the epidemic in 1918; man saves him after doctor gave up,Father stricken during the flu epidemic in 1918 and people brought in at least one warm pot of food a day. A man saves her father with a home remedy after the doctor had given up hope.
[1:53:00],First language was French; spoke different languages at home,"French her first language. At home they spoke German one week, French the next and American the next. During the war called pro-German and to quit speaking German because it was hurting business."
